Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,23,462,5.47,1.03,1.03,0.44,49.2,58.2,40.2,0.32
199702,19,313,8.65,2.05,2.05,2.05,53.7,62.3,45.0,3.36
199703,102,122,4.64,1.54,1.54,1.06,63.6,73.9,53.2,-0.89
199704,43,112,7.79,2.33,2.33,2.33,62.0,72.3,51.6,2.85
199705,242,3,6.27,2.48,2.48,2.48,72.2,82.4,62.0,1.17
199706,410,0,5.45,2.58,2.58,2.58,78.5,87.8,69.2,1.06
199707,550,0,4.57,2.1,2.1,1.77,82.9,92.9,72.8,-0.63
199708,511,0,3.6,1.6,1.6,0.85,81.2,91.2,71.1,-0.87
199709,415,0,2.54,0.8,0.8,-0.75,78.3,89.9,66.7,-1.9
199710,139,49,4.2,0.9,0.9,-0.38,67.0,78.7,55.4,0.54
199711,15,291,5.37,1.09,1.09,0.14,54.8,64.7,44.8,0.84
199712,6,469,5.76,1.16,1.16,0.4,49.0,59.3,38.6,0.55
199801,38,375,12.21,2.92,2.92,2.92,53.3,62.6,44.1,5.65
199802,16,331,6.17,3.01,3.01,3.01,53.2,63.5,42.8,1.17
199803,31,240,5.16,2.79,2.79,2.79,57.8,68.5,47.1,0.26
199804,75,71,3.74,-0.14,2.36,2.11,64.4,75.8,53.0,-0.43
199805,370,0,0.45,-1.63,0.61,-1.56,76.8,87.6,66.0,-4.51
199806,548,0,2.6,-2.58,-2.58,-2.58,83.4,93.2,73.4,-3.34
199807,620,0,3.57,-3.4,-3.4,-3.4,85.4,95.8,74.9,-3.25
199808,583,0,4.65,-3.43,-3.43,-3.43,83.8,94.3,73.2,-1.16
199809,468,0,10.9,1.68,-1.4,0.66,80.6,89.4,71.7,5.03
199810,208,24,2.84,1.46,-1.3,0.63,70.0,81.1,59.0,-0.12
199811,69,144,5.18,1.5,-0.98,1.05,61.4,70.6,52.1,0.55
199812,23,325,5.51,1.35,-0.87,1.04,53.6,62.6,44.6,0.02
199901,45,351,8.55,2.06,2.06,2.06,54.1,65.3,42.8,2.55
199902,41,223,1.38,-1.17,0.68,-0.99,57.8,69.0,46.5,-3.5
199903,41,217,5.49,-0.89,0.77,-0.61,58.4,69.6,47.2,0.49
199904,200,12,2.63,-1.47,-1.47,-1.47,70.6,81.3,60.0,-2.03
199905,287,1,4.38,-1.64,-1.64,-1.64,73.6,84.9,62.4,-0.96
199906,451,0,6.83,-0.9,-0.9,0.04,79.8,88.9,70.6,1.71
199907,529,0,4.39,-1.06,-1.06,-0.46,82.1,91.5,72.8,-0.75
199908,616,0,1.62,-2.08,-2.08,-2.08,84.8,96.5,73.2,-3.4
199909,338,0,3.5,-2.19,-2.19,-2.19,75.8,88.1,63.4,-0.97
199910,134,53,3.56,-1.99,-1.99,-1.96,66.7,79.8,53.6,-0.08
199911,41,186,1.04,-2.85,-2.85,-2.85,59.6,73.6,45.6,-3.17
199912,9,415,4.47,-3.09,-3.09,-3.09,50.9,63.1,38.6,-1.63
200001,37,386,2.1,-3.78,-3.78,-3.78,52.6,63.4,41.8,-3.02
200002,42,222,1.03,-4.71,-4.71,-4.71,57.7,70.0,45.4,-3.94
200003,99,124,5.12,-4.46,-4.46,-4.46,63.6,75.1,52.1,-0.7
200004,84,64,4.69,-3.92,-3.92,-3.78,64.9,76.4,53.3,0.22
200005,378,0,4.38,-3.91,-3.91,-3.91,76.6,86.4,66.8,-1.18
200006,452,0,5.07,-3.38,-3.38,-3.18,79.8,89.5,70.1,0.38
200007,566,0,2.78,-3.94,-3.94,-3.94,83.2,94.2,72.1,-2.73
200008,589,0,2.08,-4.7,-4.7,-4.7,84.3,96.4,72.2,-3.5
200009,388,0,3.69,-4.6,-4.6,-4.6,77.7,89.5,65.8,-1.15
200010,139,47,1.32,-4.8,-4.8,-4.8,67.5,80.6,54.4,-2.0
200011,18,277,11.52,1.74,-2.56,-0.53,55.3,65.1,45.5,5.22
200012,0,605,4.02,1.32,-2.54,-0.82,43.7,53.6,33.8,-0.72
200101,11,575,5.58,1.38,-2.08,-0.18,45.6,55.4,35.7,0.59
200102,39,239,3.57,0.76,-2.34,-0.97,56.6,67.3,46.0,-1.43
200103,23,283,9.32,2.08,-0.71,1.93,55.3,65.4,45.1,4.17
200104,174,17,1.87,-0.83,-1.47,0.26,69.9,80.3,59.6,-2.5
200105,293,0,1.94,-1.86,-2.43,-1.58,74.3,85.4,63.1,-3.33
200106,409,0,12.5,1.92,1.92,1.92,78.3,87.5,69.0,5.75
200107,532,0,4.34,1.51,1.51,1.14,82.4,91.8,72.9,-0.63
200108,510,0,6.32,1.98,1.98,1.98,81.4,90.4,72.5,1.89
200109,335,1,6.34,2.65,2.65,2.65,75.4,85.1,65.8,2.62
200110,92,85,5.04,3.11,3.11,3.11,64.4,76.9,51.8,2.18
200111,75,134,5.94,3.22,3.22,3.22,61.9,74.5,49.3,1.3
200112,22,318,5.55,0.0,2.89,2.82,54.4,65.1,43.6,-0.01
200201,29,419,4.01,-0.34,2.25,1.71,51.4,62.2,40.7,-1.03
200202,7,420,2.95,-0.79,1.53,0.37,49.3,60.9,37.7,-1.45
200203,40,221,5.58,-0.51,1.57,0.64,58.1,69.4,46.9,0.6
200204,176,18,3.72,-0.82,1.05,-0.28,69.6,79.4,59.8,-1.08
200205,290,1,2.41,-1.52,-1.52,-1.52,73.9,84.5,63.2,-2.35
200206,426,0,4.83,-1.37,-1.37,-1.3,79.0,88.8,69.2,-0.02
200207,535,0,5.4,-1.37,-1.37,-1.37,82.3,92.0,72.6,-0.44
200208,512,0,4.89,0.01,-1.22,-1.12,81.6,91.2,72.0,0.03
200209,419,0,6.18,0.49,-0.61,0.39,78.6,87.5,69.6,1.45
200210,206,28,10.85,2.45,2.45,2.45,69.4,77.1,61.6,6.02
200211,20,265,5.48,2.68,2.68,2.68,55.7,66.4,45.0,1.45
200212,9,421,7.97,3.19,3.19,3.19,50.8,61.2,40.4,2.37
200301,10,580,1.11,-1.04,1.83,0.51,45.6,56.3,34.7,-3.12
200302,12,371,7.18,-0.18,2.39,1.94,50.7,59.9,41.6,2.25
200303,47,205,3.33,-0.64,1.66,0.62,58.6,69.0,48.2,-1.44
200304,109,43,3.44,-0.88,1.18,-0.2,66.7,78.2,55.2,-0.92
200305,373,0,2.37,-1.73,-1.73,-1.73,76.4,86.0,66.6,-2.82
200306,446,0,8.43,0.86,-0.7,0.64,79.6,88.6,70.6,2.58
200307,502,0,5.88,1.03,1.03,1.03,81.3,90.4,72.2,0.79
200308,538,0,4.19,0.9,0.9,0.72,82.5,92.1,72.9,-0.09
200309,349,0,4.82,1.1,1.1,1.1,76.0,86.2,65.7,0.88
200310,146,43,2.38,-0.23,0.76,0.19,67.8,79.7,55.8,-0.68
200311,67,140,5.48,-0.09,0.79,0.37,61.9,73.6,50.2,0.33
200312,5,467,3.34,-0.62,-0.62,-0.62,49.4,61.5,37.3,-1.6
200401,24,454,5.12,-0.56,-0.56,-0.56,50.2,60.7,39.8,-0.03
200402,8,418,8.78,1.26,1.26,1.26,49.1,58.2,40.0,3.77
200403,93,129,2.48,-0.91,-0.91,-0.91,63.2,74.3,52.2,-2.74
200404,94,53,4.45,-0.84,-0.84,-0.84,65.9,77.1,54.7,-0.07
200405,283,0,10.02,1.34,1.34,1.34,73.9,83.3,64.4,4.03
200406,440,0,11.61,3.18,3.18,3.18,79.2,87.8,70.7,5.92
200407,516,0,4.33,2.68,2.68,2.41,81.4,90.8,72.0,-0.51
200408,468,0,3.4,2.22,2.22,1.67,79.6,90.2,69.1,-0.56
200409,402,0,1.75,1.17,1.17,-0.39,77.8,88.6,66.9,-2.45
200410,302,6,7.24,1.78,1.78,1.07,73.9,83.0,64.8,2.18
200411,74,135,9.23,2.79,2.79,2.79,61.8,70.8,52.9,3.59
200412,7,452,4.07,-0.33,2.18,1.71,49.7,61.1,38.3,-0.98
200501,46,349,3.59,-0.81,1.44,0.28,53.9,63.2,44.7,-1.55
200502,29,268,6.73,-0.22,1.8,1.23,55.3,63.4,47.1,1.51
200503,33,234,3.35,-0.64,1.17,0.06,57.8,68.6,47.1,-1.33
200504,88,58,3.33,-0.87,0.75,-0.65,65.6,77.4,53.8,-0.88
200505,255,2,3.28,-1.25,-1.25,-1.25,72.6,84.3,60.8,-1.4
200506,463,0,2.97,-1.62,-1.62,-1.62,80.2,90.8,69.7,-1.51
200507,546,0,5.59,-1.64,-1.64,-1.64,82.5,92.1,73.0,-0.58
200508,571,0,4.3,-1.83,-1.83,-1.83,83.5,94.2,72.7,-1.05
200509,496,0,5.96,-1.46,-1.46,-1.14,81.3,92.6,69.9,0.52
200510,143,48,0.12,-2.24,-2.24,-2.24,67.2,80.4,53.9,-2.79
200511,56,156,2.75,-2.7,-2.7,-2.7,61.0,73.1,49.0,-2.08
200512,6,461,3.6,-3.13,-3.13,-3.13,49.2,61.1,37.4,-2.12
200601,55,319,4.08,-3.32,-3.32,-3.32,55.4,67.1,43.8,-1.54
200602,14,364,5.38,-2.77,-2.77,-2.46,50.9,61.9,39.8,0.63
200603,79,149,2.64,-3.29,-3.29,-3.29,61.8,72.8,50.9,-2.42
200604,203,12,4.23,-3.25,-3.25,-3.25,71.0,82.3,59.7,-0.88
200605,298,0,2.53,-3.68,-3.68,-3.68,74.2,85.1,63.2,-2.3
200606,475,0,2.44,-4.05,-4.05,-4.05,80.1,91.4,68.7,-2.23
200607,533,0,5.67,-3.85,-3.85,-3.85,82.2,91.8,72.5,-0.65
200608,574,0,4.58,-3.77,-3.77,-3.77,83.7,94.0,73.4,-0.96
