Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1447,4.14,3.24,3.24,3.24,13.8,23.5,4.2,1.34
199702,0,1173,2.61,2.8,2.8,2.61,18.2,29.2,7.1,-0.31
199703,0,1189,3.29,2.56,2.56,2.38,22.8,33.1,12.6,0.15
199704,0,772,2.82,2.14,2.14,1.7,36.8,47.0,26.7,-0.48
199705,0,500,4.15,2.41,2.41,2.41,46.8,57.0,36.6,1.49
199706,18,105,3.28,-0.2,1.97,1.64,60.7,73.7,47.7,-0.6
199707,101,29,3.44,-0.31,1.63,1.08,65.6,77.5,53.8,-0.4
199708,67,65,4.52,0.45,1.92,1.87,62.8,73.8,51.8,1.36
199709,0,253,3.09,-0.21,1.51,1.11,54.9,64.6,45.2,-0.63
199710,0,611,1.43,-1.04,-1.04,-1.04,43.2,52.7,33.6,-2.54
199711,0,936,3.97,-1.09,-1.09,-1.09,31.3,38.6,23.9,-0.47
199712,0,1244,2.77,-1.36,-1.36,-1.36,20.8,29.9,11.8,-1.16
199801,0,1329,5.39,1.02,1.02,1.02,17.8,26.0,9.7,3.07
199802,0,1038,3.57,1.32,1.32,1.32,24.2,34.3,14.1,1.22
199803,0,998,4.0,1.6,1.6,1.6,29.6,39.4,19.8,1.23
199804,0,637,3.09,1.11,1.11,0.54,41.4,52.2,30.5,-0.96
199805,5,253,3.13,0.56,0.56,-0.72,56.5,68.9,44.1,-1.32
199806,5,161,6.81,1.96,1.96,1.96,59.7,69.1,50.4,4.38
199807,104,26,3.94,1.91,1.91,1.91,66.1,77.3,54.9,0.46
199808,98,39,2.78,-0.34,1.38,0.83,64.8,77.1,52.6,-1.01
199809,6,195,2.86,-0.78,0.76,-0.49,56.7,67.0,46.3,-1.43
199810,0,547,5.04,-0.29,1.08,0.38,45.2,53.3,37.1,1.21
199811,0,848,2.69,-0.86,-0.86,-0.86,33.7,39.9,27.5,-1.78
199812,0,1093,1.94,-1.51,-1.51,-1.51,26.2,35.4,17.1,-2.23
199901,0,1421,5.43,1.04,1.04,1.04,14.3,25.8,2.9,3.13
199902,0,1106,2.22,0.62,0.62,-0.16,21.4,32.4,10.3,-0.94
199903,0,984,5.41,1.68,1.68,1.68,31.0,39.4,22.7,3.36
199904,0,653,0.87,-1.38,-1.38,-1.38,40.4,50.5,30.3,-4.14
199905,3,291,2.85,-1.72,-1.72,-1.72,55.4,68.5,42.2,-1.46
199906,65,42,3.37,-2.07,-2.07,-2.07,64.8,77.3,52.3,-1.59
199907,154,13,3.17,-2.41,-2.41,-2.41,67.8,79.0,56.6,-1.65
199908,79,53,3.07,-2.56,-2.56,-2.56,63.9,75.2,52.5,-1.2
199909,36,92,9.04,1.91,1.91,1.91,61.7,72.5,50.9,5.73
199910,0,623,4.43,2.34,2.34,2.34,42.4,52.5,32.3,1.88
199911,0,741,3.49,1.71,1.71,1.13,37.3,45.5,29.2,-1.17
199912,0,1122,3.0,1.25,1.25,0.25,25.2,32.4,17.9,-0.86
200001,0,1447,3.62,1.32,1.32,0.57,14.1,23.7,4.6,0.62
200002,0,1191,3.11,1.35,1.35,0.76,18.2,29.7,6.8,0.48
200003,0,919,3.6,1.38,1.38,0.93,32.6,42.7,22.5,0.5
200004,0,707,5.74,2.4,2.4,2.4,39.1,48.1,30.0,3.5
200005,0,432,4.62,2.7,2.7,2.7,49.5,60.4,38.5,1.65
200006,12,126,2.65,-0.43,2.0,1.4,59.4,71.0,47.9,-1.28
200007,49,71,4.17,-0.07,2.11,1.85,63.0,73.7,52.3,0.95
200008,60,71,2.61,-0.45,1.5,0.7,63.1,73.5,52.7,-1.18
200009,0,260,2.27,-1.09,0.66,-0.96,54.5,65.6,43.4,-2.05
200010,0,561,3.37,-1.31,-1.31,-1.31,44.6,54.8,34.4,-1.0
200011,0,813,2.99,-1.87,-1.87,-1.87,35.6,41.4,29.7,-2.09
200012,0,1349,4.4,-1.36,-1.36,-0.84,17.5,26.0,9.1,0.95
200101,0,1472,1.33,-2.08,-2.08,-2.08,14.0,24.9,3.0,-2.56
200102,0,1264,2.69,-1.93,-1.93,-1.93,16.0,27.2,4.8,-0.19
200103,0,1159,3.71,-1.47,-1.47,-1.03,24.2,34.4,14.1,0.79
200104,0,735,1.0,-2.48,-2.48,-2.48,38.1,49.1,27.0,-3.5
200105,0,313,2.06,-3.01,-3.01,-3.01,54.4,68.4,40.4,-2.34
200106,51,57,3.76,-3.02,-3.02,-3.02,63.0,74.3,51.8,-0.97
200107,66,53,3.76,-2.73,-2.73,-2.7,64.2,75.2,53.3,-0.08
200108,139,21,1.53,-3.62,-3.62,-3.62,67.0,79.7,54.4,-3.52
200109,8,177,3.7,-3.64,-3.64,-3.64,57.7,69.4,45.9,-1.15
200110,0,499,1.96,-4.37,-4.37,-4.37,47.1,58.2,36.0,-3.33
200111,0,754,2.23,-5.39,-5.39,-5.39,37.4,44.9,29.9,-4.4
200112,0,1044,2.1,-5.78,-5.78,-5.78,28.7,36.1,21.2,-2.85
200201,0,1243,2.66,-5.43,-5.43,-5.43,21.0,29.2,12.9,-0.72
200202,0,1140,3.25,-4.63,-4.63,-4.31,20.4,30.6,10.2,0.71
200203,0,1060,3.52,-3.99,-3.99,-3.43,26.9,36.5,17.3,0.5
200204,0,678,4.42,-3.13,-3.13,-2.04,39.9,49.0,30.8,1.34
200205,0,443,3.4,-2.73,-2.73,-1.53,48.8,60.6,37.1,0.23
200206,6,160,4.17,-2.09,-2.09,-0.52,58.3,69.6,47.0,1.08
200207,97,31,3.96,-1.69,-1.69,0.03,65.6,76.6,54.5,0.56
200208,134,23,0.98,-2.77,-2.77,-2.2,66.7,79.3,54.1,-3.76
200209,16,138,4.25,-2.66,-2.66,-2.2,59.3,71.3,47.2,-0.54
200210,0,643,3.06,-2.72,-2.72,-2.54,41.7,50.9,32.5,-1.01
200211,0,933,4.21,-2.46,-2.46,-2.25,30.7,37.8,23.6,-0.06
200212,0,1257,3.1,-2.45,-2.45,-2.45,21.1,29.7,12.4,-0.73
200301,0,1614,1.31,-3.06,-3.06,-3.06,9.2,18.5,-0.1,-2.59
200302,0,1361,2.66,-2.83,-2.83,-2.83,12.2,22.7,1.8,-0.24
200303,0,1156,3.51,-2.37,-2.37,-2.11,24.2,35.7,12.7,0.48
200304,0,802,1.92,-2.67,-2.67,-2.67,35.7,46.8,24.6,-1.63
200305,0,435,3.49,-2.33,-2.33,-2.17,49.6,60.6,38.7,0.22
200306,20,103,3.27,-2.32,-2.32,-2.32,61.2,73.2,49.3,-0.69
200307,105,27,3.47,-2.22,-2.22,-2.22,65.9,76.2,55.5,-0.42
200308,110,31,3.53,-2.16,-2.16,-2.16,66.0,75.7,56.4,-0.51
200309,11,162,4.2,-0.01,-1.95,-1.9,58.4,69.7,47.0,-0.03
200310,0,567,7.93,1.7,1.7,1.7,44.6,53.8,35.4,5.11
200311,0,807,4.4,1.61,1.61,1.61,35.4,43.6,27.1,0.25
200312,0,1185,6.33,2.59,2.59,2.59,23.0,31.9,14.3,3.44
200401,0,1685,0.97,-1.02,1.3,-0.06,6.4,14.8,-2.0,-3.06
200402,0,1208,1.44,-1.64,-1.64,-1.64,18.0,29.0,7.1,-2.18
200403,0,1038,1.61,-2.27,-2.27,-2.27,28.7,38.5,18.9,-2.39
200404,0,700,3.41,-2.08,-2.08,-2.07,39.6,50.0,29.1,-0.13
200405,0,362,3.79,-1.79,-1.79,-1.61,51.9,63.6,40.3,0.23
200406,2,185,2.77,-1.87,-1.87,-1.87,57.5,69.1,46.0,-0.79
200407,67,51,4.68,0.53,-1.14,-0.31,64.6,74.4,54.7,1.6
200408,85,47,6.38,1.83,1.83,1.83,64.6,74.8,54.5,4.04
200409,5,211,2.74,-0.21,1.43,1.06,56.2,68.0,44.4,-0.62
200410,0,536,2.46,-0.52,0.95,0.05,45.5,55.7,35.3,-0.99
200411,0,866,4.19,-0.38,0.94,0.13,33.2,41.3,25.2,0.25
200412,0,1281,4.36,-0.04,1.14,0.69,19.1,28.2,9.9,0.89
200501,0,1538,2.34,-0.43,0.64,-0.32,11.5,21.9,1.0,-1.16
200502,0,1181,2.53,-0.53,-0.53,-0.53,19.6,30.8,8.5,-0.44
200503,0,1142,4.27,0.55,0.55,0.55,25.0,35.5,14.6,1.64
200504,0,652,7.3,2.32,2.32,2.32,41.1,51.7,30.5,5.48
200505,0,522,5.87,3.27,3.27,3.27,47.2,56.1,38.4,3.59
200506,36,73,3.44,2.68,2.68,2.3,63.2,75.0,51.5,-0.78
200507,109,24,3.89,2.42,2.42,2.01,66.6,78.3,54.9,0.06
200508,107,34,4.44,2.47,2.47,2.35,65.5,77.0,54.1,0.89
200509,16,140,4.68,2.52,2.52,2.52,58.5,69.5,47.6,0.91
200510,0,496,11.26,5.4,5.4,5.4,47.2,54.6,39.7,9.42
200511,0,795,6.27,5.75,5.75,5.75,35.3,43.2,27.3,2.72
200512,0,1246,5.3,5.86,5.86,5.86,21.3,29.1,13.6,2.11
200601,0,1187,4.28,5.77,5.77,5.77,22.6,31.2,14.0,1.53
200602,0,1180,2.51,5.01,5.01,4.78,19.0,27.5,10.5,-0.47
200603,0,1026,1.2,3.49,3.49,2.1,29.0,38.3,19.7,-3.01
200604,0,622,2.35,2.38,2.38,0.17,42.3,53.6,31.0,-2.26
200605,0,333,5.9,3.03,3.03,1.79,53.2,63.7,42.6,2.68
200606,35,74,7.39,4.33,4.33,4.33,63.3,72.8,53.8,4.84
200607,173,9,5.46,4.65,4.65,4.65,68.9,79.5,58.3,2.3
200608,49,86,3.84,4.52,4.52,4.52,61.7,72.5,50.8,1.05
200609,5,212,2.96,3.93,3.93,3.73,56.1,67.0,45.1,-0.38
200610,0,552,7.85,5.43,5.43,5.43,44.9,53.9,35.9,5.72
200611,0,705,4.97,5.07,5.07,5.07,38.9,46.0,31.8,0.58
200612,0,1042,2.94,4.23,4.23,3.83,27.8,35.5,20.1,-0.94
200701,0,1355,2.61,3.54,3.54,2.78,17.3,26.7,7.9,-0.79
200702,0,1382,2.06,2.77,2.77,1.55,11.6,22.3,1.0,-1.19
200703,0,1110,4.14,2.97,2.97,2.24,25.8,36.5,15.2,1.44
200704,0,767,6.48,4.34,4.34,4.34,37.0,46.4,27.5,5.03
200705,0,370,3.2,3.76,3.76,3.55,51.2,63.6,38.8,-0.4
200706,19,105,3.05,3.04,3.04,2.4,61.1,72.9,49.3,-0.99
200707,77,43,3.56,2.67,2.67,1.93,64.6,75.4,53.7,-0.16
200708,76,57,4.14,2.64,2.64,2.12,63.5,75.4,51.6,0.73
200709,8,180,2.38,1.67,1.67,0.36,57.2,69.1,45.4,-2.1
200710,0,414,4.85,1.62,1.62,0.44,49.6,59.3,39.9,0.35
200711,0,903,6.9,2.77,2.77,2.77,31.7,39.2,24.2,3.96
200712,0,1344,4.26,2.74,2.74,2.74,18.0,26.4,9.7,0.77
200801,0,1320,2.91,2.34,2.34,2.12,18.6,28.3,9.0,-0.37
200802,0,1188,5.36,3.45,3.45,3.45,18.5,28.5,8.6,4.07
200803,0,1162,4.62,3.82,3.82,3.82,23.1,34.0,12.2,2.17
200804,0,642,4.24,3.68,3.68,3.68,41.5,53.1,30.0,0.76
200805,0,398,1.65,2.58,2.58,1.67,50.0,62.2,37.8,-2.16
200806,20,100,6.16,3.28,3.28,3.28,61.2,70.8,51.5,2.89
200807,144,14,4.91,3.5,3.5,3.5,67.7,78.3,57.1,1.66
200808,54,78,5.41,4.14,4.14,4.14,63.1,72.7,53.6,3.01
200809,2,214,6.01,5.0,5.0,5.0,56.2,66.9,45.6,3.86
200810,0,577,4.09,4.89,4.89,4.89,44.2,53.7,34.7,1.23
200811,0,838,5.34,4.9,4.9,4.9,35.0,42.1,27.9,1.54
200812,0,1249,5.32,5.11,5.11,5.11,20.2,30.2,10.3,2.13
200901,0,1624,2.57,4.3,4.3,3.93,7.9,19.0,-3.2,-0.84
200902,0,1200,2.65,3.77,3.77,3.26,18.9,29.3,8.4,-0.25
200903,0,1105,2.45,3.01,3.01,2.04,26.2,37.5,14.8,-1.12
200904,0,623,3.97,2.79,2.79,1.89,41.9,52.9,30.8,0.28
200905,0,370,4.07,2.74,2.74,2.06,51.1,62.9,39.2,0.71
200906,5,169,6.7,4.0,4.0,4.0,58.7,68.3,49.1,4.63
200907,43,77,6.71,5.29,5.29,5.29,63.0,71.7,54.3,5.09
200908,113,30,3.98,4.96,4.96,4.96,66.1,76.8,55.4,0.65
200909,0,253,1.75,3.78,3.78,2.96,54.9,67.2,42.5,-2.02
200910,0,657,5.53,4.3,4.3,4.3,41.2,48.8,33.7,2.74
200911,0,722,4.77,3.98,3.98,3.98,38.5,47.4,29.7,0.37
200912,0,1228,4.31,3.85,3.85,3.85,21.9,29.2,14.7,0.83
201001,0,1300,3.07,3.4,3.4,3.28,20.3,28.2,12.4,-0.15
201002,0,1053,2.67,2.98,2.98,2.72,24.6,30.6,18.5,-0.22
201003,0,850,5.11,3.48,3.48,3.48,34.6,44.4,24.7,2.42
201004,0,540,2.82,-0.68,2.44,1.57,44.9,55.8,34.0,-2.04
201005,3,275,2.09,-1.39,1.41,-0.39,54.6,67.4,41.7,-2.33
201006,18,105,5.54,-0.59,1.91,0.88,60.8,71.4,50.1,1.95
201007,173,9,2.87,-1.08,1.17,-0.43,69.2,79.6,58.9,-1.63
201008,98,38,2.33,-1.66,-1.66,-1.66,65.2,77.0,53.4,-2.09
201009,13,151,5.37,0.44,-1.05,-0.32,58.3,67.5,49.2,1.31
201010,0,538,5.93,1.32,1.32,1.32,45.2,53.8,36.5,2.78
201011,0,829,5.2,1.65,1.65,1.65,34.5,42.3,26.7,1.41
201012,0,1197,6.31,2.62,2.62,2.62,23.4,30.5,16.3,3.41
201101,0,1429,1.89,1.75,1.75,0.93,15.9,24.6,7.2,-1.79
201102,0,1267,2.95,1.65,1.65,0.89,16.2,26.8,5.5,0.23
201103,0,1074,4.93,2.36,2.36,2.36,26.8,37.0,16.6,2.63
201104,0,687,4.75,2.79,2.79,2.79,39.0,49.0,28.9,2.02
201105,0,363,5.49,3.29,3.29,3.29,51.9,61.1,42.6,2.37
201106,12,131,4.06,3.15,3.15,3.15,60.2,71.0,49.5,0.6
201107,150,14,3.69,2.77,2.77,2.64,67.6,79.1,56.0,-0.17
201108,85,47,7.44,4.27,4.27,4.27,64.8,74.8,55.0,5.36
201109,15,145,3.89,4.01,4.01,4.01,59.0,69.2,48.6,0.54
201110,0,478,4.97,4.23,4.23,4.23,47.6,55.5,39.7,1.89
201111,0,721,2.49,-0.89,2.91,1.83,38.8,48.5,29.0,-2.66
201112,0,1098,3.49,-0.87,2.53,1.34,26.0,35.0,17.0,-0.23
201201,0,1311,3.1,-0.82,2.23,1.0,18.2,27.4,8.9,-0.11
201202,0,1104,1.76,-1.29,1.45,-0.36,21.4,31.6,11.3,-1.67
201203,0,855,1.94,-1.93,-1.93,-1.93,34.3,45.1,23.5,-2.33
201204,0,612,4.14,0.16,-1.58,-1.28,42.2,53.4,31.1,0.48
201205,0,310,4.68,0.49,-1.06,-0.22,53.8,64.2,43.4,1.05
201206,11,133,7.58,2.32,2.32,2.32,60.2,70.7,49.8,5.63
201207,143,15,1.89,1.13,1.13,-0.19,67.6,79.2,56.0,-2.85
201208,137,21,4.29,1.05,1.05,-0.19,67.4,78.2,56.6,0.12
201209,0,225,4.91,1.35,1.35,0.59,55.9,67.3,44.5,1.21
201210,0,458,6.69,2.36,2.36,2.36,48.2,57.0,39.3,3.44
201211,0,883,1.29,-1.16,0.95,-0.64,32.7,41.0,24.5,-3.49
201212,0,1146,5.11,-0.42,1.47,0.69,24.4,32.2,16.6,1.86
201301,0,1391,1.42,-1.19,-1.19,-1.19,15.8,26.0,5.7,-2.44
201302,0,1153,3.06,-0.94,-0.94,-0.59,20.0,28.8,11.3,0.4
201303,0,1001,2.45,-1.21,-1.21,-1.21,30.3,38.2,22.5,-1.12
201304,0,701,1.98,-1.82,-1.82,-1.82,39.1,50.0,28.2,-2.21
201305,0,369,5.67,0.84,-0.79,0.49,52.3,64.4,40.2,2.53
201306,23,96,6.55,2.11,2.11,2.11,60.8,71.3,50.3,4.06
201307,161,11,4.89,2.41,2.41,2.41,68.3,78.8,57.7,1.54
201308,73,59,4.6,2.75,2.75,2.75,63.7,74.7,52.7,1.78
201309,5,205,5.42,3.44,3.44,3.44,56.7,66.9,46.6,2.93
201310,0,486,1.7,2.39,2.39,1.5,47.3,57.6,37.0,-2.1
201311,0,900,4.11,2.23,2.23,1.41,32.3,40.6,24.0,0.26
201312,0,1370,3.76,2.04,2.04,1.23,17.0,24.6,9.3,0.12
201401,0,1450,3.41,1.94,1.94,1.22,14.2,23.6,4.9,0.32
201402,0,1269,2.85,1.76,1.76,1.04,15.7,26.5,4.9,0.07
201403,0,1316,3.8,1.89,1.89,1.43,18.1,29.9,6.4,0.92
