Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,990,2.37,-0.34,4.5,4.07,33.3,42.3,24.3,-1.01
199702,0,697,2.6,-0.56,3.79,3.02,40.0,49.4,30.6,-0.76
199703,0,626,5.06,-0.06,3.84,3.52,44.9,55.3,34.6,1.33
199704,0,426,2.59,-0.3,3.19,2.54,50.4,61.6,39.2,-0.76
199705,19,192,2.43,-0.67,2.46,1.35,59.1,71.4,46.9,-1.2
199706,156,10,3.02,-0.8,2.01,0.69,69.3,80.4,58.2,-0.58
199707,344,0,2.84,-1.25,1.27,-0.55,75.7,86.9,64.5,-1.61
199708,252,1,3.89,-1.38,0.88,-1.08,72.7,83.7,61.6,-0.77
199709,90,48,2.57,-1.68,-1.68,-1.68,66.3,77.1,55.5,-1.34
199710,10,285,2.72,-1.85,-1.85,-1.85,55.9,67.2,44.7,-1.02
199711,0,660,6.2,0.89,-0.77,0.58,43.2,51.2,35.3,2.67
199712,0,845,2.48,0.59,-0.9,0.13,37.7,46.2,29.2,-0.63
199801,0,767,6.16,1.61,1.61,1.61,40.3,48.4,32.1,3.24
199802,0,683,5.82,2.64,2.64,2.64,40.5,48.6,32.3,3.59
199803,0,622,5.58,3.01,3.01,3.01,44.9,54.3,35.4,1.94
199804,3,293,3.91,2.76,2.76,2.76,55.1,66.7,43.5,0.17
199805,93,68,4.74,2.61,2.61,2.61,65.3,75.5,55.1,0.4
199806,182,5,4.99,2.89,2.89,2.89,70.6,80.3,61.0,1.65
199807,338,0,2.22,-0.6,1.99,1.19,75.4,86.2,64.7,-1.8
199808,325,0,2.34,-1.34,0.99,-0.81,75.1,86.1,64.0,-2.4
199809,217,6,1.78,-2.17,-2.17,-2.17,71.5,83.1,59.8,-2.89
199810,13,258,1.77,-2.74,-2.74,-2.74,57.0,67.7,46.2,-2.39
199811,0,542,1.04,-3.85,-3.85,-3.85,46.7,58.1,35.3,-4.17
199812,0,717,2.11,-4.72,-4.72,-4.72,41.7,51.3,32.1,-3.81
199901,0,911,5.4,-3.83,-3.83,-3.32,36.1,45.9,26.2,1.21
199902,0,769,2.56,-3.64,-3.64,-3.3,37.5,47.4,27.6,-0.6
199903,0,736,4.31,-2.97,-2.97,-2.26,41.0,51.3,30.8,0.86
199904,0,342,3.04,-2.89,-2.89,-2.37,53.5,65.6,41.5,-0.65
199905,60,103,1.53,-3.52,-3.52,-3.52,63.2,75.4,51.0,-2.78
