Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1191,3.41,-0.1,4.09,3.92,25.4,34.0,16.8,-0.29
199702,0,882,2.08,-0.62,3.13,2.3,32.5,41.2,23.8,-1.6
199703,0,939,4.37,0.22,3.03,2.4,33.7,42.6,24.8,0.66
199704,0,628,5.15,0.76,3.28,3.23,43.4,54.1,32.7,1.7
199705,0,355,3.43,0.69,2.95,2.83,53.0,63.5,42.5,0.01
199706,65,48,1.35,-0.87,1.78,0.58,65.3,77.4,53.2,-2.6
199707,176,4,3.23,-1.08,1.29,-0.24,69.7,81.4,58.0,-0.9
199708,122,22,4.63,-0.81,1.32,-0.01,67.6,78.2,57.1,0.47
199709,18,126,1.75,-1.47,-1.47,-1.47,60.5,71.2,49.8,-2.23
199710,0,484,2.08,-1.97,-1.97,-1.97,48.6,60.0,37.2,-1.96
199711,0,790,6.47,0.55,-1.22,-0.39,37.6,45.7,29.6,1.64
199712,0,1024,3.17,0.28,-1.31,-0.72,31.0,39.4,22.6,-0.63
199801,0,1020,5.81,1.04,1.04,1.04,31.1,38.4,23.8,2.35
199802,0,854,4.48,1.45,1.45,1.45,33.7,42.1,25.3,1.57
199803,0,812,5.09,1.65,1.65,1.65,37.9,47.2,28.6,1.03
199804,0,522,3.67,1.27,1.27,0.89,47.2,58.5,35.9,-0.61
199805,17,182,4.96,1.39,1.39,1.3,59.7,71.1,48.3,0.74
199806,48,64,9.21,3.27,3.27,3.27,64.2,73.1,55.4,6.08
199807,193,1,2.88,-0.21,2.73,2.42,70.4,81.1,59.6,-0.62
199808,185,8,2.82,-0.61,2.03,1.16,70.2,81.0,59.4,-1.27
199809,39,81,2.34,-1.16,1.2,-0.41,63.0,74.6,51.4,-1.86
199810,0,411,4.99,-0.7,1.42,0.23,51.1,60.9,41.2,1.02
199811,0,715,2.33,-1.27,0.63,-1.18,40.3,49.2,31.4,-1.92
199812,0,886,1.58,-2.0,-2.0,-2.0,35.6,45.1,26.0,-2.58
199901,0,1168,6.4,1.0,-0.79,0.67,26.0,36.3,15.8,3.0
199902,0,937,3.59,1.06,1.06,1.06,30.6,40.0,21.2,0.5
199903,0,855,4.89,1.28,1.28,1.28,36.4,45.8,26.9,0.97
199904,0,537,1.12,-1.2,-1.2,-1.2,46.6,58.4,34.8,-3.59
199905,6,236,3.91,-1.07,-1.07,-0.97,57.4,69.3,45.5,0.01
199906,124,15,1.44,-1.91,-1.91,-1.91,68.1,80.5,55.7,-2.85
199907,269,0,2.92,-2.33,-2.33,-2.33,73.0,84.4,61.6,-1.85
199908,148,15,2.9,-2.68,-2.68,-2.68,68.5,79.3,57.8,-1.77
199909,58,60,9.03,1.41,-0.99,0.85,64.3,74.6,53.9,4.23
199910,0,469,4.58,1.9,1.9,1.9,48.9,60.5,37.4,1.89
199911,0,582,2.98,-0.46,1.24,0.52,44.8,54.5,35.1,-1.38
199912,0,962,2.28,-0.96,0.57,-0.93,32.8,41.4,24.3,-1.63
200001,0,1246,3.52,-0.92,-0.92,-0.92,23.5,33.5,13.6,-0.17
200002,0,946,3.37,0.07,0.07,-0.76,30.1,39.3,20.8,0.2
200003,0,735,4.42,0.05,0.05,-0.69,40.6,51.3,29.9,-0.04
200004,0,578,5.87,0.82,0.82,0.82,45.1,54.3,35.9,2.33
200005,4,268,3.94,0.77,0.77,0.77,56.4,67.5,45.2,0.1
200006,65,47,6.2,1.59,1.59,1.59,65.1,75.6,54.5,2.7
200007,105,20,5.37,2.36,2.36,2.36,67.0,77.0,57.0,2.81
200008,110,28,3.63,2.31,2.31,2.31,67.0,76.7,57.3,0.59
200009,15,137,3.57,2.16,2.16,2.16,60.2,71.2,49.3,0.26
200010,0,436,2.47,-0.21,1.72,1.37,50.2,61.1,39.3,-0.64
200011,0,722,3.53,-0.33,1.41,0.82,40.0,47.5,32.4,-0.4
200012,0,1198,4.3,-0.1,1.46,1.07,25.0,34.1,16.0,0.58
200101,0,1217,2.2,-0.63,0.77,-0.36,24.6,34.4,14.8,-1.63
200102,0,1011,2.78,-0.77,-0.77,-0.77,27.8,37.4,18.2,-0.61
200103,0,977,8.75,1.91,1.91,1.91,32.5,40.2,24.8,5.72
200104,0,560,1.75,-0.91,0.8,-0.56,45.9,57.7,34.1,-2.73
200105,9,222,3.06,-1.16,-1.16,-1.16,57.8,69.9,45.6,-1.02
200106,116,18,5.89,0.67,0.67,0.67,67.5,78.7,56.3,2.02
200107,106,19,3.29,0.69,0.69,0.69,67.2,78.6,55.7,0.26
200108,229,0,3.36,-0.18,-0.18,0.43,71.7,82.4,61.0,-0.55
200109,30,98,3.54,-0.3,-0.3,-0.3,61.9,73.4,50.4,-0.39
200110,0,379,1.1,-1.24,-1.24,-1.24,51.9,64.3,39.6,-2.93
200111,0,593,1.22,-2.5,-2.5,-2.5,44.4,54.9,33.8,-4.15
200112,0,867,3.04,-2.96,-2.96,-2.96,35.9,44.5,27.2,-2.16
200201,0,981,2.63,-3.05,-3.05,-3.05,32.4,40.6,24.1,-1.18
200202,0,890,2.25,-3.19,-3.19,-3.19,32.4,42.9,22.0,-1.36
200203,0,837,4.24,-2.81,-2.81,-2.68,37.1,46.9,27.2,0.16
200204,0,481,3.77,-2.75,-2.75,-2.75,48.5,59.7,37.3,-0.68
200205,0,306,5.43,-1.82,-1.82,-0.96,54.6,65.8,43.3,1.92
200206,45,67,4.59,-1.28,-1.28,0.06,64.0,75.2,52.8,1.08
200207,215,0,1.98,-1.75,-1.75,-1.14,71.4,82.6,60.0,-1.83
200208,226,3,2.85,-2.14,-2.14,-2.11,71.4,83.0,59.9,-1.7
200209,61,57,4.19,-2.04,-2.04,-2.04,64.4,75.4,53.5,-0.35
200210,0,487,4.16,0.18,-1.64,-1.33,48.4,58.1,38.7,0.54
200211,0,753,5.88,0.77,-0.87,0.34,39.0,46.8,31.0,1.82
200212,0,1097,5.26,1.23,1.23,1.23,28.5,37.1,19.9,1.61
200301,0,1382,2.83,0.79,0.79,0.13,19.0,27.8,10.2,-0.93
200302,0,1155,4.05,1.08,1.08,1.01,22.8,31.8,13.7,1.12
200303,0,922,4.42,1.18,1.18,1.18,34.5,46.3,22.7,0.63
200304,0,655,4.09,1.23,1.23,1.23,42.9,53.0,32.9,0.49
200305,0,335,4.17,1.31,1.31,1.31,54.2,64.3,44.1,0.63
200306,45,68,5.52,1.87,1.87,1.87,64.0,73.4,54.6,2.09
200307,213,0,2.67,1.37,1.37,0.85,71.0,81.4,60.6,-0.94
200308,227,4,5.75,1.81,1.81,1.81,71.5,80.8,62.2,1.74
200309,36,88,5.34,2.13,2.13,2.13,62.6,72.4,52.7,1.52
200310,0,480,5.7,2.96,2.96,2.96,48.6,59.0,38.3,3.15
