Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1235,1.86,2.05,2.05,1.67,26.4,36.8,16.0,0.27
199702,0,803,4.26,2.9,2.9,2.9,37.4,45.2,29.5,3.18
199703,10,590,3.03,2.39,2.39,2.07,47.0,59.6,34.3,-0.63
199704,0,466,3.74,2.36,2.36,2.24,50.0,61.4,38.6,0.64
199705,33,210,5.06,2.48,2.48,2.48,59.8,72.2,47.3,1.09
199706,209,16,4.02,2.15,2.15,1.99,71.5,81.5,61.5,-0.22
199707,388,0,2.21,1.54,1.54,0.81,77.7,89.1,66.3,-1.17
199708,279,11,4.13,1.58,1.58,1.07,73.8,84.5,63.1,0.61
199709,147,49,3.21,1.18,1.18,0.33,68.4,79.9,57.0,-0.72
199710,17,276,3.42,1.05,1.05,0.19,56.9,68.3,45.6,-0.02
199711,0,731,2.39,0.74,0.74,-0.35,41.2,49.4,33.1,-0.61
199712,0,978,2.48,0.67,0.67,-0.37,34.1,40.8,27.4,0.03
199801,0,950,2.49,0.91,0.91,0.19,35.3,42.9,27.7,0.91
199802,0,676,2.96,1.17,1.17,0.65,41.2,49.3,33.1,1.07
199803,0,765,5.83,2.2,2.2,2.2,41.1,49.4,32.8,3.46
199804,3,351,4.09,2.15,2.15,2.15,54.0,65.0,43.1,0.51
199805,170,52,3.2,1.16,1.16,0.07,69.2,80.2,58.1,-2.28
199806,251,11,7.27,1.86,1.86,1.8,73.6,84.0,63.2,2.45
199807,391,0,6.44,2.83,2.83,2.83,78.0,87.2,68.8,3.47
199808,368,1,2.38,2.35,2.35,2.06,76.8,87.4,66.3,-0.55
199809,255,15,4.65,2.31,2.31,2.21,73.4,84.6,62.0,0.61
199810,24,238,5.66,2.97,2.97,2.97,58.6,70.1,47.0,2.7
199811,0,517,3.21,3.02,3.02,3.02,48.4,58.4,38.3,1.07
199812,0,906,1.69,2.6,2.6,2.4,36.4,46.4,26.5,-0.35
199901,0,1109,3.28,2.99,2.99,2.99,30.6,39.1,22.1,1.99
199902,0,654,2.27,2.68,2.68,2.62,42.4,52.1,32.6,0.0
199903,0,720,2.75,2.26,2.26,1.95,42.3,53.2,31.4,-0.45
199904,14,271,6.01,2.79,2.79,2.79,56.9,66.8,47.0,2.28
199905,82,127,4.65,2.52,2.52,2.49,63.8,75.2,52.4,0.07
199906,232,12,4.78,2.38,2.38,2.38,72.6,82.5,62.7,0.36
199907,461,0,1.93,-0.6,1.54,0.69,80.0,90.9,69.0,-1.8
199908,324,7,2.2,-1.15,0.77,-0.88,75.6,88.2,63.0,-1.84
199909,112,77,2.56,-1.51,-1.51,-1.51,66.5,80.5,52.6,-1.44
199910,16,279,1.53,-2.13,-2.13,-2.13,56.9,71.2,42.6,-2.31
199911,7,412,1.14,-3.18,-3.18,-3.18,52.0,65.4,38.6,-3.82
199912,0,900,3.75,-2.98,-2.98,-2.98,36.8,46.8,26.8,-0.39
200001,0,1019,1.37,-3.23,-3.23,-3.23,33.0,43.0,23.0,-1.65
200002,0,658,2.74,-3.02,-3.02,-3.02,42.2,52.9,31.5,-0.39
200003,12,549,2.55,-3.17,-3.17,-3.17,48.2,59.8,36.7,-1.37
200004,7,336,1.23,-3.78,-3.78,-3.78,54.4,67.4,41.4,-2.81
200005,135,74,4.16,-3.86,-3.86,-3.86,67.2,78.4,56.0,-1.41
200006,194,19,6.94,0.84,-2.62,-1.58,71.2,81.3,61.0,2.53
200007,341,3,4.05,1.11,-2.0,-0.53,76.1,85.9,66.4,1.06
200008,433,0,2.69,-0.27,-2.07,-0.91,79.5,90.9,68.2,-0.82
200009,155,46,2.83,-0.59,-2.2,-1.4,69.0,82.7,55.3,-1.04
200010,35,202,2.81,-0.86,-2.3,-1.79,60.1,71.8,48.4,-0.98
200011,0,774,2.88,-0.87,-2.17,-1.7,39.8,49.2,30.4,-0.31
200012,0,1392,1.45,-1.19,-2.35,-2.24,21.1,30.1,12.1,-1.22
200101,0,1129,1.98,0.06,-2.05,-1.81,29.4,38.5,20.3,0.17
