Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,704,2.15,2.51,2.51,2.51,32.0,41.1,22.8,3.68
199702,0,546,0.48,-0.04,2.22,2.11,34.8,45.7,23.9,-0.11
199703,29,332,0.25,-0.81,1.22,0.05,44.5,59.1,29.9,-2.32
199704,43,284,0.81,-0.78,1.03,-0.2,45.4,58.2,32.6,-0.18
199705,295,59,0.39,-1.22,-1.22,-1.22,60.5,75.7,45.2,-1.54
199706,344,37,1.75,0.79,0.79,0.79,64.0,77.7,50.2,2.36
199707,483,5,0.65,0.97,0.97,0.97,70.1,85.6,54.6,0.79
199708,536,4,0.35,0.62,0.62,0.62,71.8,88.0,55.6,-0.74
199709,301,33,1.31,1.43,1.43,1.43,63.3,77.7,48.9,2.61
199710,62,209,0.47,-0.25,1.03,0.55,49.9,64.6,35.2,-0.74
199711,4,438,0.88,-0.41,0.74,-0.1,41.0,52.7,29.3,-0.56
199712,0,772,0.52,-0.83,-0.83,-0.83,29.7,40.2,19.2,-1.41
199801,0,658,1.3,-0.81,-0.81,-0.81,35.2,45.0,25.3,-0.18
199802,0,623,2.94,1.57,1.57,1.57,33.5,41.8,25.2,4.71
199803,7,475,1.72,2.08,2.08,2.08,40.3,51.9,28.7,2.01
199804,15,370,1.19,2.38,2.38,2.38,43.9,56.2,31.6,1.55
199805,77,210,2.52,4.08,4.08,4.08,50.0,62.1,37.9,5.84
199806,226,58,1.78,5.79,5.79,5.79,59.7,73.6,45.7,6.39
199807,571,0,0.87,8.04,8.04,8.04,73.8,90.0,57.6,8.54
199808,569,2,0.28,7.56,7.56,7.56,73.2,90.0,56.4,1.05
199809,257,31,1.89,8.47,8.47,8.47,62.9,76.0,49.7,5.06
199810,47,240,1.13,8.11,8.11,8.11,47.9,61.2,34.5,1.52
199811,0,490,0.87,-0.09,7.18,7.03,39.5,50.3,28.8,-0.27
199812,0,744,0.42,-0.59,5.93,5.18,30.4,42.2,18.6,-1.54
199901,0,635,1.3,-0.51,5.34,4.56,34.5,45.8,23.1,0.05
199902,0,537,0.75,-0.81,4.44,3.26,35.7,46.9,24.5,-1.03
199903,16,415,0.39,-1.47,3.23,1.26,41.2,54.7,27.7,-2.25
199904,14,388,1.63,-0.57,3.66,2.46,42.5,54.2,30.7,2.27
199905,141,130,0.74,-0.58,3.21,1.94,54.0,68.3,39.7,-0.21
199906,330,34,1.0,-0.57,2.83,1.52,64.1,79.4,48.7,-0.14
199907,489,3,0.52,-0.75,2.3,0.79,71.5,87.4,55.5,-0.72
199908,468,9,0.56,-0.78,1.95,0.38,69.4,85.3,53.4,-0.34
199909,296,33,0.27,-1.09,1.36,-0.46,62.8,79.0,46.6,-1.17
199910,119,131,0.15,-1.74,-1.74,-1.74,54.1,71.7,36.5,-2.27
199911,11,350,0.23,-2.55,-2.55,-2.55,44.6,59.1,30.0,-2.97
199912,0,685,0.2,-3.1,-3.1,-3.1,32.5,45.9,19.1,-2.45
200001,0,630,1.43,-2.83,-2.83,-2.83,35.0,45.4,24.7,-0.14
200002,4,497,2.28,-1.9,-1.9,-1.03,38.3,47.8,28.8,1.93
200003,10,443,0.97,-1.89,-1.89,-1.22,41.0,53.4,28.6,-0.57
200004,95,181,0.69,-2.25,-2.25,-2.18,51.5,66.2,36.8,-1.66
200005,258,83,1.06,-2.42,-2.42,-2.42,58.6,73.3,43.8,-1.21
200006,447,17,0.25,-3.04,-3.04,-3.04,68.1,84.4,51.8,-2.61
200007,550,3,0.04,-3.74,-3.74,-3.74,72.4,89.5,55.3,-3.04
200008,537,3,1.03,-3.11,-3.11,-2.76,72.3,88.2,56.4,0.74
200009,287,43,0.33,-3.12,-3.12,-3.11,62.2,78.2,46.1,-1.0
200010,62,206,1.65,-1.91,-1.91,-0.76,50.0,63.0,37.1,2.67
200011,0,628,0.39,-1.94,-1.94,-1.03,33.8,45.4,22.2,-0.66
200012,0,642,0.36,-2.47,-2.47,-2.35,34.6,47.0,22.3,-2.2
200101,0,766,1.14,-2.31,-2.31,-2.24,29.7,40.8,18.5,-0.28
200102,0,621,1.09,-2.05,-2.05,-1.88,32.0,42.2,21.8,0.08
200103,16,376,1.0,-2.27,-2.27,-2.27,43.8,56.0,31.7,-1.3
200104,37,296,1.19,-1.78,-1.78,-1.38,45.7,58.6,32.7,0.76
200105,304,49,0.16,-2.79,-2.79,-2.79,61.8,78.0,45.5,-3.59
200106,420,23,0.13,-3.7,-3.7,-3.7,67.1,83.8,50.4,-3.58
200107,524,3,0.81,-3.69,-3.69,-3.69,72.0,87.8,56.2,-1.13
200108,577,2,0.27,-4.03,-4.03,-4.03,74.2,91.2,57.2,-2.14
200109,364,25,0.25,-4.15,-4.15,-4.15,65.5,82.2,48.8,-1.6
200110,125,122,0.28,-4.39,-4.39,-4.39,54.7,70.2,39.2,-1.99
200111,7,403,1.24,-3.85,-3.85,-3.69,41.6,53.6,29.5,0.26
200112,0,774,1.37,-3.13,-3.13,-2.54,30.6,39.8,21.5,0.97
200201,0,751,0.67,-3.08,-3.08,-2.76,30.8,41.5,20.1,-0.83
200202,0,529,0.57,-3.17,-3.17,-3.17,35.2,48.5,22.0,-1.22
200203,6,511,0.53,-3.25,-3.25,-3.25,38.2,51.5,24.8,-1.23
200204,85,209,0.86,-3.21,-3.21,-3.21,49.5,63.7,35.3,-0.88
200205,170,112,0.4,-3.75,-3.75,-3.75,55.7,71.1,40.2,-2.59
200206,439,20,0.26,-4.34,-4.34,-4.34,67.6,84.2,51.1,-2.95
200207,654,0,0.31,-4.83,-4.83,-4.83,76.3,93.0,59.6,-2.81
200208,512,7,0.06,-5.22,-5.22,-5.22,70.3,87.3,53.4,-2.67
200209,309,33,0.47,-4.89,-4.89,-4.89,63.2,79.0,47.4,-0.62
200210,60,214,0.36,-4.72,-4.72,-4.72,49.1,64.1,34.1,-1.0
200211,6,436,0.94,-4.33,-4.33,-4.33,40.2,53.1,27.2,-0.27
200212,0,710,0.81,-4.15,-4.15,-4.15,33.5,44.0,23.1,-0.8
200301,9,493,0.52,-4.8,-4.8,-4.8,40.7,52.6,28.8,-3.25
200302,0,572,1.05,-4.52,-4.52,-4.52,34.1,45.2,22.9,-0.62
200303,12,415,0.8,-4.67,-4.67,-4.67,42.7,55.2,30.2,-1.85
200304,25,341,1.68,-3.47,-3.47,-2.6,44.2,55.9,32.4,2.15
200305,191,95,0.9,-3.35,-3.35,-2.71,57.0,71.5,42.6,-0.73
200306,430,16,0.1,-4.23,-4.23,-4.23,67.8,84.0,51.7,-3.65
200307,673,0,0.5,-4.65,-4.65,-4.65,77.0,93.9,60.0,-2.57
200308,530,3,1.15,-3.83,-3.83,-3.38,72.4,87.6,57.2,1.03
200309,362,26,0.31,-3.88,-3.88,-3.88,64.8,81.1,48.5,-1.33
200310,185,91,0.12,-4.41,-4.41,-4.41,57.0,73.3,40.8,-2.79
200311,0,579,0.98,-3.76,-3.76,-3.49,35.9,46.3,25.5,0.57
200312,0,711,1.71,-2.78,-2.78,-1.76,33.3,42.8,23.7,1.8
200401,0,734,0.53,-2.81,-2.81,-2.13,30.4,41.4,19.4,-0.97
200402,0,641,1.65,-1.83,-1.83,-0.36,32.3,41.7,22.9,2.08
200403,56,256,0.34,-2.73,-2.73,-2.38,47.9,62.2,33.6,-3.28
200404,59,228,1.02,-2.73,-2.73,-2.61,49.4,62.8,36.1,-0.83
200405,200,97,0.59,-2.96,-2.96,-2.96,56.8,71.7,41.8,-1.55
200406,408,22,0.34,-3.24,-3.24,-3.24,67.0,83.0,51.0,-1.76
200407,580,0,0.54,-3.32,-3.32,-3.32,73.8,89.7,57.8,-1.24
200408,487,6,0.82,0.11,-2.87,-2.67,70.1,85.5,54.8,0.33
200409,261,41,0.45,-0.15,-2.72,-2.66,61.5,77.5,45.5,-0.46
200410,55,215,2.36,1.61,-0.83,1.26,49.5,61.5,37.6,4.83
200411,0,548,1.4,1.97,1.97,1.97,37.8,48.3,27.3,1.57
200412,0,698,1.31,2.15,2.15,2.15,33.5,43.6,23.3,1.17
200501,0,689,2.25,3.25,3.25,3.25,32.4,41.0,23.8,3.96
