Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1094,3.18,3.96,3.96,3.83,30.3,38.9,21.8,-0.18
199702,0,770,2.42,3.17,3.17,2.56,38.0,47.6,28.5,-1.12
199703,0,756,4.65,3.07,3.07,2.67,41.2,51.0,31.4,0.68
199704,0,507,3.86,2.84,2.84,2.49,48.4,59.8,37.0,0.26
199705,4,264,3.2,2.42,2.42,1.87,57.1,68.6,45.5,-0.39
199706,99,24,2.13,1.62,1.62,0.44,67.8,79.8,55.8,-1.64
199707,266,0,5.19,1.65,1.65,0.67,74.0,85.8,62.2,0.57
199708,182,8,5.52,1.82,1.82,1.17,71.0,81.9,60.2,1.02
199709,49,81,2.29,1.24,1.24,0.21,64.4,75.2,53.6,-1.17
199710,3,353,2.36,0.72,0.72,-0.64,54.2,65.6,42.7,-1.19
199711,0,704,4.16,0.73,0.73,-0.47,42.1,50.3,33.9,0.27
199712,0,915,3.91,0.81,0.81,-0.22,36.1,44.2,27.9,0.45
199801,0,833,4.57,1.05,1.05,0.29,38.8,46.7,30.9,0.97
199802,0,740,4.47,1.46,1.46,0.84,39.1,47.3,30.8,1.56
199803,0,688,5.11,1.64,1.64,1.2,43.2,52.4,34.1,0.98
199804,0,390,4.67,1.68,1.68,1.4,52.4,63.8,41.0,0.63
199805,50,110,5.95,2.01,2.01,2.01,63.3,73.6,52.9,1.51
199806,113,21,5.04,2.37,2.37,2.37,68.5,77.9,59.1,1.71
199807,278,0,2.04,-0.68,1.45,0.5,74.4,85.2,63.5,-2.03
199808,276,0,2.58,-1.4,-1.4,-1.4,74.1,85.2,63.1,-2.36
199809,113,33,2.0,-2.05,-2.05,-2.05,68.2,79.8,56.8,-2.41
199810,4,322,2.63,-2.42,-2.42,-2.42,55.2,65.5,44.8,-1.73
199811,0,622,1.35,-3.24,-3.24,-3.24,44.7,55.6,33.8,-3.23
199812,0,786,1.34,-4.14,-4.14,-4.14,40.0,49.5,30.5,-3.69
199901,0,1016,7.19,-2.77,-2.77,-1.63,33.1,42.9,23.2,2.82
199902,0,843,2.88,-2.58,-2.58,-1.52,35.4,45.0,25.7,-0.28
