Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,962,1.11,0.84,-1.23,0.32,32.9,45.2,20.6,1.24
199702,0,746,0.94,1.06,-0.79,0.88,36.9,49.7,24.0,0.92
199703,0,513,0.22,0.28,-1.38,-0.26,47.4,64.8,29.9,-2.01
199704,1,448,1.87,1.09,1.09,1.09,48.5,62.7,34.3,2.51
199705,66,129,1.33,1.24,1.24,1.24,61.4,76.6,46.1,0.78
199706,172,31,1.81,1.57,1.57,1.57,68.5,84.4,52.6,1.39
199707,281,4,2.57,1.65,1.65,1.65,72.9,88.1,57.7,0.71
199708,245,8,2.52,1.44,1.44,1.3,71.6,85.3,57.8,-0.12
199709,153,32,2.67,1.81,1.81,1.81,67.9,81.6,54.2,1.57
199710,2,325,0.96,1.5,1.5,1.25,53.7,69.3,38.1,-0.37
199711,0,666,0.82,1.52,1.52,1.45,41.8,55.9,27.7,0.53
199712,0,1020,1.82,2.46,2.46,2.46,31.3,43.5,19.1,3.27
199801,0,847,0.18,1.7,1.7,0.99,37.1,51.1,23.1,-1.5
199802,0,752,0.78,1.73,1.73,1.24,37.3,49.8,24.9,0.61
199803,0,643,1.46,2.34,2.34,2.34,43.1,57.8,28.4,2.37
199804,0,473,0.56,2.45,2.45,2.45,48.3,64.3,32.3,1.05
199805,60,135,0.06,-0.59,1.61,0.78,61.8,79.9,43.8,-1.78
199806,202,27,0.19,-1.22,0.75,-0.98,69.9,88.0,51.8,-2.08
199807,310,2,3.52,-0.09,1.67,1.18,74.3,88.5,60.1,3.01
199808,248,8,2.14,-0.4,1.18,0.29,71.5,85.6,57.4,-0.96
199809,176,25,0.82,-1.34,-1.34,-1.34,68.9,84.3,53.4,-2.93
199810,6,282,3.27,1.66,1.66,1.66,55.4,69.2,41.5,4.99
199811,0,559,0.73,1.66,1.66,1.66,45.7,60.1,31.4,0.52
199812,0,842,0.39,-0.31,1.18,0.64,36.9,51.2,22.6,-0.93
199901,0,775,0.51,-0.66,0.68,-0.46,39.3,54.4,24.1,-1.14
199902,0,608,0.05,-1.45,-1.45,-1.45,42.6,59.8,25.4,-2.59
199903,0,523,0.86,-1.56,-1.56,-1.56,46.9,62.8,30.9,-0.76
199904,2,408,1.45,0.39,-1.01,-0.33,50.3,66.1,34.5,1.17
199905,47,165,1.56,0.57,-0.68,0.38,59.8,75.5,44.0,0.67
199906,170,33,1.56,0.67,0.67,0.67,68.3,84.2,52.3,0.47
199907,263,4,3.19,1.35,1.35,1.35,72.4,85.5,59.2,2.24
199908,226,12,3.44,1.92,1.92,1.92,71.1,84.4,57.7,2.14
199909,91,70,1.57,-0.15,1.57,1.29,64.4,78.8,50.0,-0.45
199910,3,286,0.38,-0.79,0.76,-0.5,55.0,73.0,37.0,-1.97
199911,0,502,0.02,-1.6,-1.6,-1.6,47.7,66.2,29.3,-2.67
199912,0,938,0.36,-1.76,-1.76,-1.76,34.2,49.0,19.4,-0.97
200001,0,785,0.23,-2.32,-2.32,-2.32,38.9,54.5,23.3,-2.23
200002,0,578,0.16,-3.11,-3.11,-3.11,43.7,59.8,27.6,-3.09
200003,0,571,1.62,-2.42,-2.42,-1.92,45.7,61.3,30.1,1.09
200004,16,267,0.34,-2.85,-2.85,-2.85,55.5,72.6,38.4,-2.02
200005,131,66,0.12,-4.04,-4.04,-4.04,66.0,84.0,47.9,-4.47
200006,222,16,2.27,-3.11,-3.11,-2.46,70.7,85.8,55.6,1.54
200007,327,1,1.71,-3.58,-3.58,-3.58,74.6,89.7,59.4,-2.35
200008,278,3,1.69,-4.09,-4.09,-4.09,73.2,88.1,58.2,-2.65
200009,149,32,0.22,-5.1,-5.1,-5.1,68.0,85.0,51.1,-4.28
200010,2,319,3.23,1.69,-2.88,-0.93,53.9,66.6,41.3,5.07
200011,0,810,1.29,2.45,-1.65,1.27,37.1,49.7,24.6,2.8
200012,0,888,0.48,2.15,-1.53,1.17,35.2,49.3,21.2,-0.15
200101,0,1002,1.16,2.68,-0.62,2.62,31.8,44.5,19.1,2.26
200102,0,689,0.7,2.55,2.55,2.55,39.3,53.4,25.2,0.44
200103,0,600,1.06,2.7,2.7,2.7,44.4,58.4,30.3,1.22
200104,9,310,0.41,2.49,2.49,2.49,54.2,70.8,37.5,0.23
200105,83,100,1.02,2.59,2.59,2.59,63.1,79.7,46.5,1.06
200106,244,15,0.8,2.38,2.38,2.38,71.5,88.5,54.6,0.16
200107,339,1,1.78,-0.45,1.68,1.02,75.2,89.9,60.5,-1.36
200108,235,9,2.39,-0.52,1.39,0.55,71.5,85.6,57.3,-0.34
200109,119,40,0.92,-1.24,-1.24,-1.24,66.7,82.7,50.7,-2.31
200110,11,238,0.23,-1.97,-1.97,-1.97,56.8,73.5,40.0,-2.57
200111,0,560,0.94,-1.68,-1.68,-1.49,45.7,59.1,32.2,0.25
200112,0,925,0.41,-1.8,-1.8,-1.8,34.7,49.4,19.9,-0.86
200201,0,873,0.52,-1.88,-1.88,-1.88,36.0,50.4,21.7,-0.8
200202,0,755,0.33,-2.0,-2.0,-2.0,37.0,52.8,21.2,-0.95
200203,0,620,0.43,-2.04,-2.04,-2.04,43.6,61.2,26.0,-0.75
200204,28,217,0.26,-2.81,-2.81,-2.81,57.3,74.3,40.4,-2.93
200205,72,111,0.14,-3.78,-3.78,-3.78,62.7,80.7,44.6,-3.79
200206,307,7,0.73,-4.31,-4.31,-4.31,73.8,91.2,56.4,-2.75
200207,300,2,2.25,-4.12,-4.12,-4.12,73.8,88.2,59.3,-0.76
200208,283,3,1.75,-4.53,-4.53,-4.53,73.2,88.6,57.8,-2.51
200209,101,58,2.61,-3.47,-3.47,-2.74,65.4,79.4,51.4,1.77
200210,2,343,1.54,-2.74,-2.74,-1.54,52.8,66.4,39.2,1.13
200211,0,655,0.56,-2.56,-2.56,-1.47,42.5,56.5,28.5,-0.32
200212,0,925,1.17,-1.9,-1.9,-0.38,34.5,46.6,22.4,1.19
200301,0,742,0.07,-2.61,-2.61,-2.01,40.2,55.8,24.5,-2.71
200302,0,702,1.07,-2.03,-2.03,-1.09,38.6,51.5,25.7,0.95
200303,0,592,0.67,-1.89,-1.89,-1.01,45.1,60.2,29.9,-0.22
200304,7,344,0.16,-2.23,-2.23,-1.75,52.9,69.9,36.0,-1.6
200305,82,102,0.38,-3.0,-3.0,-3.0,63.2,80.4,46.0,-3.0
200306,193,27,1.26,-2.88,-2.88,-2.88,69.2,85.4,52.9,-0.58
200307,403,0,0.78,-4.31,-4.31,-4.31,76.8,93.0,60.5,-5.17
200308,300,3,1.63,-4.81,-4.81,-4.81,73.5,87.9,59.1,-2.85
200309,119,52,0.94,-5.07,-5.07,-5.07,66.0,81.3,50.7,-2.24
200310,22,183,1.03,-4.87,-4.87,-4.87,58.9,74.6,43.2,-0.98
200311,0,590,0.86,-4.31,-4.31,-4.18,44.6,58.4,30.7,0.19
200312,0,861,0.22,-4.42,-4.42,-4.42,36.8,52.0,21.6,-1.67
200401,0,859,0.49,-4.35,-4.35,-4.35,36.6,49.9,23.3,-1.15
200402,0,810,1.07,0.46,-3.44,-2.85,35.0,48.5,21.4,1.39
200403,1,445,0.87,0.11,-3.39,-3.1,49.7,64.5,34.8,-0.92
200404,2,380,2.61,1.53,-1.61,0.35,51.4,65.1,37.7,4.3
200405,77,107,0.17,0.77,-2.04,-0.79,63.1,80.2,46.0,-1.8
200406,201,22,1.2,0.48,-2.05,-1.03,69.9,86.8,52.9,-0.66
200407,276,5,2.32,0.4,-1.87,-0.86,72.3,87.4,57.3,-0.08
200408,183,16,2.25,0.22,-1.81,-0.93,69.3,83.5,55.1,-0.41
200409,69,77,2.22,0.58,-1.24,-0.03,63.9,78.5,49.2,1.14
200410,3,315,1.61,0.89,-0.74,0.73,54.2,67.7,40.7,1.12
