Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1211,2.7,4.14,4.14,4.04,20.0,29.3,10.6,-0.12
199702,0,891,2.52,3.7,3.7,3.52,27.3,37.1,17.6,-0.06
199703,0,912,3.91,3.85,3.85,3.85,30.1,39.5,20.6,1.6
199704,0,596,2.63,3.17,3.17,2.78,41.0,52.1,29.8,-0.85
199705,0,354,3.22,2.92,2.92,2.57,49.8,60.5,39.2,0.23
199706,86,33,2.97,2.21,2.21,1.33,64.9,76.7,53.1,-1.24
199707,191,10,3.24,1.8,1.8,0.68,66.9,78.4,55.4,-0.55
199708,143,23,4.1,1.88,1.88,1.05,64.9,75.7,54.2,0.8
199709,30,126,3.86,1.8,1.8,1.06,57.8,68.1,47.6,0.34
199710,0,430,2.16,1.18,1.18,0.0,46.9,57.9,36.0,-1.3
199711,0,779,4.61,1.66,1.66,1.04,34.5,41.7,27.4,1.8
199712,0,1000,3.09,1.44,1.44,0.76,27.8,34.7,20.9,-0.13
199801,0,986,5.24,2.65,2.65,2.65,27.5,35.0,20.1,4.08
199802,0,850,2.57,2.39,2.39,2.34,30.2,38.8,21.5,0.03
199803,0,802,3.64,2.38,2.38,2.38,34.8,43.8,25.8,0.7
199804,0,489,3.12,1.79,1.79,1.27,46.0,57.7,34.3,-1.04
199805,34,151,3.59,1.23,1.23,0.18,60.4,72.0,48.8,-1.12
199806,67,47,6.74,2.65,2.65,2.65,63.7,73.3,54.0,4.66
199807,207,8,3.94,2.6,2.6,2.6,67.7,78.2,57.2,0.65
199808,217,9,3.41,-0.14,2.19,1.94,68.0,78.8,57.2,-0.43
199809,66,70,2.78,-0.63,1.46,0.52,61.1,72.2,50.0,-1.51
199810,0,376,2.84,-0.91,0.97,-0.4,49.4,58.8,40.0,-1.02
199811,0,681,1.85,-1.82,-1.82,-1.82,38.5,45.8,31.2,-3.03
199812,0,865,1.69,-2.44,-2.44,-2.44,32.8,42.0,23.7,-2.42
199901,0,1174,5.58,-0.64,-0.64,1.43,20.7,30.1,11.2,4.64
199902,0,936,1.34,-1.32,-1.32,-0.26,27.1,36.9,17.3,-2.23
199903,0,900,3.94,-0.64,-0.64,1.03,30.1,39.5,20.8,1.65
