Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,887,0.48,2.8,2.8,2.35,36.6,48.0,25.2,-0.42
199702,0,608,4.12,3.73,3.73,3.73,42.7,52.6,32.8,3.67
199703,15,417,1.21,2.8,2.8,2.1,52.2,66.4,38.0,-1.64
199704,7,308,5.48,3.63,3.63,3.63,54.2,65.9,42.6,3.35
199705,95,68,3.7,3.07,3.07,2.8,65.6,77.9,53.3,-0.54
199706,291,2,4.33,3.07,3.07,3.07,74.4,85.9,62.9,0.95
199707,508,0,2.54,3.05,3.05,3.05,81.5,93.3,69.7,0.88
199708,404,2,4.7,3.68,3.68,3.68,78.1,89.2,67.0,2.83
199709,286,14,3.07,3.2,3.2,3.02,74.0,86.0,62.0,-0.31
199710,48,150,4.02,3.26,3.26,3.26,61.3,72.8,49.9,1.17
199711,0,565,1.68,2.9,2.9,2.81,45.9,56.6,35.2,-0.08
199712,0,809,3.98,3.73,3.73,3.73,38.3,47.1,29.6,3.39
199801,0,762,3.54,4.54,4.54,4.54,40.4,50.0,30.8,3.57
199802,3,564,1.48,4.06,4.06,4.0,44.8,55.0,34.5,-0.01
199803,2,569,5.37,4.94,4.94,4.94,46.3,56.4,36.2,3.89
199804,15,243,2.55,-0.08,4.36,4.21,57.0,69.8,44.1,-0.23
199805,230,12,2.52,-0.93,3.05,1.88,72.0,84.7,59.4,-2.58
199806,448,0,1.8,-1.79,1.78,-0.46,79.9,92.6,67.1,-2.88
199807,652,0,2.44,-2.49,0.71,-2.32,85.9,99.0,72.7,-2.64
199808,569,0,1.53,-3.07,-3.07,-3.07,82.6,95.7,69.4,-2.53
199809,452,0,3.07,-3.24,-3.24,-3.24,79.6,92.4,66.7,-1.43
199810,74,116,6.69,1.1,-1.8,-0.4,63.6,74.7,52.4,3.31
199811,7,372,3.29,1.5,-1.1,0.87,52.4,62.6,42.3,1.54
199812,0,744,1.9,1.75,-0.58,1.71,40.6,51.4,29.8,1.21
199901,0,789,2.13,2.13,2.13,2.13,39.7,51.3,28.2,1.68
199902,11,443,0.88,1.51,1.51,0.89,49.2,62.3,36.2,-1.21
199903,8,507,4.12,2.08,2.08,2.08,48.7,59.7,37.7,2.19
199904,37,164,5.86,2.87,2.87,2.87,60.1,72.0,48.3,3.01
199905,120,49,5.45,2.85,2.85,2.85,67.2,78.9,55.4,0.82
199906,307,2,6.32,3.49,3.49,3.49,75.1,85.1,65.2,2.81
199907,534,0,1.38,-0.03,3.1,3.0,82.2,93.6,70.8,-0.1
199908,574,0,1.44,-0.64,2.17,1.29,83.2,97.3,69.2,-1.82
199909,193,36,3.86,-0.38,2.14,1.46,70.3,82.5,58.1,0.59
199910,50,148,1.9,-0.73,1.53,0.37,61.6,76.2,47.0,-1.18
199911,19,264,0.83,-1.58,-1.58,-1.58,56.1,70.5,41.7,-2.76
199912,0,680,3.1,-1.18,-1.18,-0.74,42.7,55.1,30.3,0.7
200001,0,768,1.15,-1.41,-1.41,-1.41,40.3,52.4,28.1,-1.05
200002,8,482,1.53,-1.74,-1.74,-1.74,48.0,61.6,34.3,-1.42
200003,20,383,4.3,0.46,-1.09,-0.34,52.8,64.0,41.6,1.39
200004,22,207,2.57,0.28,-1.12,-0.52,58.5,71.2,45.8,-0.41
200005,188,20,4.34,0.02,-1.23,-0.9,70.5,82.6,58.3,-0.68
200006,274,6,7.11,1.26,1.26,1.26,74.0,83.9,64.2,3.71
200007,485,0,2.54,1.49,1.49,1.49,81.0,92.9,69.1,1.1
200008,634,0,0.12,-0.95,-0.95,-0.95,85.3,99.7,70.9,-2.85
200009,325,9,1.09,-1.8,-1.8,-1.8,75.3,91.1,59.6,-2.84
200010,84,102,6.45,1.01,-0.6,0.94,63.8,74.4,53.1,3.04
