Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,819,6.05,5.03,5.03,5.03,32.7,40.2,25.2,1.49
199702,0,685,2.26,3.88,3.88,3.11,35.1,43.8,26.4,-1.91
199703,0,654,4.06,3.58,3.58,2.88,40.7,50.9,30.4,0.31
199704,0,542,3.35,3.79,3.79,3.67,43.0,53.6,32.5,1.74
199705,13,220,1.65,2.96,2.96,2.29,55.7,69.2,42.2,-1.32
199706,7,214,1.88,2.78,2.78,2.2,56.6,69.5,43.7,0.36
199707,61,71,1.04,2.77,2.77,2.45,64.0,78.9,49.1,0.85
199708,105,34,0.77,2.64,2.64,2.42,66.2,81.5,50.9,0.45
199709,30,128,2.07,2.9,2.9,2.9,59.1,72.7,45.6,1.59
199710,0,458,3.76,3.18,3.18,3.18,46.9,58.1,35.8,1.74
199711,0,572,3.08,2.44,2.44,1.89,40.8,48.7,32.8,-1.23
199712,0,835,2.63,1.43,1.43,-0.08,32.3,40.0,24.6,-2.29
199801,0,748,7.04,2.06,2.06,1.45,35.4,41.5,29.2,2.34
199802,0,649,4.79,2.28,2.28,2.08,35.8,42.8,29.0,1.28
199803,0,634,3.86,2.09,2.09,1.89,39.9,49.6,30.2,0.15
199804,0,510,2.18,1.8,1.8,1.45,44.2,55.2,33.1,-0.22
199805,0,432,5.48,3.5,3.5,3.5,48.1,57.2,38.9,5.64
199806,10,193,1.5,3.19,3.19,3.19,56.6,69.2,44.0,0.16
199807,124,26,0.66,3.25,3.25,3.25,68.8,83.9,53.6,1.18
199808,107,32,0.1,2.48,2.48,1.9,67.5,84.2,50.8,-1.3
199809,51,94,1.15,2.02,2.02,1.14,62.0,76.6,47.2,-0.63
199810,0,439,1.86,1.53,1.53,0.3,46.8,58.9,34.7,-0.84
199811,0,637,8.32,2.55,2.55,2.55,38.5,44.6,32.4,3.55
199812,0,888,5.97,2.77,2.77,2.77,30.1,37.5,22.6,1.43
199901,0,787,5.31,2.65,2.65,2.65,34.5,41.9,27.1,0.5
199902,0,725,7.54,4.08,4.08,4.08,33.3,40.6,26.0,5.11
199903,0,735,3.18,-0.14,3.52,3.3,37.4,46.8,28.0,-0.41
199904,0,560,1.43,-0.45,2.83,2.18,42.0,53.6,30.3,-0.98
199905,0,455,2.01,-0.28,2.67,2.12,48.1,60.7,35.6,0.37
199906,2,237,0.88,-0.53,2.11,1.21,56.3,69.8,42.9,-0.84
199907,47,90,0.2,-0.62,1.75,0.67,63.5,79.8,47.1,-0.43
199908,73,60,1.11,-0.28,1.84,1.03,64.9,79.4,50.5,0.81
199909,30,131,0.05,-1.0,0.9,-0.66,58.6,75.2,41.9,-2.25
199910,0,376,2.09,-1.21,-1.21,-1.21,50.3,64.6,36.0,-0.92
199911,0,541,4.46,-1.38,-1.38,-1.38,43.1,51.5,34.7,-0.91
199912,0,774,3.38,-1.89,-1.89,-1.89,34.3,41.8,26.8,-1.95
200001,0,856,5.97,-1.22,-1.22,-0.47,32.4,39.0,25.8,1.43
200002,0,656,4.65,-0.79,-0.79,0.4,37.3,44.6,30.0,0.91
200003,0,706,2.72,-1.12,-1.12,-0.48,38.6,49.2,28.0,-1.25
200004,0,444,2.09,-1.33,-1.33,-1.01,47.8,60.6,35.1,-0.96
200005,0,370,2.1,-1.18,-1.18,-0.79,51.2,62.8,39.4,0.04
200006,22,134,1.01,-1.41,-1.41,-1.4,60.2,75.1,45.3,-1.06
200007,53,83,0.35,-1.58,-1.58,-1.58,64.7,80.0,49.3,-0.94
200008,59,73,0.1,-1.92,-1.92,-1.92,65.4,82.0,48.8,-1.52
200009,20,159,1.1,-1.82,-1.82,-1.82,57.2,71.2,43.2,-0.3
200010,0,425,3.07,-1.42,-1.42,-1.03,47.5,58.7,36.3,0.66
200011,0,764,2.06,-1.98,-1.98,-1.98,33.8,41.9,25.6,-2.12
200012,0,798,2.69,-2.66,-2.66,-2.66,33.5,40.9,26.1,-2.67
200101,0,803,1.81,-3.46,-3.46,-3.46,32.1,40.0,24.2,-3.22
200102,0,722,1.6,-3.95,-3.95,-3.95,33.1,41.8,24.3,-2.54
200103,0,625,2.54,-4.18,-4.18,-4.18,41.3,51.6,31.0,-1.92
200104,0,591,2.6,-3.48,-3.48,-3.11,41.8,52.6,31.0,0.82
200105,7,277,1.28,-3.71,-3.71,-3.71,55.0,70.1,39.9,-1.77
200106,2,247,1.41,-3.49,-3.49,-3.49,56.5,70.4,42.6,-0.49
200107,52,84,0.77,-3.22,-3.22,-3.22,64.4,79.4,49.3,-0.28
200108,86,49,0.39,-3.17,-3.17,-3.17,67.6,83.8,51.3,-0.84
200109,34,119,0.69,-3.31,-3.31,-3.31,60.8,76.4,45.2,-1.38
200110,0,421,2.22,-3.18,-3.18,-3.18,49.0,61.7,36.4,-0.63
200111,0,599,5.37,-2.72,-2.72,-2.51,40.0,48.3,31.6,0.38
200112,0,828,6.16,-2.01,-2.01,-1.21,31.8,37.8,25.7,1.3
