Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1173,2.33,4.66,4.66,4.34,25.1,33.6,16.6,-0.7
199702,0,840,2.05,3.88,3.88,3.17,33.0,42.3,23.7,-0.91
199703,0,792,4.19,3.77,3.77,3.34,37.6,47.3,27.9,0.87
199704,0,554,1.8,2.66,2.66,1.4,44.6,56.5,32.7,-2.17
199705,6,324,3.96,2.57,2.57,1.5,52.7,64.8,40.5,0.56
199706,96,36,3.44,2.02,2.02,0.65,65.9,77.7,54.0,-0.86
199707,206,7,2.85,1.23,1.23,-0.68,69.5,81.6,57.4,-1.76
199708,141,26,4.68,1.51,1.51,0.07,66.8,77.8,55.7,1.23
199709,34,123,3.75,1.49,1.49,0.21,60.4,71.4,49.4,0.39
199710,0,403,1.58,0.66,0.66,-1.09,50.5,62.2,38.8,-2.02
199711,0,779,5.52,1.52,1.52,0.54,37.4,44.4,30.2,2.78
199712,0,975,2.65,1.22,1.22,0.18,32.1,38.8,25.4,-0.42
199801,0,896,4.32,1.75,1.75,0.96,34.3,41.2,27.5,1.97
199802,0,772,3.67,2.05,2.05,1.49,35.8,43.6,28.0,1.43
199803,0,736,3.65,1.77,1.77,1.11,39.6,48.8,30.4,-0.21
199804,0,418,5.6,2.42,2.42,2.42,49.5,61.5,37.5,2.49
199805,66,117,4.36,2.0,2.0,1.72,62.4,73.7,51.0,-0.49
199806,99,36,5.15,2.34,2.34,2.34,65.6,75.4,55.8,1.62
199807,209,7,2.87,-0.55,1.55,0.77,69.6,80.9,58.2,-1.64
199808,220,7,2.93,-1.05,0.83,-0.7,70.2,81.9,58.6,-1.69
199809,93,52,2.13,-1.82,-1.82,-1.82,64.7,77.1,52.2,-2.63
199810,3,373,3.08,-2.0,-2.0,-2.0,51.8,62.3,41.3,-1.09
199811,0,663,1.19,-3.2,-3.2,-3.2,41.5,51.2,31.8,-4.22
199812,0,853,1.46,-4.24,-4.24,-4.24,36.0,45.3,26.7,-4.11
199901,0,1106,5.84,-2.51,-2.51,-0.96,27.0,36.1,18.0,3.89
199902,0,888,1.9,-2.6,-2.6,-1.46,31.7,41.2,22.3,-1.07
199903,0,882,3.46,-2.25,-2.25,-1.01,34.1,44.2,24.1,0.25
199904,0,451,3.96,-1.93,-1.93,-0.59,48.6,60.6,36.6,0.28
199905,31,181,2.56,-2.46,-2.46,-1.84,59.3,72.6,46.1,-2.18
199906,136,21,2.37,-3.1,-3.1,-3.1,67.3,79.6,55.0,-2.68
199907,348,0,2.62,-3.97,-3.97,-3.97,74.0,86.3,61.8,-3.57
199908,194,14,3.67,-3.96,-3.96,-3.96,68.5,80.3,56.7,-1.19
199909,62,78,6.65,1.07,-2.48,-1.18,62.8,74.1,51.6,3.2
199910,0,443,2.28,-0.24,-2.47,-1.44,49.3,61.3,37.4,-0.73
199911,0,562,3.37,-0.34,-2.34,-1.42,44.8,54.9,34.7,-0.38
199912,0,951,2.44,-0.56,-2.35,-1.67,32.4,40.4,24.4,-0.74
200001,0,1166,2.36,-0.72,-2.33,-1.83,25.6,34.6,16.6,-0.66
200002,0,899,2.82,-0.5,-1.94,-1.26,31.6,41.2,22.0,0.43
200003,0,646,3.52,-0.74,-2.03,-1.57,42.6,53.9,31.2,-0.86
200004,0,480,4.48,0.41,-1.41,-0.49,47.5,58.5,36.5,1.22
200005,42,157,4.54,0.4,-1.23,-0.27,60.0,71.9,48.0,0.11
200006,131,23,5.3,0.88,-0.59,0.84,67.2,77.7,56.8,1.55
200007,136,21,3.34,0.63,-0.68,0.52,66.9,77.6,56.2,-0.46
200008,143,23,3.65,0.62,-0.56,0.62,67.3,77.3,57.2,0.16
200009,31,124,3.94,0.83,0.83,0.83,60.6,71.8,49.4,0.83
200010,4,369,2.37,-0.27,-0.27,0.48,52.0,64.2,39.9,-0.81
200011,0,749,2.12,-0.66,-0.66,-0.66,38.3,46.5,30.1,-1.26
200012,0,1252,2.94,-0.59,-0.59,-0.59,22.4,30.5,14.3,0.01
200101,0,1168,1.88,-0.98,-0.98,-0.98,26.1,33.7,18.5,-1.35
200102,0,893,1.55,-1.43,-1.43,-1.43,31.5,40.1,22.9,-1.64
200103,0,917,4.03,-0.88,-0.88,-0.15,33.3,41.7,25.0,1.18
200104,0,433,2.79,-1.3,-1.3,-1.3,49.2,61.4,37.1,-1.52
200105,30,186,3.08,-1.64,-1.64,-1.64,58.6,71.0,46.2,-1.43
200106,135,25,4.09,-1.51,-1.51,-1.49,66.8,78.3,55.3,-0.11
200107,154,15,2.74,-1.89,-1.89,-1.89,67.8,79.8,55.8,-1.59
200108,266,4,3.32,-2.21,-2.21,-2.21,71.6,83.1,60.2,-1.56
200109,35,121,3.98,-1.85,-1.85,-1.61,60.4,72.4,48.4,0.39
200110,3,370,2.15,-2.24,-2.24,-2.24,51.7,63.7,39.7,-1.74
200111,0,541,2.07,-3.1,-3.1,-3.1,45.8,57.3,34.2,-3.25
200112,0,835,2.66,-3.35,-3.35,-3.35,36.4,44.6,28.3,-1.71
200201,0,951,2.13,-3.36,-3.36,-3.36,33.0,41.0,24.9,-1.06
200202,0,825,1.45,-3.67,-3.67,-3.67,33.9,44.4,23.4,-1.97
200203,0,767,3.98,-3.13,-3.13,-2.88,38.2,48.8,27.7,0.48
200204,0,392,3.92,-2.82,-2.82,-2.52,50.0,61.8,38.1,-0.03
200205,14,260,5.68,-1.76,-1.76,-0.52,55.0,67.5,42.4,2.29
200206,145,18,4.85,-1.32,-1.32,0.2,67.9,79.4,56.4,0.78
200207,290,1,2.31,-2.18,-2.18,-1.72,72.5,84.4,60.6,-2.99
200208,279,4,2.67,-2.85,-2.85,-2.85,71.8,84.2,59.5,-2.7
200209,89,52,4.33,0.0,-2.56,-2.5,64.9,77.4,52.4,-0.01
200210,0,431,5.06,0.72,-1.58,-0.56,49.4,58.2,40.5,2.15
200211,0,731,3.36,0.87,-1.19,0.11,39.2,46.5,31.8,0.68
200212,0,1099,3.81,1.2,-0.65,1.1,27.8,35.3,20.3,1.27
200301,0,1308,2.41,0.88,-0.77,0.66,20.6,27.8,13.4,-0.59
200302,0,1106,3.51,1.31,1.31,1.31,23.8,31.8,15.8,1.55
200303,0,801,2.84,-0.36,0.82,0.11,37.2,48.8,25.6,-1.07
200304,0,484,2.66,-0.81,-0.81,-0.81,47.8,59.6,35.9,-1.47
200305,12,260,5.06,0.46,0.46,0.46,56.1,66.0,46.3,1.37
200306,72,55,6.11,1.5,1.5,1.5,64.0,73.8,54.1,3.27
200307,216,7,5.64,2.16,2.16,2.16,69.7,80.5,58.8,2.44
200308,246,5,5.55,2.83,2.83,2.83,70.9,81.1,60.8,2.7
200309,52,93,7.13,4.36,4.36,4.36,61.7,71.2,52.2,5.45
200310,0,460,4.19,4.76,4.76,4.76,48.5,59.5,37.5,2.55
200311,0,561,4.3,4.72,4.72,4.72,44.7,54.2,35.3,1.36
200312,0,1010,4.17,4.84,4.84,4.84,30.7,38.3,23.1,1.79
200401,0,1334,3.29,4.56,4.56,4.56,20.0,27.7,12.3,0.68
200402,0,994,2.26,3.93,3.93,3.69,27.0,37.1,17.0,-0.48
200403,0,738,2.84,3.06,3.06,2.24,39.5,49.2,29.7,-1.4
200404,0,445,4.87,3.29,3.29,3.04,48.3,59.0,37.7,1.64
200405,95,90,5.44,3.17,3.17,3.1,63.4,75.4,51.4,0.65
200406,94,41,4.4,3.08,3.08,3.08,64.8,75.6,54.0,0.7
200407,194,8,7.1,4.32,4.32,4.32,69.2,78.8,59.6,4.69
200408,170,18,5.26,4.8,4.8,4.8,67.9,77.8,57.9,2.76
200409,77,62,8.87,6.78,6.78,6.78,64.1,74.4,53.7,7.42
200410,0,412,2.61,6.13,6.13,6.12,50.6,60.4,40.8,0.14
200411,0,614,3.47,5.63,5.63,5.63,43.1,52.0,34.2,0.39
200412,0,1003,3.49,5.31,5.31,5.31,30.9,39.2,22.6,0.8
200501,0,1144,5.58,6.09,6.09,6.09,26.3,34.4,18.2,3.96
200502,0,928,2.31,-0.13,5.33,5.12,30.1,39.3,20.8,-0.4
200503,0,947,3.6,0.22,4.99,4.97,32.3,41.4,23.2,0.65
200504,0,408,3.8,-0.05,4.43,4.3,49.7,62.9,36.4,-0.15
200505,7,308,2.08,-0.66,3.35,2.47,53.6,66.2,41.1,-1.86
200506,191,8,2.74,-1.45,2.15,0.3,69.7,81.4,58.1,-2.57
200507,294,1,4.28,-1.56,1.67,-0.41,72.8,84.0,61.7,-0.78
200508,277,3,3.51,-1.95,0.95,-1.57,72.0,83.0,61.0,-1.64
200509,117,39,1.82,-2.88,-2.88,-2.88,65.5,78.3,52.8,-3.4
200510,4,341,6.5,1.04,-1.55,-0.2,52.5,61.3,43.7,3.11
200511,0,611,4.35,1.47,-0.85,1.11,43.0,53.8,32.2,1.61
200512,0,1135,2.4,1.06,-1.03,0.55,26.4,33.6,19.3,-0.78
200601,0,876,4.25,1.54,1.54,1.54,35.2,43.8,26.7,1.78
200602,0,941,1.79,-0.42,0.97,0.24,29.8,38.2,21.3,-1.25
200603,0,794,1.48,-1.39,-1.39,-1.39,37.0,46.8,27.2,-3.06
200604,0,387,3.47,-1.5,-1.5,-1.5,50.5,63.8,37.2,-0.76
200605,24,207,3.32,-1.66,-1.66,-1.66,57.3,69.6,44.9,-0.93
200606,117,32,7.67,1.71,1.71,1.71,66.0,77.0,55.0,5.12
