Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,8,606,4.24,0.7,0.7,0.7,46.0,56.5,35.4,0.58
199702,6,420,4.55,0.8,0.8,0.8,50.5,61.7,39.2,0.52
199703,60,206,3.26,0.1,0.1,-0.61,60.6,73.6,47.7,-1.83
199704,10,197,4.79,0.75,0.75,0.75,59.0,72.1,45.9,1.96
199705,94,61,2.43,0.47,0.47,0.47,66.2,79.4,53.0,-0.61
199706,251,2,5.92,1.18,1.18,1.18,73.4,82.6,64.1,2.28
199707,471,0,6.69,1.58,1.58,1.58,80.3,90.8,69.8,1.58
199708,382,0,2.21,0.77,0.77,-0.31,77.4,88.7,66.1,-1.95
199709,254,2,5.63,1.19,1.19,0.82,73.5,84.0,62.9,1.49
199710,58,125,4.37,1.62,1.62,1.62,63.1,74.1,52.0,1.67
199711,2,453,4.37,2.35,2.35,2.35,50.3,61.5,39.1,2.68
199712,2,613,5.41,2.95,2.95,2.95,45.6,55.6,35.5,2.54
199801,14,545,7.41,3.9,3.9,3.9,48.1,58.1,38.1,3.75
199802,4,446,7.7,4.76,4.76,4.76,49.4,59.6,39.2,3.79
199803,11,401,5.1,4.51,4.51,4.51,52.7,63.8,41.6,0.72
199804,29,128,6.44,5.15,5.15,5.15,62.0,73.4,50.5,3.32
199805,247,8,3.65,-0.13,4.49,4.29,72.9,84.4,61.3,-0.39
199806,449,0,3.36,-0.71,3.44,2.52,80.2,92.2,68.1,-1.78
199807,531,0,4.32,-1.32,2.4,0.7,82.3,93.1,71.4,-2.05
199808,444,0,3.82,-1.88,1.46,-0.93,79.4,90.5,68.3,-2.08
199809,307,0,5.62,-1.5,1.49,-0.6,75.3,86.6,64.1,0.54
199810,90,87,1.68,-1.88,0.8,-1.66,65.2,78.4,52.1,-1.61
199811,19,258,1.43,-2.49,-2.49,-2.49,57.3,69.0,45.7,-2.41
199812,11,438,3.59,-2.83,-2.83,-2.83,51.6,62.3,40.9,-1.77
199901,17,522,5.37,-2.28,-2.28,-1.9,49.0,61.8,36.3,0.76
199902,5,445,2.68,-2.48,-2.48,-2.48,49.6,62.3,36.8,-1.3
199903,7,440,2.65,-2.69,-2.69,-2.69,51.3,64.6,38.0,-1.39
199904,70,67,3.95,-2.37,-2.37,-2.24,65.3,77.3,53.3,0.14
199905,136,34,2.38,-2.46,-2.46,-2.46,68.4,80.9,55.9,-1.02
199906,309,0,4.84,-1.98,-1.98,-1.62,75.4,85.6,65.2,0.69
199907,489,0,3.84,-2.33,-2.33,-2.33,80.9,91.1,70.7,-1.68
199908,527,0,3.31,-3.06,-3.06,-3.06,82.2,93.6,70.7,-2.89
199909,213,5,6.83,-2.0,-2.0,-1.03,72.0,83.8,60.2,2.23
199910,53,132,4.17,-1.32,-1.32,0.24,62.6,73.6,51.6,1.43
199911,16,254,1.83,-1.46,-1.46,-0.26,57.3,70.4,44.2,-0.84
199912,2,573,2.29,-1.57,-1.57,-0.66,46.7,59.0,34.4,-0.78
200001,5,679,5.8,-0.62,-0.62,1.09,43.5,54.0,32.9,2.37
200002,4,442,1.62,-1.36,-1.36,-0.49,49.6,63.4,35.7,-2.4
200003,35,263,4.08,-1.47,-1.47,-0.8,57.8,71.2,44.5,-0.75
200004,17,161,2.79,-1.44,-1.44,-0.81,60.4,73.0,47.8,-0.38
200005,260,6,1.21,-2.36,-2.36,-2.36,73.4,86.7,60.0,-3.2
200006,399,0,3.79,-2.69,-2.69,-2.69,78.4,90.3,66.5,-1.7
200007,459,0,4.83,-2.8,-2.8,-2.8,79.8,90.8,68.8,-1.18
200008,424,0,4.1,-3.07,-3.07,-3.07,78.8,89.1,68.4,-1.67
200009,218,5,7.63,-1.77,-1.77,-0.5,72.2,81.8,62.6,2.96
200010,53,129,0.02,-2.39,-2.39,-2.07,62.6,77.0,48.2,-2.42
200011,2,405,3.5,-1.87,-1.87,-1.16,51.8,64.2,39.6,0.84
200012,0,828,1.87,-2.02,-2.02,-1.67,38.6,49.0,28.1,-1.04
200101,5,685,2.02,-2.34,-2.34,-2.34,43.3,55.2,31.4,-1.57
200102,7,398,2.4,-2.67,-2.67,-2.67,51.3,63.1,39.5,-1.72
200103,11,413,6.38,-1.75,-1.75,-0.87,52.3,63.9,40.7,1.94
200104,45,93,0.96,-2.5,-2.5,-2.5,63.5,76.6,50.4,-2.8
200105,189,17,2.61,-2.8,-2.8,-2.8,70.7,84.2,57.3,-1.66
200106,354,0,5.4,-2.38,-2.38,-2.16,77.0,87.3,66.7,0.39
200107,412,0,5.24,-2.18,-2.18,-1.96,78.4,88.2,68.5,-0.14
200108,459,0,2.66,-2.92,-2.92,-2.92,79.9,90.6,69.2,-2.87
200109,190,9,3.72,-2.8,-2.8,-2.8,71.2,82.1,60.4,-0.56
200110,36,171,0.88,-3.23,-3.23,-3.23,60.9,75.3,46.5,-2.16
200111,27,215,0.98,-3.92,-3.92,-3.92,59.0,73.1,44.8,-3.07
200112,13,426,1.47,-4.86,-4.86,-4.86,52.0,64.2,39.8,-4.02
200201,11,578,3.49,-4.93,-4.93,-4.93,47.0,59.0,34.9,-1.72
200202,2,491,2.06,-5.31,-5.31,-5.31,47.9,61.0,34.7,-2.66
200203,25,315,4.28,-4.82,-4.82,-4.82,56.0,69.0,43.0,-0.17
200204,105,40,1.84,-5.15,-5.15,-5.15,67.4,79.6,55.1,-2.47
200205,140,35,3.49,-4.7,-4.7,-4.7,68.6,81.2,56.0,-0.23
200206,382,0,3.01,-4.8,-4.8,-4.8,77.8,89.4,66.2,-1.75
200207,522,0,3.25,-5.3,-5.3,-5.3,81.9,93.2,70.7,-3.0
200208,452,0,5.94,-4.82,-4.82,-4.82,79.6,90.8,68.4,-0.19
200209,318,0,5.4,0.09,-4.24,-4.08,75.8,84.5,67.1,0.26
200210,108,75,4.73,0.44,-3.44,-2.83,66.4,74.8,58.0,1.07
200211,2,407,4.42,1.05,-2.42,-1.03,51.8,63.2,40.4,1.99
200212,0,650,4.63,1.55,-1.57,0.47,44.2,55.0,33.4,1.82
200301,2,734,1.76,0.81,-1.99,-0.62,41.5,53.0,30.1,-1.75
200302,1,523,4.14,0.86,-1.66,-0.19,46.6,57.6,35.6,0.39
200303,30,285,7.52,1.6,-0.65,1.51,57.0,67.4,46.5,2.5
200304,22,144,6.0,2.43,2.43,2.43,61.1,72.2,50.0,2.97
200305,176,22,5.72,2.98,2.98,2.98,70.2,80.1,60.2,2.4
200306,323,0,6.39,3.52,3.52,3.52,76.0,86.4,65.5,2.55
200307,430,0,8.37,4.31,4.31,4.31,79.0,88.1,69.9,3.46
200308,450,0,4.61,0.01,3.88,3.84,79.7,88.6,70.7,0.04
200309,220,4,2.98,-0.14,3.35,3.09,72.4,82.9,61.8,-0.41
200310,60,124,3.53,0.24,3.24,3.21,63.2,74.7,51.6,0.72
200311,24,222,1.6,-0.47,2.44,1.79,58.6,71.7,45.5,-1.4
200312,0,686,2.57,-0.64,1.97,1.02,43.0,55.9,30.2,-0.67
200401,3,691,1.77,-1.18,1.16,-0.49,43.0,55.1,30.8,-1.82
200402,0,588,5.14,-0.55,1.55,0.5,44.2,54.4,33.9,1.54
200403,30,279,0.92,-1.68,-1.68,-1.68,57.2,70.7,43.6,-3.58
200404,33,117,2.02,-2.1,-2.1,-2.1,62.5,76.5,48.4,-1.77
200405,283,4,2.89,-2.5,-2.5,-2.5,74.1,86.0,62.3,-1.83
200406,397,0,6.35,0.35,-1.89,-1.38,78.5,88.0,69.0,1.04
200407,469,0,4.96,0.04,-1.96,-1.74,80.3,90.5,70.0,-0.8
200408,368,0,6.99,0.63,-1.17,-0.14,77.0,86.4,67.6,1.78
200409,243,3,8.26,1.97,1.97,1.97,73.2,81.7,64.7,4.22
200410,104,74,1.43,-0.38,1.39,0.79,66.1,75.3,56.9,-1.14
200411,14,276,2.92,-0.27,1.32,0.77,56.5,67.6,45.4,0.21
200412,2,611,2.2,-0.5,0.92,-0.02,45.6,58.0,33.1,-0.78
200501,13,556,2.02,-1.07,-1.07,-1.07,47.6,58.9,36.3,-1.86
200502,2,477,3.82,-0.02,-0.98,-0.91,48.3,59.1,37.4,-0.05
200503,11,408,4.87,0.18,-0.7,-0.13,52.4,64.5,40.2,0.54
200504,17,156,2.74,0.01,-0.78,-0.45,60.5,73.6,47.4,-0.45
200505,117,45,3.77,0.24,0.24,0.24,67.5,79.8,55.2,0.68
200506,332,0,6.83,1.21,1.21,1.21,76.2,85.4,67.1,2.98
200507,508,0,5.79,1.27,1.27,1.27,81.6,91.1,72.0,0.58
200508,477,0,4.96,-0.04,1.11,0.95,80.5,89.6,71.4,-0.11
200509,360,0,0.65,-1.2,-1.2,-1.2,77.1,88.5,65.8,-3.52
200510,89,88,4.67,0.33,-0.75,-0.05,65.2,75.9,54.4,0.99
200511,11,300,3.2,0.37,-0.6,0.27,55.7,68.7,42.7,0.22
200512,0,654,4.19,0.65,0.65,0.65,44.2,55.8,32.6,0.95
200601,21,476,3.29,-0.26,-0.26,0.32,50.6,62.4,38.7,-0.77
200602,1,525,2.96,-0.5,-0.5,-0.5,46.5,57.9,35.1,-0.8
200603,18,349,1.24,-1.44,-1.44,-1.44,54.4,66.8,42.0,-2.99
200604,80,56,2.56,-1.8,-1.8,-1.8,66.0,79.9,52.0,-1.51
200605,145,31,2.54,-1.97,-1.97,-1.97,68.8,81.4,56.2,-1.09
200606,341,0,6.8,-1.0,-1.0,0.15,76.5,88.0,64.9,2.32
200607,478,0,2.96,-1.61,-1.61,-1.4,80.5,91.7,69.3,-2.14
200608,494,0,5.11,-1.75,-1.75,-1.75,81.1,91.2,71.0,-0.91
200609,220,5,4.55,0.08,-1.48,-1.29,72.4,82.4,62.3,0.25
200610,41,158,3.03,0.12,-1.28,-0.95,61.4,73.7,49.2,0.14
200611,6,337,4.98,0.88,0.88,0.88,54.2,66.8,41.7,2.3
200612,10,451,3.71,0.91,0.91,0.91,51.0,63.5,38.6,0.38
200701,13,539,3.66,-0.07,-0.07,0.75,48.4,59.2,37.5,-0.2
200702,1,563,2.54,-0.44,-0.44,-0.44,45.2,57.6,32.7,-1.14
200703,40,246,2.57,-1.13,-1.13,-1.13,58.5,72.2,44.7,-2.21
200704,20,148,2.54,-1.26,-1.26,-1.26,60.9,74.9,46.9,-0.72
200705,150,27,1.44,-1.86,-1.86,-1.86,69.1,82.6,55.6,-2.19
200706,364,0,4.72,-1.7,-1.7,-1.68,77.2,88.3,66.0,-0.11
200707,413,0,3.79,-2.02,-2.02,-2.02,78.5,89.0,67.9,-1.49
200708,588,0,2.94,-3.01,-3.01,-3.01,84.0,95.8,72.3,-3.6
200709,318,0,2.25,-3.63,-3.63,-3.63,75.7,87.0,64.4,-2.78
200710,144,48,2.76,-3.73,-3.73,-3.73,68.4,79.5,57.3,-1.41
200711,6,355,0.57,-4.36,-4.36,-4.36,53.6,67.3,39.9,-3.06
200712,12,424,5.12,-4.05,-4.05,-4.05,52.1,63.8,40.4,-0.41
200801,6,668,2.88,-4.02,-4.02,-4.02,43.9,54.7,33.1,-1.18
200802,7,417,3.94,-3.66,-3.66,-3.66,50.7,63.8,37.6,-0.15
200803,18,346,3.44,-3.61,-3.61,-3.61,54.7,67.9,41.5,-1.0
200804,27,131,3.19,-3.29,-3.29,-3.28,61.7,73.8,49.6,-0.14
200805,149,29,2.74,-3.19,-3.19,-3.19,69.0,81.7,56.3,-0.72
200806,448,0,2.35,-3.81,-3.81,-3.81,80.1,92.6,67.6,-2.85
200807,459,0,4.69,-3.89,-3.89,-3.89,79.8,91.1,68.6,-1.41
