Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,863,4.97,3.37,3.37,3.33,37.0,47.0,27.0,0.06
199702,3,562,4.76,2.94,2.94,2.76,45.0,54.4,35.6,-0.23
199703,20,394,9.22,3.7,3.7,3.7,52.9,65.0,40.8,3.2
199704,1,360,4.17,3.46,3.46,3.46,53.0,65.6,40.3,0.4
199705,46,153,5.33,3.64,3.64,3.64,61.5,73.9,49.0,1.62
199706,192,10,7.56,4.79,4.79,4.79,70.9,79.5,62.4,4.58
199707,390,0,2.6,3.68,3.68,2.92,77.5,88.8,66.2,-1.85
199708,290,0,3.73,3.41,3.41,2.73,74.2,85.4,63.0,0.32
199709,163,25,4.6,3.48,3.48,3.21,69.6,81.6,57.5,1.26
199710,21,243,3.15,3.28,3.28,3.12,57.7,70.0,45.4,0.47
199711,0,631,3.01,2.71,2.71,2.23,43.9,53.0,34.8,-0.7
199712,0,807,3.41,2.07,2.07,1.14,38.9,47.4,30.5,-1.07
199801,6,701,5.53,1.95,1.95,1.09,42.6,50.6,34.6,0.27
199802,1,576,4.7,1.66,1.66,0.7,44.4,52.5,36.2,-0.25
199803,7,521,4.58,1.21,1.21,-0.03,48.4,57.6,39.1,-0.83
199804,9,253,8.4,2.62,2.62,2.62,56.8,68.0,45.7,4.59
199805,175,36,4.72,2.29,2.29,2.16,69.5,80.6,58.4,-0.17
199806,327,0,8.09,3.53,3.53,3.53,75.8,86.6,65.1,4.43
199807,407,0,6.21,3.94,3.94,3.94,78.0,87.3,68.7,2.3
199808,357,0,2.87,-0.08,3.45,3.31,76.4,87.5,65.3,-0.23
199809,289,5,1.13,-0.99,2.18,0.9,74.4,88.3,60.5,-2.76
199810,53,157,2.45,-1.28,1.56,-0.15,61.6,75.5,47.7,-1.17
199811,1,428,1.96,-2.13,-2.13,-2.13,50.7,62.8,38.7,-2.95
199812,0,670,6.93,0.33,-1.58,-1.07,43.3,52.5,34.0,0.99
199901,6,719,8.76,1.28,1.28,1.28,42.0,51.9,32.0,2.97
199902,2,568,3.3,-0.53,0.62,-0.41,44.7,55.6,33.9,-1.6
199903,2,626,4.59,-0.64,-0.64,-0.64,44.8,56.2,33.5,-0.49
199904,38,145,4.01,-0.91,-0.91,-0.91,61.4,73.0,49.8,-0.99
199905,105,78,4.23,-0.85,-0.85,-0.85,65.8,78.5,53.1,-0.09
199906,285,0,5.64,-0.12,-0.12,0.64,74.4,84.7,64.0,1.91
199907,447,0,3.78,-0.37,-0.37,-0.37,79.4,89.6,69.1,-0.78
199908,373,0,1.38,-1.21,-1.21,-1.21,77.0,90.6,63.3,-2.64
199909,159,28,1.29,-1.95,-1.95,-1.95,69.3,84.9,53.7,-2.6
199910,24,230,2.55,-2.06,-2.06,-2.06,58.4,72.5,44.2,-0.93
199911,5,372,3.29,-2.53,-2.53,-2.53,52.8,66.1,39.4,-2.02
199912,0,728,3.23,-2.94,-2.94,-2.94,41.5,52.8,30.2,-2.03
200001,0,843,3.58,-3.04,-3.04,-3.04,37.8,47.3,28.3,-1.19
200002,4,550,3.72,-3.15,-3.15,-3.15,45.4,57.5,33.4,-1.27
200003,19,406,4.47,-3.27,-3.27,-3.27,52.5,65.3,39.6,-1.35
200004,5,296,6.44,-2.06,-2.06,-0.95,55.3,67.3,43.3,2.62
200005,159,41,4.59,-1.92,-1.92,-0.86,68.8,80.2,57.3,-0.19
200006,278,0,4.19,-1.61,-1.61,-0.42,74.1,85.0,63.2,0.33
200007,368,0,2.95,-1.92,-1.92,-1.25,76.8,88.3,65.4,-1.45
200008,377,0,2.6,-2.26,-2.26,-2.08,77.1,89.0,65.2,-1.61
200009,167,25,3.38,-2.14,-2.14,-2.03,69.6,81.2,58.0,-0.34
200010,49,168,0.35,-3.09,-3.09,-3.09,61.1,75.6,46.6,-3.51
200011,0,541,5.1,-2.74,-2.74,-2.64,46.9,57.2,36.6,0.1
200012,0,1061,3.65,-2.76,-2.76,-2.76,30.6,39.8,21.4,-0.91
200101,0,950,3.71,-2.77,-2.77,-2.77,34.3,44.2,24.4,-0.89
