Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1211,2.47,2.31,2.31,2.31,27.3,36.3,18.2,3.67
199702,0,1055,1.0,2.49,2.49,2.49,29.5,40.2,18.9,1.25
199703,1,805,0.32,1.62,1.62,0.77,41.6,55.7,27.6,-1.84
199704,1,729,1.85,2.17,2.17,2.16,42.8,55.1,30.6,2.14
199705,24,311,1.11,2.13,2.13,2.13,58.0,72.4,43.6,0.57
199706,76,143,1.27,2.68,2.68,2.68,65.2,79.1,51.3,2.31
199707,130,52,1.09,2.92,2.92,2.92,69.8,84.7,54.8,1.55
199708,162,38,2.04,3.6,3.6,3.6,70.2,83.6,56.8,2.93
199709,41,189,2.96,5.06,5.06,5.06,61.7,73.9,49.6,5.5
199710,1,564,1.09,4.55,4.55,4.5,48.4,62.1,34.7,0.02
199711,0,880,0.95,3.93,3.93,3.65,37.3,48.2,26.3,-0.46
199712,0,1254,0.65,3.12,3.12,2.33,26.4,36.4,16.4,-1.21
199801,0,1077,1.33,2.85,2.85,2.09,31.8,41.7,21.8,0.16
199802,0,974,2.33,3.44,3.44,3.44,31.5,40.2,22.7,2.66
199803,0,908,1.61,3.41,3.41,3.41,38.1,50.3,25.9,0.97
199804,0,691,1.34,3.41,3.41,3.41,43.4,55.4,31.4,1.06
199805,7,419,1.19,3.44,3.44,3.44,53.7,66.9,40.5,1.14
199806,24,269,1.83,4.42,4.42,4.42,60.0,74.1,45.9,3.99
199807,227,17,1.49,5.45,5.45,5.45,73.6,88.2,59.0,4.45
199808,174,32,0.82,4.94,4.94,4.94,71.6,86.2,57.1,0.16
199809,49,156,1.73,5.11,5.11,5.11,63.0,76.0,50.0,2.05
199810,1,584,2.1,5.37,5.37,5.37,47.8,59.6,35.8,2.35
199811,0,849,1.03,4.76,4.76,4.64,38.0,48.8,27.3,-0.17
199812,0,1227,0.6,3.91,3.91,3.34,27.0,38.4,15.7,-1.07
199901,0,1084,1.05,3.44,3.44,2.74,31.9,42.2,21.5,-0.22
199902,0,932,0.93,2.86,2.86,1.89,34.0,45.9,22.3,-0.65
199903,0,795,0.41,1.59,1.59,-0.44,41.9,55.6,28.3,-2.94
199904,0,755,2.6,2.59,2.59,1.8,41.7,53.3,30.1,3.5
199905,7,463,1.31,2.67,2.67,2.14,52.8,66.5,39.1,1.03
199906,62,173,1.13,2.85,2.85,2.72,64.0,78.5,49.4,1.37
199907,181,29,1.5,3.21,3.21,3.21,71.7,85.7,57.8,1.95
199908,147,46,1.81,3.63,3.63,3.63,69.1,82.7,55.5,2.25
199909,26,248,0.8,-0.05,3.21,3.09,59.8,74.4,45.1,-0.15
199910,4,467,0.12,-0.95,1.97,0.72,51.8,68.4,35.2,-2.73
199911,0,686,0.22,-1.93,0.69,-1.77,42.4,56.9,28.0,-3.22
199912,0,1163,0.55,-2.36,-2.36,-2.36,28.8,40.3,17.3,-1.88
200001,0,1081,1.42,-2.19,-2.19,-2.19,31.9,41.5,22.3,-0.23
200002,0,854,1.92,-1.8,-1.8,-1.51,36.0,46.0,25.9,0.5
200003,0,875,1.29,-1.84,-1.84,-1.77,38.8,50.6,27.0,-0.66
200004,3,496,0.58,-2.52,-2.52,-2.52,51.0,65.2,36.8,-2.62
200005,25,301,0.93,-2.93,-2.93,-2.93,59.3,73.8,44.8,-2.01
200006,101,118,0.49,-3.44,-3.44,-3.44,67.3,82.8,51.8,-2.44
200007,248,14,0.31,-4.21,-4.21,-4.21,74.0,89.8,58.3,-3.37
200008,217,19,1.57,-3.79,-3.79,-3.75,73.0,87.0,58.9,-0.04
200009,38,200,0.93,-3.56,-3.56,-3.56,62.0,76.7,47.3,-0.47
200010,1,550,2.77,-1.99,-1.99,-0.52,49.1,60.6,37.6,3.58
200011,0,1112,0.68,-1.83,-1.83,-0.41,29.8,40.3,19.3,-0.11
200012,0,1128,0.64,-1.94,-1.94,-0.86,30.4,41.0,19.8,-0.9
200101,0,1256,1.02,-1.8,-1.8,-0.77,26.3,36.6,16.1,-0.17
200102,0,991,1.24,-1.47,-1.47,-0.3,31.7,41.7,21.7,0.43
200103,0,792,1.24,-1.58,-1.58,-0.67,41.4,52.8,30.1,-0.79
200104,1,611,1.49,-1.28,-1.28,-0.26,47.0,59.3,34.6,0.41
200105,30,279,0.65,-1.64,-1.64,-0.99,59.3,74.2,44.4,-1.49
200106,97,118,0.37,-2.02,-2.02,-1.74,67.1,83.2,51.0,-1.62
200107,221,19,0.95,-2.22,-2.22,-2.22,72.9,87.6,58.2,-1.23
200108,219,20,1.27,-2.15,-2.15,-2.15,72.4,87.2,57.6,-0.47
200109,80,119,0.31,-2.72,-2.72,-2.72,65.2,81.1,49.3,-2.39
200110,4,473,0.51,-3.11,-3.11,-3.11,52.2,66.6,37.8,-2.0
200111,0,813,1.52,-2.67,-2.67,-2.46,39.3,50.7,28.0,0.37
200112,0,1292,1.12,-2.46,-2.46,-2.27,25.0,34.8,15.3,-0.2
200201,0,1283,0.43,-2.81,-2.81,-2.81,26.1,36.6,15.5,-1.81
200202,0,1090,0.28,-3.32,-3.32,-3.32,29.0,42.2,15.7,-2.39
200203,0,985,0.8,-3.54,-3.54,-3.54,36.0,49.2,23.0,-1.7
200204,3,557,0.87,-3.85,-3.85,-3.85,49.7,63.7,35.7,-2.02
200205,14,370,0.38,-4.58,-4.58,-4.58,56.3,71.5,41.1,-3.38
200206,112,101,0.15,-5.48,-5.48,-5.48,68.7,85.0,52.4,-4.1
200207,294,7,0.61,-6.1,-6.1,-6.1,76.2,91.8,60.6,-3.57
200208,151,41,0.29,-6.6,-6.6,-6.6,70.7,86.4,55.0,-3.38
200209,34,209,2.27,-4.86,-4.86,-3.65,61.0,74.2,47.9,3.18
200210,1,626,1.32,-4.16,-4.16,-2.72,47.0,59.7,34.2,0.59
200211,0,930,0.93,-3.89,-3.89,-2.59,35.9,47.4,24.4,-0.45
200212,0,1119,0.71,-3.93,-3.93,-3.06,29.3,39.3,19.4,-1.32
200301,0,950,0.4,-4.46,-4.46,-4.46,35.2,46.2,24.0,-2.82
200302,0,1017,1.47,-4.12,-4.12,-4.12,31.0,41.3,20.6,-0.35
200303,0,828,1.33,-4.12,-4.12,-4.12,40.3,51.8,28.8,-1.28
200304,1,631,0.93,-4.01,-4.01,-4.01,45.8,58.4,33.1,-0.93
200305,18,336,1.08,-4.04,-4.04,-4.04,57.4,71.5,43.2,-1.35
200306,85,148,0.56,-4.38,-4.38,-4.38,66.0,81.0,50.9,-2.24
200307,318,6,0.39,-5.08,-5.08,-5.08,77.2,93.3,61.2,-3.47
200308,214,22,1.19,-4.93,-4.93,-4.93,72.7,86.9,58.5,-1.11
200309,40,198,0.64,-4.85,-4.85,-4.85,62.2,77.5,46.8,-1.29
200310,11,383,0.43,-5.22,-5.22,-5.22,55.0,70.0,40.0,-2.62
200311,0,995,1.35,-4.41,-4.41,-4.04,34.1,43.7,24.6,0.83
200312,0,1088,1.76,-3.5,-3.5,-2.58,30.3,40.0,20.7,1.36
200401,0,1324,0.6,-3.45,-3.45,-2.82,24.2,34.4,14.1,-0.92
200402,0,1099,1.89,-2.45,-2.45,-1.1,27.8,37.6,17.9,1.93
200403,1,687,0.33,-3.27,-3.27,-3.01,45.6,59.2,31.9,-3.23
200404,1,564,1.82,-2.74,-2.74,-2.21,48.0,60.2,35.7,0.59
200405,16,359,0.63,-2.95,-2.95,-2.89,57.0,71.0,43.0,-1.47
200406,87,140,0.66,-2.99,-2.99,-2.99,66.1,81.0,51.1,-1.03
200407,191,31,0.82,-3.09,-3.09,-3.09,72.2,87.0,57.3,-1.23
200408,109,71,0.89,-3.11,-3.11,-3.11,68.6,83.0,54.2,-1.02
200409,27,232,1.22,0.2,-2.59,-2.28,60.2,74.6,45.7,0.61
200410,1,550,3.43,1.89,-0.61,1.82,48.9,59.8,38.0,5.14
200411,0,910,1.69,2.37,2.37,2.37,35.7,45.6,25.9,2.03
200412,0,1111,1.29,2.57,2.57,2.57,30.1,39.9,20.2,1.32
200501,0,1056,2.76,4.05,4.05,4.05,32.6,41.2,23.9,5.23
200502,0,957,1.61,4.75,4.75,4.75,33.5,43.4,23.6,3.34
200503,0,880,1.63,4.78,4.78,4.78,39.0,50.6,27.5,1.58
200504,1,632,1.75,4.82,4.82,4.82,45.9,58.9,32.8,1.6
200505,13,373,1.74,5.07,5.07,5.07,56.0,69.6,42.4,2.23
