Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1504,3.26,3.13,3.13,3.13,15.9,25.8,6.2,0.45
199702,0,1158,2.59,2.79,2.79,2.71,23.2,33.8,12.6,-0.05
199703,0,1234,3.9,2.95,2.95,2.95,24.8,35.1,14.5,1.36
199704,0,801,3.01,2.61,2.61,2.5,37.9,49.2,26.6,-0.12
199705,0,528,3.79,2.58,2.58,2.58,47.6,57.9,37.2,0.71
199706,29,93,2.7,1.68,1.68,0.8,62.5,75.5,49.5,-1.9
199707,54,66,4.56,1.73,1.73,1.1,64.3,76.4,52.2,0.67
199708,45,98,5.88,2.47,2.47,2.47,62.9,74.0,51.7,2.76
199709,0,284,3.08,2.18,2.18,2.08,55.3,65.8,44.7,-0.09
199710,0,651,2.15,1.66,1.66,1.1,43.7,54.5,32.8,-0.9
199711,0,983,5.14,2.22,2.22,2.22,32.0,40.1,23.8,2.2
199712,0,1292,2.72,1.71,1.71,1.26,22.7,31.4,14.1,-0.86
199801,0,1329,5.88,2.89,2.89,2.89,21.7,30.1,13.3,4.08
199802,0,1082,2.35,2.44,2.44,2.19,26.1,36.0,16.1,-0.46
199803,0,1034,3.73,2.55,2.55,2.55,31.3,41.0,21.6,1.1
199804,0,644,2.52,1.64,1.64,0.75,43.2,55.8,30.6,-1.94
199805,20,224,2.83,0.8,0.8,-0.95,58.1,71.0,45.2,-2.03
199806,20,108,8.77,2.85,2.85,2.85,61.8,71.0,52.7,6.39
199807,73,48,5.14,3.12,3.12,3.12,65.6,76.6,54.6,1.69
199808,75,63,4.73,3.26,3.26,3.26,65.1,76.3,53.9,1.4
199809,8,217,3.97,3.16,3.16,3.16,57.8,69.0,46.6,0.69
199810,0,560,3.02,-0.07,2.77,2.62,46.7,55.5,37.8,-0.2
199811,0,874,2.9,-0.48,2.06,1.34,35.5,41.9,29.1,-1.27
199812,0,1098,1.69,-1.2,1.08,-0.57,29.2,39.0,19.4,-2.3
199901,0,1477,5.73,1.29,2.26,2.06,17.0,27.4,6.5,3.87
199902,0,1185,1.53,0.53,1.4,0.39,22.2,33.3,11.1,-1.88
199903,0,1112,4.14,1.05,1.83,1.47,28.9,38.0,19.7,1.73
199904,0,702,0.88,-1.39,-1.39,-1.39,41.3,53.1,29.4,-4.18
199905,9,296,3.5,-1.51,-1.51,-1.51,55.5,68.8,42.3,-0.79
199906,65,47,2.56,-2.23,-2.23,-2.23,65.4,78.4,52.3,-2.62
199907,135,16,3.79,-2.44,-2.44,-2.44,68.5,80.4,56.6,-1.31
199908,51,88,2.76,-3.02,-3.02,-3.02,63.6,75.0,52.3,-2.51
199909,21,147,8.57,1.48,-1.23,0.64,60.6,71.7,49.4,4.43
199910,0,664,4.0,1.8,-0.63,1.71,43.3,54.2,32.4,1.43
199911,0,757,3.23,1.19,-0.99,0.73,39.3,48.3,30.4,-1.29
199912,0,1207,1.76,0.33,-1.62,-0.68,25.7,33.3,18.1,-2.2
200001,0,1535,3.79,0.69,-1.06,0.23,15.0,24.9,5.1,1.18
200002,0,1227,3.51,1.13,1.13,1.13,20.8,31.7,10.0,1.54
200003,0,948,2.95,0.85,0.85,0.44,34.1,44.8,23.3,-0.49
200004,0,746,5.93,2.15,2.15,2.15,39.8,49.0,30.6,4.16
200005,3,365,5.7,2.66,2.66,2.66,52.9,63.7,42.1,2.19
200006,12,141,3.89,2.42,2.42,2.4,60.4,71.0,49.8,0.1
200007,38,86,4.95,2.77,2.77,2.77,63.1,74.0,52.2,1.78
200008,48,91,4.33,2.85,2.85,2.85,63.3,73.7,52.9,1.11
200009,0,281,2.65,2.34,2.34,2.0,55.5,66.6,44.4,-0.66
200010,0,593,2.81,1.97,1.97,1.43,45.6,56.2,35.0,-0.37
200011,0,899,3.19,1.51,1.51,0.6,34.8,41.4,28.1,-0.79
200012,0,1488,4.92,2.09,2.09,2.0,16.6,25.9,7.2,2.21
200101,0,1445,1.55,1.23,1.23,0.24,17.8,27.6,7.9,-1.93
200102,0,1257,3.07,1.36,1.36,0.68,19.5,30.0,8.9,0.78
200103,0,1220,5.62,2.56,2.56,2.56,25.2,34.3,16.2,4.01
200104,0,742,0.99,-1.24,1.05,-0.6,39.9,51.8,27.9,-3.73
200105,7,317,2.44,-1.78,-1.78,-1.78,54.8,68.0,41.6,-2.0
200106,35,81,3.94,-1.78,-1.78,-1.78,63.2,75.2,51.2,-0.54
200107,43,79,3.38,-1.85,-1.85,-1.85,63.6,75.2,51.9,-0.76
200108,127,27,2.25,-2.83,-2.83,-2.83,67.9,80.5,55.2,-3.53
200109,7,229,4.21,-2.74,-2.74,-2.74,57.4,69.5,45.3,-0.59
200110,0,524,2.03,-3.4,-3.4,-3.4,47.8,59.3,36.2,-2.83
200111,0,784,2.5,-4.17,-4.17,-4.17,38.5,47.6,29.5,-3.38
200112,0,1078,2.38,-4.25,-4.25,-4.25,29.8,37.9,21.7,-1.52
200201,0,1217,2.55,-3.99,-3.99,-3.99,25.2,33.3,17.2,-0.54
200202,0,1134,3.28,0.38,-3.2,-2.7,24.0,35.1,12.8,1.14
200203,0,1078,3.7,0.69,-2.52,-1.57,29.7,38.9,20.5,1.05
200204,0,635,4.46,0.99,-1.89,-0.5,43.4,53.9,32.8,1.11
200205,0,475,4.56,1.34,-1.25,0.61,49.4,60.9,37.9,1.35
200206,13,134,7.07,2.7,2.7,2.7,60.6,72.2,49.0,4.5
200207,94,34,3.32,-0.34,2.09,1.6,66.5,78.2,54.9,-1.01
200208,105,39,2.0,-1.43,0.74,-1.19,66.8,79.2,54.4,-3.38
200209,21,148,4.99,-1.24,0.7,-1.07,60.4,72.6,48.3,0.11
200210,0,674,3.73,-1.03,0.71,-0.87,42.9,52.0,33.8,0.25
200211,0,968,4.76,-0.38,1.19,0.22,32.3,39.8,24.8,1.65
200212,0,1331,2.84,-0.57,0.84,-0.32,21.6,30.4,12.7,-0.69
200301,0,1706,2.01,-0.94,-0.94,-0.94,9.5,19.4,-0.4,-1.29
200302,0,1411,1.89,-1.26,-1.26,-1.26,14.2,25.1,3.4,-1.26
200303,0,1138,2.69,-1.3,-1.3,-1.3,27.8,39.9,15.8,-0.51
200304,0,797,2.81,-1.33,-1.33,-1.33,38.1,49.0,27.2,-0.48
200305,0,398,4.22,-1.0,-1.0,-0.59,51.9,62.9,40.9,0.57
200306,19,110,3.12,-1.29,-1.29,-1.29,61.7,73.5,50.0,-1.19
200307,92,34,4.42,0.1,-1.06,-0.8,66.5,77.5,55.5,0.3
200308,114,33,5.51,0.61,0.61,0.61,67.3,77.2,57.4,1.56
200309,10,199,4.87,1.02,1.02,1.02,58.4,69.4,47.5,1.41
200310,0,638,6.76,2.49,2.49,2.49,44.1,53.8,34.4,4.72
200311,0,841,4.68,2.57,2.57,2.57,36.5,45.4,27.6,1.02
200312,0,1326,6.84,3.94,3.94,3.94,21.8,31.0,12.6,4.89
200401,0,1777,1.2,2.73,2.73,1.73,7.2,16.2,-1.8,-2.41
200402,0,1323,1.24,1.65,1.65,-0.27,17.5,29.6,5.5,-2.38
200403,0,1022,1.9,0.91,0.91,-1.56,31.6,41.3,22.0,-1.73
200404,0,696,3.22,0.66,0.66,-1.79,41.4,52.2,30.5,-0.47
200405,8,310,5.06,0.96,0.96,-0.96,54.9,66.8,43.1,1.12
200406,7,165,3.24,0.65,0.65,-1.32,59.4,71.7,47.1,-0.63
200407,76,45,5.54,1.29,1.29,-0.02,65.7,75.7,55.6,2.1
200408,64,73,7.46,2.95,2.95,2.87,64.5,74.6,54.4,5.4
200409,10,202,3.41,2.62,2.62,2.46,58.3,69.6,47.0,-0.08
200410,0,598,1.5,1.72,1.72,0.73,45.4,56.3,34.6,-1.91
200411,0,895,3.59,1.46,1.46,0.36,34.8,43.8,25.7,-0.25
200412,0,1335,4.49,1.84,1.84,1.33,21.4,30.7,12.1,1.61
200501,0,1573,3.0,1.68,1.68,1.16,13.9,23.9,3.8,0.08
200502,0,1224,2.41,1.39,1.39,0.71,21.1,32.5,9.6,-0.36
200503,0,1226,2.8,1.13,1.13,0.32,25.1,35.9,14.2,-0.34
200504,0,635,5.04,1.7,1.7,1.44,43.4,55.9,30.9,2.04
200505,0,496,2.86,1.33,1.33,0.78,48.7,59.2,38.1,-0.57
200506,86,32,4.97,1.39,1.39,1.03,66.5,77.9,55.1,0.59
200507,140,16,4.22,1.22,1.22,0.78,68.6,79.7,57.5,-0.07
200508,110,36,4.09,1.04,1.04,0.49,67.0,78.0,56.0,-0.17
200509,22,146,3.86,0.78,0.78,0.03,60.6,72.1,49.1,-0.46
200510,0,527,10.23,3.37,3.37,3.37,47.8,55.4,40.2,8.03
200511,0,827,5.52,3.73,3.73,3.73,37.0,46.5,27.4,2.1
200512,0,1341,3.39,3.37,3.37,3.34,21.3,29.4,13.2,0.08
200601,0,1197,4.57,3.78,3.78,3.78,26.0,34.9,17.0,2.26
200602,0,1213,2.18,3.13,3.13,2.78,21.3,29.9,12.8,-0.76
200603,0,1105,1.67,2.12,2.12,0.9,28.9,38.3,19.6,-2.08
200604,0,651,3.25,1.65,1.65,0.16,43.0,55.2,30.8,-0.74
200605,6,332,6.71,2.55,2.55,2.19,54.2,64.2,44.2,3.2
200606,31,86,8.67,4.4,4.4,4.4,62.9,72.5,53.3,6.34
200607,153,12,5.01,4.26,4.26,4.26,69.2,80.1,58.3,0.94
200608,52,89,4.75,4.35,4.35,4.35,63.4,74.1,52.7,1.57
200609,3,256,2.98,3.78,3.78,3.58,56.4,66.6,46.2,-0.36
200610,0,630,7.28,5.16,5.16,5.16,44.4,53.6,35.2,5.33
200611,0,727,3.02,4.06,4.06,3.36,40.5,48.3,32.6,-1.72
200612,0,1057,4.19,4.04,4.04,3.74,30.5,38.2,22.8,1.19
200701,0,1389,3.49,3.88,3.88,3.8,19.6,28.8,10.4,0.76
200702,0,1447,2.6,3.47,3.47,3.32,12.8,22.4,3.2,-0.03
200703,0,1203,3.59,3.4,3.4,3.4,25.8,37.2,14.4,0.88
200704,0,775,5.16,4.1,4.1,4.1,38.7,47.9,29.6,3.15
200705,4,358,3.03,3.32,3.32,2.86,53.3,66.6,39.9,-1.07
200706,33,85,3.48,2.69,2.69,1.83,62.9,74.9,50.9,-0.89
200707,59,62,5.81,3.28,3.28,3.28,64.6,75.3,53.8,2.6
200708,68,70,3.15,2.68,2.68,2.3,64.6,76.6,52.6,-0.78
200709,12,187,3.38,2.18,2.18,1.49,58.8,71.3,46.3,-0.66
200710,0,421,5.66,2.64,2.64,2.64,51.1,61.2,41.0,2.04
200711,0,964,4.73,2.9,2.9,2.9,32.4,40.4,24.5,1.59
200712,0,1334,4.75,3.26,3.26,3.26,21.5,29.2,13.7,1.97
200801,0,1332,2.39,2.67,2.67,2.3,21.5,30.8,12.2,-0.76
200802,0,1233,6.1,4.39,4.39,4.39,20.5,29.9,11.1,6.0
200803,0,1202,4.85,4.88,4.88,4.88,25.8,36.3,15.2,2.82
200804,0,590,3.53,4.17,4.17,3.87,44.8,57.7,31.8,-0.64
200805,0,454,1.45,2.92,2.92,1.65,50.0,63.2,36.8,-2.46
200806,42,71,6.39,3.51,3.51,3.2,63.7,74.2,53.3,2.68
200807,101,29,7.26,4.63,4.63,4.63,67.0,77.6,56.4,4.45
200808,45,96,5.79,5.23,5.23,5.23,63.1,73.7,52.6,3.23
200809,11,197,3.23,4.59,4.59,4.41,58.5,69.2,47.7,-0.33
200810,0,639,5.14,5.02,5.02,5.02,44.1,54.5,33.7,2.73
200811,0,899,2.85,4.09,4.09,3.57,34.7,42.1,27.3,-1.24
200812,0,1294,5.65,4.75,4.75,4.75,22.9,32.3,13.4,3.23
200901,0,1660,2.77,4.18,4.18,4.04,10.9,21.3,0.5,-0.23
200902,0,1230,2.28,3.55,3.55,3.13,20.6,31.1,10.1,-0.59
200903,0,1081,2.52,2.93,2.93,2.17,29.6,40.6,18.7,-0.77
200904,0,644,2.54,1.99,1.99,0.49,43.3,55.2,31.4,-1.93
200905,0,378,5.4,2.41,2.41,1.59,52.5,64.3,40.6,1.89
200906,11,144,4.91,2.68,2.68,2.32,60.3,70.3,50.2,1.54
200907,51,70,7.07,3.95,3.95,3.95,64.0,73.9,54.2,4.65
200908,92,48,4.54,3.87,3.87,3.87,66.2,76.7,55.6,0.96
200909,0,271,2.42,3.13,3.13,2.69,55.8,67.5,44.2,-1.0
200910,0,675,5.09,3.69,3.69,3.69,42.9,50.9,34.9,2.63
200911,0,759,4.03,3.24,3.24,3.09,39.4,48.8,30.0,-0.21
200912,0,1324,3.86,3.15,3.15,3.15,21.9,29.4,14.3,0.73
201001,0,1379,2.51,2.63,2.63,2.32,20.1,27.6,12.7,-0.59
201002,0,1156,3.11,2.64,2.64,2.62,23.5,29.8,17.3,0.85
201003,0,895,3.94,2.6,2.6,2.6,35.9,45.6,26.2,0.72
201004,0,554,3.32,1.92,1.92,1.33,46.2,58.2,34.2,-1.25
201005,11,276,2.34,0.96,0.96,-0.64,56.0,69.4,42.7,-2.3
201006,22,106,5.73,1.56,1.56,0.83,61.8,72.4,51.2,2.1
201007,157,11,3.98,1.22,1.22,0.27,69.4,80.6,58.2,-0.54
201008,82,57,4.52,1.28,1.28,0.52,65.4,76.4,54.4,0.55
201009,14,179,3.4,0.9,0.9,-0.11,59.2,69.4,49.1,-0.74
201010,0,602,9.16,3.14,3.14,3.14,45.2,54.7,35.8,7.01
201011,0,889,3.17,2.54,2.54,2.14,35.0,42.9,27.2,-0.84
201012,0,1359,4.03,2.6,2.6,2.53,20.8,27.8,13.8,0.97
201101,0,1514,2.29,2.03,2.03,1.53,15.7,24.4,7.0,-0.9
201102,0,1316,3.56,2.36,2.36,2.36,17.6,28.6,6.6,1.62
201103,0,1151,4.7,2.98,2.98,2.98,27.5,37.0,17.9,2.59
201104,0,685,6.22,4.09,4.09,4.09,41.7,51.6,31.8,4.25
201105,11,278,6.77,4.66,4.66,4.66,56.2,66.5,45.9,2.97
201106,24,103,4.96,4.62,4.62,4.62,62.0,72.9,51.1,1.32
201107,137,17,3.43,3.76,3.76,3.26,68.5,80.3,56.6,-1.17
201108,88,51,10.08,6.13,6.13,6.13,65.8,76.4,55.3,8.29
201109,25,139,6.11,6.49,6.49,6.49,60.8,70.4,51.2,2.97
201110,0,529,4.48,6.31,6.31,6.31,47.7,56.4,39.0,1.47
201111,0,736,2.06,-0.99,4.67,3.52,40.2,50.2,30.1,-2.98
201112,0,1137,3.56,-0.79,4.29,3.23,27.9,36.4,19.4,0.31
201201,0,1329,2.95,-0.7,3.86,2.77,21.4,30.2,12.6,0.02
201202,0,1088,1.22,-1.43,2.65,0.72,25.6,34.8,16.4,-2.41
201203,0,798,1.77,-2.33,1.34,-1.56,38.7,49.8,27.5,-3.13
201204,0,660,3.3,-2.29,1.0,-1.88,42.7,54.1,31.3,-0.6
201205,18,237,5.56,-1.61,1.34,-0.97,57.5,68.9,46.1,1.33
201206,26,97,3.87,-1.52,1.13,-1.09,62.2,73.6,50.9,-0.23
201207,128,20,3.54,-1.7,0.67,-1.62,68.0,80.3,55.7,-1.02
