Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,920,2.66,-0.19,3.91,3.63,35.2,45.5,25.0,-0.57
199702,0,653,2.87,-0.37,3.3,2.75,41.6,51.5,31.7,-0.6
199703,4,542,4.32,-0.21,3.08,2.62,48.0,59.8,36.3,0.36
199704,0,414,3.3,-0.03,2.93,2.59,50.8,62.9,38.6,0.49
199705,21,194,1.91,-0.6,2.05,1.04,58.8,72.2,45.3,-1.72
199706,148,16,3.46,-0.53,1.85,0.83,68.6,79.6,57.7,0.02
199707,336,0,4.51,-0.55,1.58,0.48,75.3,86.5,64.0,-0.23
199708,244,1,2.17,-1.26,0.65,-1.17,72.1,83.9,60.3,-2.31
199709,104,49,3.1,-1.42,-1.42,-1.42,66.4,77.9,54.8,-0.86
199710,11,283,2.55,-1.7,-1.7,-1.7,55.9,68.1,43.6,-1.3
199711,0,632,4.47,0.36,-1.17,-0.57,43.3,53.0,33.7,1.07
199712,0,824,2.76,0.25,-1.12,-0.57,38.0,47.3,28.6,-0.21
199801,2,743,6.89,1.74,1.74,1.74,40.7,49.4,32.0,4.55
199802,0,651,5.99,2.8,2.8,2.8,41.5,50.3,32.7,3.72
199803,0,595,5.22,3.14,3.14,3.14,45.4,55.7,35.2,1.87
199804,4,273,4.95,3.46,3.46,3.46,55.6,67.8,43.3,1.95
199805,93,69,5.3,3.53,3.53,3.53,65.5,76.2,54.9,1.28
199806,214,5,4.3,3.42,3.42,3.42,71.7,82.1,61.3,0.75
199807,339,0,2.15,-0.96,2.1,0.89,75.3,86.5,64.2,-2.89
199808,321,0,2.91,-1.6,1.15,-0.92,74.6,86.2,63.0,-2.22
199809,225,7,1.81,-2.46,-2.46,-2.46,71.6,84.7,58.5,-3.06
199810,16,245,1.5,-3.17,-3.17,-3.17,57.4,70.2,44.7,-2.91
199811,0,517,1.15,-4.15,-4.15,-4.15,47.4,60.2,34.7,-3.91
199812,0,682,3.77,-4.14,-4.14,-4.14,42.6,53.0,32.2,-1.26
199901,0,810,4.99,-3.35,-3.35,-2.86,39.0,49.8,28.3,1.11
199902,0,699,2.2,-3.46,-3.46,-3.45,40.0,51.3,28.8,-1.37
199903,0,694,3.46,-3.12,-3.12,-3.07,42.3,53.9,30.6,-0.05
199904,4,279,2.9,-3.1,-3.1,-3.1,56.1,68.7,43.5,-0.89
199905,60,107,2.31,-3.41,-3.41,-3.41,62.9,76.4,49.5,-1.91
199906,192,6,1.89,-3.9,-3.9,-3.9,70.7,82.0,59.3,-2.51
199907,416,0,4.18,-4.09,-4.09,-4.09,77.6,88.5,66.7,-1.77
199908,322,0,3.35,-4.32,-4.32,-4.32,74.8,86.5,63.0,-1.96
199909,100,49,10.37,2.23,-1.64,0.98,66.0,76.9,55.0,6.7
199910,6,320,2.65,2.09,-1.39,1.2,54.7,66.8,42.6,0.26
199911,0,402,2.22,-0.29,-1.54,0.61,51.4,63.9,38.8,-0.88
199912,0,777,2.2,-0.61,-1.73,-0.01,39.7,50.7,28.7,-1.04
200001,0,956,3.25,-0.46,-1.46,0.27,34.0,44.7,23.3,0.27
200002,0,656,1.81,-1.1,-2.0,-0.9,41.5,53.2,29.8,-2.07
200003,7,480,3.25,-1.41,-2.21,-1.38,49.6,62.6,36.6,-1.25
200004,1,325,4.66,0.61,-1.37,-0.04,53.9,65.0,42.8,1.83
200005,99,67,3.29,0.15,-1.63,-0.65,65.7,78.5,53.0,-1.2
200006,246,2,5.51,0.84,-0.75,0.7,72.6,83.1,62.1,2.13
200007,241,1,5.14,1.26,1.26,1.26,72.3,82.0,62.6,1.5
200008,249,1,4.57,1.45,1.45,1.45,72.4,82.2,62.6,0.98
200009,88,58,4.84,2.0,2.0,2.0,65.7,75.6,55.7,2.1
200010,17,237,0.09,-0.96,0.83,-0.57,57.4,71.7,43.2,-2.88
200011,0,636,1.88,-1.29,-1.29,-1.29,43.6,55.0,32.2,-1.28
200012,0,1073,2.04,-1.5,-1.5,-1.5,30.1,40.0,20.3,-1.05
200101,0,949,2.27,-1.69,-1.69,-1.69,34.3,45.0,23.7,-1.02
200102,0,676,2.01,-2.1,-2.1,-2.1,41.2,52.8,29.5,-1.75
200103,0,707,4.45,-1.46,-1.46,-0.81,42.0,53.0,31.0,1.28
200104,4,260,1.64,-2.2,-2.2,-2.2,56.6,69.7,43.5,-2.66
200105,55,114,4.88,0.29,-1.68,-1.21,63.0,75.2,50.8,0.88
200106,218,5,4.62,0.67,-1.1,-0.05,71.5,82.3,60.6,1.21
200107,230,1,5.21,1.15,1.15,1.15,71.9,82.7,61.0,1.66
200108,330,0,3.84,-0.05,0.98,0.77,75.0,85.5,64.6,-0.16
200109,79,66,2.2,-0.34,0.59,-0.26,64.8,76.4,53.3,-0.86
200110,11,287,0.89,-1.13,-1.13,-1.13,55.2,69.6,40.8,-2.49
200111,1,402,0.59,-2.37,-2.37,-2.37,51.2,65.7,36.6,-4.06
200112,2,663,2.28,-2.98,-2.98,-2.98,43.4,54.1,32.6,-2.56
