Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1051,2.27,3.8,3.8,3.22,30.7,40.5,21.0,-1.38
199702,0,735,1.9,2.71,2.71,1.3,38.4,47.8,28.9,-2.1
199703,3,622,7.13,3.69,3.69,3.64,44.6,55.8,33.5,3.79
199704,0,530,2.08,2.82,2.82,2.15,46.7,59.1,34.4,-1.47
199705,10,305,4.2,2.84,2.84,2.47,54.8,68.1,41.5,0.93
199706,113,37,4.29,2.69,2.69,2.43,66.8,78.1,55.4,0.43
199707,235,2,4.36,2.27,2.27,1.79,71.8,83.3,60.2,-0.44
199708,147,18,4.15,2.19,2.19,1.84,68.4,79.4,57.5,0.48
199709,50,105,2.98,1.99,1.99,1.6,62.5,74.1,50.8,0.07
199710,4,373,1.28,1.14,1.14,0.0,52.6,65.1,40.1,-1.94
199711,0,738,3.79,1.3,1.3,0.46,39.7,47.8,31.7,0.82
199712,0,919,2.8,0.98,0.98,-0.03,34.8,42.5,27.1,-0.54
199801,0,829,4.93,1.5,1.5,1.0,37.6,45.3,30.0,1.85
199802,0,710,4.4,1.85,1.85,1.81,39.0,46.5,31.6,1.51
199803,0,676,4.03,1.62,1.62,1.45,42.6,52.1,33.0,-0.13
199804,2,363,5.05,1.99,1.99,1.99,52.4,65.4,39.4,1.62
199805,82,110,5.15,2.01,2.01,2.01,63.4,74.7,52.2,0.68
199806,137,25,8.43,3.75,3.75,3.75,68.0,78.0,58.0,5.83
199807,231,3,3.08,-0.73,2.63,1.71,71.6,82.6,60.6,-2.19
199808,231,2,3.13,-1.24,1.77,0.15,71.6,83.3,59.7,-1.77
199809,136,33,2.01,-2.02,0.68,-1.87,67.7,81.1,54.3,-2.71
199810,9,321,1.68,-2.72,-2.72,-2.72,54.4,66.9,42.0,-2.73
199811,0,613,1.45,-3.81,-3.81,-3.81,44.0,55.8,32.2,-4.11
199812,0,811,2.77,-4.18,-4.18,-4.18,38.4,48.6,28.2,-2.3
199901,0,937,5.58,-2.93,-2.93,-1.92,34.5,44.3,24.7,2.48
199902,0,790,2.37,-3.03,-3.03,-2.44,36.3,46.6,26.0,-1.21
199903,0,855,3.98,-2.55,-2.55,-1.73,36.8,48.0,25.6,0.51
199904,6,310,2.99,-2.77,-2.77,-2.44,54.3,67.5,41.1,-1.46
199905,50,159,2.79,-3.08,-3.08,-3.08,60.8,75.6,45.9,-1.79
199906,170,18,1.73,-3.96,-3.96,-3.96,69.3,81.9,56.6,-3.58
199907,350,0,3.45,-4.67,-4.67,-4.67,75.3,87.6,63.0,-3.36
199908,200,7,3.39,-4.81,-4.81,-4.81,70.4,82.9,57.9,-1.88
199909,63,90,3.28,-4.55,-4.55,-4.55,63.3,76.9,49.8,-0.69
199910,5,379,3.3,-4.27,-4.27,-4.27,52.3,65.3,39.3,-0.58
199911,0,514,3.38,-4.3,-4.3,-4.3,47.6,60.0,35.1,-1.39
199912,0,906,2.74,-4.19,-4.19,-4.19,35.4,45.6,25.2,-1.02
200001,0,1085,1.99,-4.35,-4.35,-4.35,29.5,40.0,19.0,-1.76
200002,0,713,4.0,-3.6,-3.6,-3.2,39.0,49.4,28.6,0.9
200003,5,575,2.98,-3.91,-3.91,-3.91,46.1,58.9,33.3,-2.03
200004,0,403,4.37,0.31,-3.19,-2.77,51.0,63.1,39.0,0.94
200005,75,120,4.19,0.14,-3.0,-2.69,62.9,76.3,49.6,-0.42
200006,179,14,5.53,0.65,-2.17,-1.2,69.8,80.9,58.7,1.57
200007,160,13,5.32,1.08,-1.45,0.09,69.0,79.4,58.6,1.5
200008,175,11,4.85,1.44,-0.83,1.15,69.5,79.2,59.8,1.41
200009,60,93,4.42,2.05,2.05,2.05,63.3,73.9,52.6,2.28
200010,12,296,0.87,-0.75,1.09,-0.02,55.2,68.6,41.8,-2.26
200011,0,722,1.82,-1.17,-1.17,-1.17,40.4,50.5,30.3,-1.49
200012,0,1211,2.25,-1.42,-1.42,-1.42,25.6,34.6,16.6,-1.11
200101,0,1091,2.6,-1.58,-1.58,-1.58,29.4,38.6,20.3,-0.92
200102,0,746,2.16,-1.98,-1.98,-1.98,38.0,48.4,27.7,-1.68
200103,0,841,3.52,-1.83,-1.83,-1.83,37.3,46.8,27.8,-0.17
200104,6,301,2.26,-2.47,-2.47,-2.47,54.6,68.1,41.1,-2.49
200105,51,157,6.49,0.91,-1.31,-0.08,61.0,73.5,48.5,2.72
200106,132,27,4.18,0.85,-1.14,0.12,67.8,79.7,55.9,0.1
200107,175,12,7.6,2.28,2.28,2.28,69.4,80.5,58.4,4.58
200108,259,2,3.41,-0.37,1.68,1.12,72.5,82.8,62.2,-1.11
200109,48,110,2.49,-0.55,1.29,0.4,62.2,74.0,50.5,-0.66
200110,4,376,1.28,-1.21,-1.21,-1.21,52.3,66.0,38.5,-2.14
200111,0,499,1.27,-2.32,-2.32,-2.32,47.9,62.6,33.2,-3.72
200112,0,764,2.6,-2.79,-2.79,-2.79,39.9,49.8,30.1,-2.13
200201,0,914,3.09,-2.66,-2.66,-2.66,35.0,44.7,25.4,-0.45
200202,0,775,1.0,-3.47,-3.47,-3.47,36.7,48.7,24.7,-3.26
200203,0,674,5.05,0.41,-2.7,-2.16,42.8,54.6,30.9,1.22
200204,4,314,6.03,1.25,-1.54,0.1,54.1,66.6,41.7,2.66
200205,23,226,5.07,1.62,-0.88,1.26,57.9,71.1,44.6,1.5
200206,186,13,4.41,1.46,-0.78,1.23,70.0,81.9,58.1,0.01
200207,293,1,5.09,1.36,-0.65,1.27,73.6,84.0,63.2,0.16
200208,271,2,1.9,0.09,-1.72,-0.88,72.8,84.6,60.9,-3.4
200209,131,35,3.87,0.01,-1.61,-0.83,67.5,80.5,54.5,-0.22
200210,10,322,5.48,0.82,-0.64,0.75,54.5,63.0,46.0,2.43
200211,0,697,4.13,1.43,1.43,1.43,41.2,49.5,32.9,2.1
200212,0,985,3.44,1.44,1.44,1.44,32.7,40.7,24.6,0.45
200301,0,1210,2.42,0.9,0.9,0.18,25.5,33.3,17.7,-1.17
200302,0,957,6.23,2.4,2.4,2.4,30.5,37.4,23.6,4.78
200303,3,611,2.06,1.11,1.11,-0.31,45.0,57.1,32.9,-3.12
200304,3,333,3.8,0.93,0.93,-0.55,53.4,65.9,41.0,-0.22
200305,40,182,7.25,2.12,2.12,2.12,59.8,69.4,50.1,3.87
200306,81,57,6.66,3.22,3.22,3.22,65.1,75.8,54.4,3.94
200307,218,3,5.85,3.49,3.49,3.49,71.2,81.5,60.8,1.81
200308,256,2,5.29,3.64,3.64,3.64,72.4,82.2,62.7,1.52
200309,63,88,6.69,5.07,5.07,5.07,63.6,73.4,53.7,5.43
200310,3,393,3.04,4.89,4.89,4.89,51.9,63.7,40.1,1.03
