Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1573,1.98,2.56,2.56,2.56,11.6,20.4,2.9,2.01
199702,0,1169,0.88,2.25,2.25,2.13,20.7,30.0,11.4,-0.13
199703,0,1033,1.87,2.15,2.15,2.14,28.9,38.2,19.5,0.4
199704,0,682,0.97,1.12,1.12,-0.06,41.1,53.0,29.2,-2.44
199705,5,463,3.01,1.13,1.13,0.14,49.3,60.8,37.7,0.4
199706,107,66,4.11,0.94,0.94,-0.15,66.0,78.3,53.8,-0.23
199707,146,29,4.99,1.67,1.67,1.49,67.7,78.2,57.1,2.5
199708,81,85,4.18,1.94,1.94,1.94,63.6,73.9,53.4,1.33
199709,23,159,2.9,1.57,1.57,1.25,59.4,70.0,48.7,-0.53
199710,0,495,2.18,1.45,1.45,1.13,47.5,58.1,36.9,0.14
199711,0,988,0.73,1.0,1.0,0.21,29.7,36.7,22.7,-0.9
199712,0,1157,0.63,0.64,0.64,-0.5,26.2,32.6,19.8,-0.77
199801,0,1297,1.79,1.12,1.12,0.66,20.3,26.8,13.8,1.63
199802,0,892,1.59,1.44,1.44,1.43,31.6,38.6,24.5,1.31
199803,0,975,3.65,2.53,2.53,2.53,31.3,39.6,23.0,3.7
199804,0,535,2.34,1.83,1.83,1.21,47.0,59.0,35.0,-1.31
199805,65,175,3.42,1.23,1.23,0.05,60.9,74.1,47.8,-1.23
199806,90,84,6.22,2.11,2.11,2.11,63.5,74.1,52.9,3.02
199807,189,16,1.71,-0.94,0.96,-0.38,69.4,81.1,57.6,-2.81
199808,184,23,4.21,-0.91,0.79,-0.61,68.9,80.0,57.9,-0.21
199809,68,82,2.3,-1.69,-1.69,-1.69,63.1,76.0,50.1,-2.63
199810,3,446,2.74,-1.63,-1.63,-1.63,49.0,59.2,38.9,-0.34
199811,0,765,1.77,-2.05,-2.05,-2.05,37.2,44.9,29.5,-1.75
199812,0,1132,0.69,-2.49,-2.49,-2.49,25.4,35.1,15.8,-1.98
199901,0,1554,2.13,0.48,-1.75,-1.07,12.0,20.7,3.2,1.45
199902,0,996,1.18,0.59,-1.41,-0.49,26.6,35.4,17.9,0.48
199903,0,983,0.53,-0.7,-1.97,-1.84,31.8,42.9,20.8,-2.09
199904,0,528,4.13,0.6,-1.16,-0.19,46.6,57.8,35.3,1.81
199905,38,232,4.88,1.06,1.06,1.06,58.0,69.5,46.4,1.57
199906,113,63,4.18,0.94,0.94,0.81,65.4,76.6,54.2,-0.03
199907,286,4,7.58,2.78,2.78,2.78,72.4,83.4,61.5,5.8
199908,114,55,3.28,-0.08,2.41,2.25,65.9,76.4,55.3,-0.24
199909,17,182,2.12,-0.54,1.69,0.88,57.8,70.0,45.7,-1.41
199910,0,534,1.28,-0.92,1.09,-0.27,45.7,57.5,33.9,-1.3
199911,0,702,1.25,-1.49,-1.49,-1.49,39.6,50.6,28.6,-1.99
199912,0,1238,0.71,-1.81,-1.81,-1.81,22.7,31.0,14.3,-1.44
200001,0,1440,1.17,-1.6,-1.6,-1.49,15.1,24.8,5.3,0.08
200002,0,1037,1.27,-1.21,-1.21,-0.71,25.3,35.5,15.1,0.66
200003,0,767,1.36,-1.67,-1.67,-1.67,38.4,49.4,27.4,-1.73
200004,0,623,2.42,-1.61,-1.61,-1.61,42.9,54.7,31.1,-0.34
200005,33,249,4.26,0.27,-1.18,-0.69,57.1,68.8,45.4,0.8
200006,81,93,6.69,1.54,1.54,1.54,62.8,73.5,52.1,3.9
200007,137,32,4.33,1.89,1.89,1.89,67.6,78.1,57.1,1.54
200008,151,35,3.8,1.74,1.74,1.74,67.6,78.2,56.9,0.13
200009,22,169,3.78,1.72,1.72,1.72,58.1,69.4,46.8,0.46
200010,5,401,0.89,0.8,0.8,-0.36,50.5,61.8,39.2,-2.21
200011,0,924,2.71,1.13,1.13,0.55,32.4,39.0,25.7,1.24
200012,0,1666,1.51,1.32,1.32,1.08,8.6,17.6,-0.3,0.91
200101,0,1371,1.17,1.32,1.32,1.19,19.1,28.2,10.0,0.41
200102,0,1295,1.65,1.66,1.66,1.66,14.8,24.8,4.9,1.44
200103,0,1083,0.68,0.88,0.88,-0.1,28.0,37.7,18.2,-1.82
200104,0,493,4.86,1.79,1.79,1.79,46.8,58.1,35.5,3.0
200105,31,253,4.91,2.21,2.21,2.21,57.0,68.3,45.6,1.81
200106,88,83,4.73,2.29,2.29,2.29,64.4,75.2,53.7,0.9
200107,212,13,2.61,1.55,1.55,0.82,70.0,82.1,57.8,-1.5
200108,202,18,4.48,1.48,1.48,0.83,69.7,81.1,58.3,0.27
200109,13,201,4.04,1.48,1.48,0.98,57.3,68.0,46.6,0.46
200110,0,527,2.43,1.49,1.49,1.12,46.1,56.5,35.8,0.47
200111,0,604,2.26,1.26,1.26,0.77,43.2,52.7,33.8,-0.21
200112,0,1091,1.23,1.26,1.26,0.84,27.5,34.9,20.0,0.37
200201,0,1195,0.5,0.82,0.82,0.01,24.0,32.2,15.9,-0.92
200202,0,1015,1.78,1.3,1.3,1.04,26.7,36.1,17.4,1.7
200203,0,1144,2.27,1.55,1.55,1.55,24.8,34.7,14.9,1.14
200204,0,603,4.21,2.29,2.29,2.29,42.9,53.2,32.6,2.69
200205,7,415,3.0,2.09,2.09,2.07,50.8,62.4,39.1,0.11
200206,126,53,5.64,2.48,2.48,2.48,66.4,77.1,55.6,1.83
200207,279,3,3.63,2.11,2.11,1.9,72.7,84.0,61.4,-0.34
200208,159,32,4.58,2.21,2.21,2.21,67.4,78.5,56.4,0.96
200209,54,102,4.57,2.26,2.26,2.26,61.6,72.7,50.4,0.81
200210,0,628,3.93,3.22,3.22,3.22,42.1,50.7,33.4,3.58
200211,0,937,0.39,-0.44,2.45,1.85,31.4,39.8,23.1,-1.32
200212,0,1203,0.58,-0.68,1.9,0.92,24.2,32.2,16.3,-0.87
200301,0,1517,0.36,-1.01,1.31,-0.15,13.7,22.5,4.9,-1.2
200302,0,1342,0.64,-1.11,0.97,-0.67,13.7,24.8,2.6,-0.62
200303,0,1043,1.85,0.12,0.99,-0.45,29.1,39.9,18.3,0.36
200304,0,638,2.76,0.2,0.98,-0.3,42.6,54.7,30.4,0.29
200305,14,348,4.82,0.95,1.65,1.01,53.8,65.9,41.6,2.3
200306,67,106,3.35,-0.27,1.21,0.31,63.1,75.1,51.1,-0.8
200307,159,24,3.28,-0.34,0.99,0.02,68.4,80.0,56.7,-0.29
200308,207,17,1.96,-1.48,-1.48,-1.48,70.1,82.4,57.9,-3.54
200309,23,156,3.15,-1.81,-1.81,-1.81,59.4,70.9,47.8,-1.43
200310,0,520,1.37,-2.36,-2.36,-2.36,46.8,58.3,35.3,-2.21
200311,0,872,3.17,-2.1,-2.1,-2.01,32.9,40.6,25.1,0.05
200312,0,1165,1.31,-2.07,-2.07,-2.07,24.8,32.8,16.7,-0.57
200401,0,1591,0.81,-2.02,-2.02,-2.02,10.7,19.2,2.3,-0.49
200402,0,1178,1.66,0.49,-1.33,-0.59,20.8,30.6,11.0,1.46
200403,0,886,3.08,1.23,1.23,1.23,33.6,42.4,24.8,2.37
200404,0,565,2.17,0.73,0.73,-0.04,44.6,57.2,31.9,-1.11
200405,17,337,7.54,2.85,2.85,2.85,53.1,64.6,41.6,6.58
200406,62,114,4.57,2.92,2.92,2.92,62.0,73.2,50.7,1.08
200407,126,37,3.1,-0.08,2.53,2.37,66.8,77.7,55.9,-0.25
200408,66,103,3.05,-0.2,2.15,1.78,62.2,73.2,51.2,-0.37
200409,61,89,2.17,-0.97,1.13,-0.27,63.1,75.2,50.9,-2.4
200410,0,471,3.61,0.48,1.49,0.67,48.2,58.4,38.0,1.43
200411,0,780,1.65,0.19,1.1,-0.01,36.7,45.0,28.4,-0.73
200412,0,1294,1.5,0.46,1.27,0.49,20.4,29.0,11.9,0.87
