Date,cdd,hdd,pcp,pdsi,phdi,pmdi,tavg,tmax,tmin,zndx
199701,0,1403,1.6,3.71,3.71,3.71,18.8,28.7,8.8,2.61
199702,0,1171,0.85,3.81,3.81,3.81,22.1,32.9,11.4,1.44
199703,0,964,0.89,3.8,3.8,3.8,32.9,46.0,19.8,1.15
199704,0,910,1.94,4.3,4.3,4.3,34.2,46.3,22.0,2.69
199705,0,465,2.04,3.82,3.82,3.72,49.5,63.3,35.6,-0.11
199706,48,174,2.14,3.64,3.64,3.64,60.0,73.7,46.3,0.62
199707,87,80,2.23,4.3,4.3,4.3,64.2,78.9,49.4,3.12
199708,64,83,1.75,4.92,4.92,4.92,63.7,77.7,49.8,3.19
199709,20,256,1.72,4.95,4.95,4.95,56.4,69.8,43.0,1.6
199710,0,659,1.38,4.73,4.73,4.73,42.8,56.2,29.5,0.87
199711,0,1065,0.55,3.91,3.91,3.47,28.8,40.3,17.3,-1.0
199712,0,1325,0.89,3.44,3.44,2.88,21.0,31.2,10.8,-0.2
199801,0,1275,1.41,3.47,3.47,3.28,22.7,32.8,12.6,1.15
199802,0,1045,0.9,3.22,3.22,3.09,26.4,36.5,16.4,0.32
199803,0,1110,1.82,3.62,3.62,3.62,28.4,40.0,16.9,2.21
199804,0,745,1.36,3.25,3.25,3.19,39.5,52.2,26.8,0.0
199805,4,430,1.44,2.39,2.39,1.65,50.4,64.2,36.5,-1.58
199806,7,356,3.33,3.48,3.48,3.48,52.4,64.7,40.2,4.0
199807,147,33,1.74,4.14,4.14,4.14,68.0,82.9,53.2,3.06
199808,91,59,1.37,4.44,4.44,4.44,65.2,80.5,50.0,2.17
199809,51,173,1.34,4.0,4.0,3.97,59.9,74.4,45.5,0.07
199810,0,657,2.81,5.08,5.08,5.08,43.2,55.0,31.4,4.47
199811,0,922,1.21,4.92,4.92,4.92,33.1,42.3,23.8,1.09
199812,0,1324,0.84,4.58,4.58,4.58,21.3,32.3,10.4,0.5
199901,0,1222,1.22,4.67,4.67,4.67,24.6,34.7,14.6,1.67
199902,0,999,1.17,4.93,4.93,4.93,28.0,38.9,17.1,2.25
199903,0,920,0.75,4.58,4.58,4.58,34.4,48.2,20.7,0.46
199904,0,836,3.31,5.8,5.8,5.8,36.5,47.6,25.5,5.08
199905,0,540,2.18,5.47,5.47,5.47,46.7,59.2,34.1,0.79
199906,23,244,2.17,5.31,5.31,5.31,56.7,70.4,43.0,1.21
199907,118,56,0.81,4.95,4.95,4.95,66.0,81.9,50.2,0.58
199908,89,65,1.04,4.49,4.49,4.48,64.9,80.1,49.8,0.14
199909,4,404,1.54,4.47,4.47,4.47,51.0,65.9,36.1,1.33
199910,0,600,0.39,-0.77,3.24,2.3,45.0,60.8,29.2,-2.31
