State,Target Column,Feature,Importance,Best Params
Alabama,Residential sector,cdd_September,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,hdd_May,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,cdd_December,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,cdd_June,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,cdd_March,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,hdd_June,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,cdd_November,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,hdd_October,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,hdd_July,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,hdd_August,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,hdd_January,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,cdd_July,0.0019739991728572413,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,cdd_February,0.0027527101743074207,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,cdd_October,0.004572178200884213,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,cdd_January,0.005369994702968298,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,cdd_April,0.006407142387866677,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,hdd_September,0.008606737187310325,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,cdd_May,0.014799012027341196,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,hdd_April,0.015912126199151527,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,hdd_November,0.06637241596589201,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,hdd_December,0.09593407713846903,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,hdd_February,0.14544063391611278,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,hdd_March,0.2415611940372838,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Alabama,Residential sector,cdd_August,0.39029777888955547,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}"
Arizona,Residential sector,cdd_April,0.0,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,cdd_December,0.0,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,hdd_November,0.0,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,cdd_July,0.0,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,hdd_March,0.0,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,cdd_March,0.0,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,hdd_June,0.0,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,hdd_July,0.0,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,cdd_October,0.0,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,hdd_August,0.0,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,cdd_August,1.6699238932164555e-08,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,cdd_February,9.069786206634119e-07,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,hdd_December,7.068204233365135e-05,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,hdd_September,0.0003810560617432068,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,hdd_February,0.0010876235840624321,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,cdd_November,0.0018551212409958855,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,hdd_January,0.0021617307174568033,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,hdd_October,0.026646761474877267,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,cdd_January,0.035579304752336435,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,cdd_September,0.05791552136451127,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,hdd_April,0.11798897909171796,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,cdd_May,0.1213657810148273,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,hdd_May,0.17204448328905061,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arizona,Residential sector,cdd_June,0.4629020316882276,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}"
Arkansas,Residential sector,cdd_September,0.0,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,cdd_December,0.0,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,cdd_February,0.0,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,cdd_January,0.0,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,hdd_July,0.0,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,hdd_December,0.0,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,hdd_August,0.0,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,cdd_May,0.0,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,hdd_April,0.0,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,hdd_June,1.0455301433439511e-05,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,cdd_April,1.1742001191549899e-05,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,hdd_September,5.2708267568151274e-05,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,hdd_November,0.00047384959590185736,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,cdd_July,0.0013891078248191174,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,hdd_October,0.0021953889772295004,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,cdd_October,0.004168304257779206,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,cdd_March,0.006948613349142258,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,cdd_November,0.026532639466367688,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,cdd_August,0.02974978212617278,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,hdd_February,0.03502887243516504,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,hdd_March,0.04264086178810169,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,hdd_May,0.15064047339813735,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,hdd_January,0.2635650880402407,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Arkansas,Residential sector,cdd_June,0.43659211317074964,"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}"
California,Residential sector,hdd_May,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
California,Residential sector,cdd_December,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
California,Residential sector,cdd_February,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
California,Residential sector,cdd_July,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
California,Residential sector,cdd_June,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
California,Residential sector,cdd_November,0.0,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}"
