Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,154700.0,12.3,315633,213223,934894,439699,1903449
1998,160396.4,12.13,338840,219459,940098,447984,1946380
1999,166531.8,12.02,343031,232322,972962,453914,2002228
2000,168695.3,12.24,370236,243953,978320,472549,2065056
2001,168448.3,11.04,346578,233910,833655,445444,1859586
2002,172430.4,11.14,365195,240358,841950,472526,1920028
2003,178040.0,10.66,348234,235720,855029,458056,1897039
2004,189913.7,10.62,356075,246269,922250,493167,2017763
2005,197246.5,10.24,367927,249452,912008,489519,2018906
2006,199923.9,10.26,374411,260306,920116,496081,2050913
2007,202025.5,10.23,387829,271789,908318,499523,2067459
2008,200967.4,9.84,378548,264633,865795,467593,1976568
2009,194192.1,9.01,353856,243888,693508,459056,1749847
2010,199455.0,9.56,405336,261483,761494,478219,1906254
2011,201372.8,9.35,364870,248475,791115,478194,1882463
2012,203675.5,9.15,328461,237919,824770,472026,1863418
2013,206962.9,9.1,340505,243962,831320,466384,1882362
2014,206070.0,9.36,365118,252918,846668,465321,1929314
2015,208950.3,9.0,336211,253876,809939,480839,1880544
2016,212862.8,8.91,331714,255584,803662,504600,1895744
2017,216615.5,8.62,310721,244882,813582,498742,1867484
2018,220808.8,8.67,342249,252411,829542,488616,1913464
2019,224944.6,8.38,332225,246538,804102,500869,1883941
2020,222081.4,8.07,313301,224018,757521,498155,1793090
2021,231892.6,8.3,323434,236565,809562,555739,1924516
2022,235807.3,8.07,332943,244393,774332,551631,1902374
