Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,87180.3,11.93,188701,119820,458090,273172,1039783
1998,89905.3,11.81,199988,127703,458164,275696,1061551
1999,94756.9,11.43,202026,130354,457829,293044,1083254
2000,95509.8,11.78,218879,142474,469550,293838,1124742
2001,95528.7,11.29,214597,146067,440731,277440,1078834
2002,98556.6,11.11,216149,146019,447699,285354,1095221
2003,102948.0,10.53,211117,149592,437795,285259,1083764
2004,108581.8,9.85,206123,147995,426905,288208,1069232
2005,112451.1,9.74,224943,157852,423291,288737,1094823
2006,114890.4,9.6,220872,155943,437513,288760,1103087
2007,114026.7,9.72,225012,157748,433350,292703,1108814
2008,113628.0,9.52,226002,159838,411202,285202,1082242
2009,109833.1,9.28,218162,158754,357610,285162,1019286
2010,113000.9,9.81,245831,169410,403739,290132,1108901
2011,115241.8,9.68,241166,170557,416212,287139,1115060
2012,116616.2,9.13,217994,167414,401382,277920,1064957
2013,119842.8,9.12,235604,172994,407322,276357,1092848
2014,121409.4,9.13,241530,178776,408043,280162,1108345
2015,121532.5,8.59,221167,174195,371094,277002,1043455
2016,123034.9,8.43,207232,170732,375115,283534,1036998
2017,123882.6,8.42,196899,169521,392153,285164,1043543
2018,126371.2,8.73,229606,180869,406022,286207,1103282
2019,127216.0,8.47,219593,175440,393734,288905,1078044
2020,128061.2,7.89,206229,164133,368906,271199,1010754
2021,135568.8,7.78,216467,172070,381292,285140,1054467
2022,137355.5,7.66,218331,172697,378860,283268,1052517
