Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,1441226.4,4.9,1209236,1112879,1942112,2798951,7063176
1998,1538612.3,4.76,1335068,1228356,1960839,2806838,7331105
1999,1655438.5,4.45,1345950,1166609,1984425,2868690,7365674
2000,1784320.6,4.21,1300566,1195092,1991971,3016982,7504612
2001,1784567.7,4.26,1322525,1309918,2011063,2966568,7610078
2002,1821509.5,4.17,1304814,1282989,1877339,3129911,7595049
2003,1895287.6,3.93,1321295,1244763,1847872,3040202,7454129
2004,1956745.5,4.0,1363294,1355747,1923879,3192744,7835668
2005,2042141.0,3.79,1311193,1295011,1856848,3278918,7741970
2006,2120435.4,3.67,1331067,1308405,1819106,3327187,7785760
2007,2168940.4,3.65,1360526,1377978,1830417,3354395,7923316
2008,2192331.8,3.53,1400434,1419732,1784350,3144121,7748638
2009,2110679.4,3.52,1364565,1353185,1649909,3062046,7425448
2010,2153852.8,3.37,1337056,1331349,1666931,2933005,7265499
2011,2192887.2,3.27,1339943,1316978,1693007,2827130,7178515
2012,2255437.3,3.13,1303292,1310024,1675908,2772317,7065316
2013,2340335.3,3.06,1301310,1253801,1801119,2776075,7162622
2014,2428675.7,2.91,1212363,1253459,1778942,2797531,7073527
2015,2545979.5,2.82,1201310,1287155,1769064,2864614,7169881
2016,2623711.7,2.73,1170002,1226595,1746623,2969567,7168226
2017,2740550.3,2.62,1170544,1188341,1708736,3047602,7176823
2018,2850970.3,2.57,1208227,1247798,1739402,3060923,7317326
2019,2962792.1,2.45,1209715,1193132,1690633,3059593,7258664
2020,2925146.9,2.21,1257967,1124397,1605664,2355076,6462830
2021,3146185.3,2.16,1223642,1156818,1597453,2802027,6808107
2022,3167460.8,2.17,1203738,1193066,1539259,2915818,6882442
