Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,51267.0,5.29,55495,45818,104895,64816,271024
1998,56487.0,4.8,55272,46201,104141,65432,271046
1999,60866.2,4.65,58653,48209,108518,67935,283315
2000,63388.8,4.79,62856,58203,112374,70445,303879
2001,65724.8,4.42,61068,51501,112545,65428,290542
2002,63702.5,4.79,66706,56938,112537,68665,304846
2003,64316.8,4.68,68416,56104,108858,67453,300831
2004,67735.5,4.24,67018,56460,94668,68851,286998
2005,66381.2,4.49,69725,58032,97363,72656,297776
2006,68411.8,4.18,62531,57109,91627,74414,285682
2007,68132.4,4.28,67051,59528,90066,74852,291496
2008,65771.3,4.39,67487,60531,89393,71202,288613
2009,69186.2,3.7,67260,61582,58010,68879,255658
2010,68291.9,3.85,71069,61812,49752,80359,262944
2011,71103.5,3.95,66065,57267,84068,73594,280883
2012,70562.4,3.96,60636,55396,91457,72385,279750
2013,68656.8,4.03,63240,55227,89806,68339,276486
2014,73961.7,3.73,64808,55962,86531,69050,276230
2015,76211.2,3.67,63851,55545,88192,72583,280069
2016,71941.4,3.84,58686,54724,87542,75691,276549
2017,69555.6,3.94,57157,54316,83081,79715,274181
2018,70856.4,4.13,65343,59440,84286,83677,292542
2019,74597.4,3.91,62334,58348,84118,86782,291342
2020,72550.3,3.63,58772,48217,83709,73041,263492
2021,74436.7,3.77,64631,52149,84236,79915,280811
2022,75172.6,3.66,64601,52394,80555,77371,274796
