Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,38816.3,10.19,65505,56706,158611,114869,395691
1998,40879.3,10.17,69022,61278,168119,117181,415600
1999,44821.5,9.7,74633,67016,169729,123440,434818
2000,49793.0,9.36,85730,79249,177016,124232,466227
2001,48695.4,9.24,86854,78497,163072,121405,449829
2002,49840.5,8.68,84618,77622,147158,123256,432654
2003,51542.6,7.96,83402,61140,148427,117135,410104
2004,55137.1,8.02,90183,63663,166107,122155,442108
2005,59331.9,7.63,98781,65797,165242,123131,452950
2006,60738.6,7.37,97328,63380,155931,131164,447803
2007,61812.1,7.69,105956,70079,164091,135469,475596
2008,63878.2,7.33,111090,70656,162300,124004,468051
2009,61276.1,6.98,99622,65080,140589,122803,427766
2010,62626.4,7.27,96729,65485,155741,137521,455202
2011,62704.0,6.71,89356,59705,140777,131634,420842
2012,62007.3,6.89,86831,61394,146339,132913,426928
2013,64769.8,7.01,100217,68562,149211,137162,453822
2014,66784.9,6.64,91786,65779,147614,139595,443640
2015,67790.5,6.88,97556,69316,147247,153669,466069
2016,70442.5,6.55,95733,68550,140292,158982,461605
2017,72935.1,6.4,101966,68620,137274,161078,466930
2018,77652.1,5.99,97992,66944,138823,163540,465409
2019,81261.3,5.95,107454,70874,137865,169098,483869
2020,82818.6,5.64,101630,69511,139101,158219,466967
2021,87992.9,5.64,109610,73414,144811,168862,495849
2022,91683.7,5.66,123342,78501,148159,169891,518988
