Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,619325.8,6.36,978689,775074,1349486,833935,3937179
1998,639642.7,6.02,914175,764257,1322058,851800,3852291
1999,663857.8,6.06,958276,806750,1318789,939312,4023131
2000,687111.4,5.86,971873,838885,1249767,967815,4028341
2001,688404.3,5.67,949281,826591,1190200,938599,3904668
2002,692398.1,5.66,1006246,829484,1176102,907502,3919330
2003,703548.8,5.61,997820,791677,1201877,953372,3944742
2004,726139.0,5.5,974185,759975,1253104,1004943,3992209
2005,741248.6,5.58,1012120,778678,1238730,1109663,4139189
2006,759825.7,5.25,947786,780840,1202673,1058245,3989547
2007,769571.6,5.3,1001086,798044,1217450,1060553,4077130
2008,759095.3,5.36,1024099,814812,1219337,1013223,4071470
2009,740794.3,5.2,971053,796145,1094147,983665,3849824
2010,755391.4,5.25,989274,774107,1213875,981406,3962907
2011,772225.6,5.12,969445,778002,1215052,971972,3950191
2012,790723.3,4.83,902018,751348,1210319,940391,3818591
2013,795435.2,5.0,995293,788228,1219673,959146,3974248
2014,811490.1,4.99,1015973,804077,1233278,985162,4051770
2015,825424.9,4.71,908425,775985,1165328,1021128,3884773
2016,826404.7,4.7,907591,779820,1167724,1019652,3884933
2017,832826.8,4.62,873167,774981,1161053,1024195,3844444
2018,851517.2,4.67,971692,803161,1161680,1026227,3975530
2019,857985.0,4.55,949652,785814,1155720,997363,3901177
2020,810210.1,4.39,913279,714167,1114316,802754,3555850
2021,852749.1,4.27,902614,730020,1108257,891869,3637438
2022,864170.9,4.25,925485,743887,1108954,892798,3675647
