Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,108792.9,10.12,219050,196837,414081,271115,1101084
1998,112625.7,9.67,227335,199023,392394,270026,1088778
1999,115486.4,9.6,226051,194262,402444,285477,1108236
2000,118840.9,9.39,238841,207255,399934,269988,1116017
2001,119474.1,8.9,227150,203031,382060,251278,1063518
2002,121050.5,9.06,236465,208709,391018,260526,1096719
2003,123486.7,9.22,235900,208525,407714,285806,1137945
2004,124793.2,8.97,229218,209796,406900,273226,1119141
2005,129588.2,8.21,238654,206727,360738,258189,1064308
2006,136135.8,8.0,227010,206089,383534,272773,1089406
2007,143586.6,8.02,232899,210655,427990,279483,1151027
2008,147265.0,7.53,240315,214729,377723,276308,1109074
2009,141902.5,7.55,233809,205562,347750,285206,1072068
2010,143870.1,7.58,241237,208513,365694,274866,1090262
2011,147836.8,7.27,237375,207706,362659,266783,1074944
2012,150077.1,6.91,210399,196273,365517,264777,1037245
2013,150702.9,6.94,218599,190924,354264,281896,1045615
2014,154110.1,6.98,221012,192925,360195,302102,1076000
2015,158602.6,6.56,201011,195568,366129,278596,1040591
2016,164643.7,6.18,188618,188257,366857,274368,1017793
2017,166273.6,5.93,176475,178176,364409,266814,985263
2018,169796.9,6.15,202806,186092,372009,283410,1043695
2019,170351.7,6.05,196190,180544,365051,289713,1030317
2020,168540.8,5.76,183312,166694,363032,257990,970708
2021,172839.8,5.6,179565,169612,360586,258508,967820
2022,174794.6,5.73,189305,175203,369899,266884,1000720
