Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,155770.4,11.21,324970,224235,769762,427334,1746301
1998,160810.1,10.61,318359,224186,737942,424989,1705476
1999,165761.9,10.85,340310,241384,776076,440965,1798735
2000,161101.0,11.1,354678,250190,741748,441204,1787820
2001,161316.4,11.21,338896,245828,775279,447996,1807998
2002,165435.3,11.85,372358,261706,862588,463165,1959816
2003,170481.9,11.12,364218,255626,827723,448304,1895870
2004,175344.6,11.25,363234,261514,862925,484328,1972000
2005,182017.9,10.98,385619,268267,868289,475848,1998023
2006,186332.6,10.69,366855,261755,891033,472847,1992491
2007,185790.0,10.94,390383,271438,876323,493949,2032093
2008,186515.9,10.69,389482,268147,878204,458383,1994217
2009,178112.8,10.71,376678,252825,812177,465340,1906737
2010,186720.6,10.63,407223,260330,847587,470110,1985167
2011,188389.8,10.17,377734,249280,822757,466114,1916520
2012,192060.1,9.8,356074,248194,826589,450684,1881825
2013,196698.0,9.25,378157,279171,713353,449774,1820350
2014,196795.8,8.95,387594,259716,657135,457421,1761356
2015,199487.1,8.57,353444,260035,633582,463870,1709678
2016,201007.2,8.37,347485,265143,606835,464577,1682976
2017,203564.0,8.01,321521,248919,589025,472370,1630214
2018,205940.1,8.33,359187,260314,601670,495915,1715581
2019,211739.7,7.94,341720,252313,601113,488478,1681807
2020,206288.8,7.48,315206,223943,550216,455596,1543824
2021,214565.1,7.68,326884,235148,591730,495006,1647920
2022,217568.1,7.69,338374,249363,589194,497157,1673214
