Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,202386.5,21.34,296049,209366,3012355,801668,4319442
1998,209356.6,19.3,311888,219358,2728496,781161,4040905
1999,213475.3,18.84,296047,216130,2732689,776293,4021156
2000,206556.1,20.95,317347,236056,2919467,854201,4327069
2001,210534.7,18.14,291447,216876,2557306,753070,3818700
2002,214856.1,18.4,309972,226616,2640891,775112,3952588
2003,223576.0,17.02,286020,218484,2527843,771859,3804204
2004,234620.8,17.07,289241,224137,2735268,756503,4005145
2005,249560.9,15.43,305426,231018,2596573,716730,3849745
2006,247139.7,16.27,267882,205433,2777727,770758,4021804
2007,234216.4,18.26,342273,281775,2941639,710076,4275768
2008,237061.6,17.78,342066,266394,2933177,673736,4215374
2009,241868.8,16.63,347696,272908,2733894,667265,4021354
2010,253466.9,16.23,381348,278665,2839473,613387,4112605
2011,241235.9,17.1,366301,277271,2853376,628152,4125163
2012,242416.8,16.49,334742,274247,2816840,570486,3996789
2013,236482.3,16.51,338053,265394,2746780,554607,3905340
2014,243042.9,16.14,342132,263845,2783094,533706,3922264
2015,239584.1,16.26,328034,266628,2761803,540237,3896151
2016,235554.2,17.03,310164,261973,2868617,571292,4012216
2017,239830.7,17.43,302997,262407,2999481,615818,4180324
2018,245220.3,17.21,325472,262918,3049592,582017,4220852
2019,246361.1,17.28,309292,253637,3070770,623548,4257463
2020,228825.3,18.26,292460,228899,3050266,606405,4177587
2021,234014.4,18.19,305241,238182,3015919,697975,4256425
2022,231262.3,18.36,302001,238697,2950512,755890,4245986
