Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,46325.0,9.04,75455,43704,189066,110610,418836
1998,48138.5,8.22,79359,45120,163322,107844,395645
1999,50620.3,8.06,80259,46989,169286,111710,408243
2000,52958.5,8.37,80098,54114,188959,119837,443007
2001,54066.2,7.63,83296,51458,170938,107045,412737
2002,55406.5,7.55,76779,53262,166293,121967,418301
2003,56882.4,7.29,95545,60584,128039,130781,414949
2004,58934.8,7.27,101232,60216,145755,121265,428468
2005,59589.7,7.21,98671,59670,140369,130726,429437
2006,59986.0,6.8,86661,53652,136564,130780,407657
2007,60032.6,7.15,91143,65031,148187,125114,429475
2008,59845.1,7.18,80301,63798,168840,116466,429405
2009,58771.8,6.63,83239,57204,127130,122086,389444
2010,59958.5,6.59,81849,56891,138750,118054,395416
2011,59429.7,6.62,80192,56451,138984,117948,393331
2012,59181.7,6.35,72119,52955,138246,112562,375557
2013,59013.9,6.62,77066,51921,135815,125979,390624
2014,59589.8,6.54,82379,55626,124363,127284,389527
2015,60563.0,6.6,98402,60112,113510,127712,399728
2016,62037.1,5.95,87825,55435,97651,127713,369002
2017,63000.6,5.65,88061,56007,90602,120633,355659
2018,64806.3,5.5,95005,59582,94879,107305,356701
2019,66351.2,5.29,92825,56032,95189,106911,350740
2020,67420.6,4.89,85465,53787,92681,97941,329648
2021,70869.9,4.77,84569,57764,90383,105458,338032
2022,72413.5,4.63,86900,58309,82746,107626,335330
