Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,237589.2,5.73,370920,341801,279415,368557,1360692
1998,248662.9,5.5,364878,363178,260174,379089,1367319
1999,258913.4,5.43,383832,370076,253166,399939,1407012
2000,269301.2,5.36,402956,383340,254600,402622,1443517
2001,281053.6,5.12,386994,387415,259099,404601,1438110
2002,290400.3,5.21,406325,330797,375869,401186,1514176
2003,297690.6,5.24,427908,281661,434493,416782,1560844
2004,311504.8,4.96,439835,285057,380193,439148,1544235
2005,325644.5,4.84,446377,291586,381606,457097,1576667
2006,329874.0,4.43,403916,412371,180997,463348,1460633
2007,331763.5,4.48,426860,422622,179318,457283,1486082
2008,338165.4,4.27,414423,416570,170948,441077,1443019
2009,336285.8,4.26,415430,411295,147782,457231,1430991
2010,352622.9,4.15,440499,419981,142671,459433,1462046
2011,360155.9,3.87,402872,409923,135963,446851,1394477
2012,361561.8,3.75,385120,402405,124113,446143,1356580
2013,364633.2,3.78,412691,407031,108631,450619,1377769
2014,370343.9,3.75,424077,408444,112805,445322,1389428
2015,378745.9,3.66,408630,410822,111055,457390,1386685
2016,391950.9,3.43,389207,403734,107631,445455,1344830
2017,399714.5,3.24,363545,383884,106090,444401,1297000
2018,402480.9,3.33,392117,387712,101439,461595,1341241
2019,402346.2,3.26,372662,376793,96872,465669,1310139
2020,388532.3,2.99,356151,334671,85144,386402,1160507
2021,405905.3,3.0,364903,343803,89674,419389,1216894
2022,412282.6,2.92,370762,350660,87499,394729,1202811
