Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,322389.9,4.48,415094,385928,217094,425548,1443663
1998,335504.4,4.23,400967,375943,215509,425955,1418374
1999,353837.9,4.06,425168,344446,228893,437719,1436226
2000,382599.6,3.98,456181,375990,238940,452568,1523680
2001,388180.8,3.88,454023,364175,242523,446621,1507342
2002,388451.6,3.91,460055,367015,243191,448293,1518553
2003,397069.9,3.74,470742,379060,189000,447281,1486082
2004,407886.0,3.64,450632,375084,186338,473336,1485390
2005,417075.6,3.58,445520,373098,187975,484741,1491334
2006,426926.1,3.32,404337,348591,186035,477982,1416946
2007,440373.8,3.29,420395,361770,178866,485717,1446750
2008,447526.8,3.18,426391,353231,162666,478785,1421073
2009,441307.6,3.08,419092,267421,231102,442856,1360006
2010,462330.8,3.06,431487,283989,244124,457339,1416658
2011,472664.3,2.94,417301,271209,243098,456970,1387947
2012,483286.3,2.79,395808,262892,242341,448268,1348542
2013,486991.8,2.9,411898,293125,242533,466482,1413414
2014,496250.9,2.86,426886,381173,161225,450547,1419770
2015,514398.7,2.79,424735,387346,159266,464486,1435869
2016,521662.8,2.66,382823,375234,154552,475193,1388149
2017,530129.4,2.62,393158,378587,146011,469231,1388066
2018,549262.1,2.58,413844,383846,141513,476355,1415126
2019,566706.2,2.49,413820,382860,138796,478521,1413298
2020,556196.4,2.18,385011,338064,131436,359625,1213366
2021,591911.5,2.16,392461,346750,136696,401587,1277071
2022,604357.7,2.18,393844,366587,134839,420466,1315196
