Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,225480.3,7.26,356853,225360,615368,440457,1638039
1998,237724.0,6.79,327862,213422,609341,463324,1613948
1999,247004.7,6.81,348857,222866,615768,495464,1682954
2000,263345.6,6.59,364813,233917,624254,512778,1735761
2001,263518.7,6.48,365434,316814,522489,501577,1706312
2002,268982.8,6.57,392408,331271,532177,511621,1767475
2003,280796.9,6.57,420864,353406,555904,513789,1843961
2004,293753.9,6.29,404292,335383,578058,528860,1846594
2005,301761.2,6.14,402021,342848,573975,532597,1851440
2006,302272.7,6.03,384229,337211,577103,522956,1821499
2007,304208.0,6.15,405047,340734,596580,527429,1869790
2008,309290.4,6.06,408068,344810,619313,502174,1874364
2009,296875.2,5.88,393067,332911,554146,464302,1745790
2010,308091.9,5.89,386629,326484,635976,464784,1815070
2011,315213.3,5.7,380318,322984,634838,454656,1797448
2012,321053.9,5.46,352318,308996,624138,462527,1752564
2013,329774.5,5.53,395117,336213,623489,466237,1824057
2014,338623.9,5.53,408312,345683,646602,468173,1873759
2015,345456.2,5.07,358029,326928,592309,468450,1751651
2016,350603.6,5.06,353513,325916,598465,492453,1775260
2017,354721.9,5.03,359681,328729,596965,495160,1785869
2018,364799.7,5.12,404921,348131,609825,495866,1869002
2019,368688.7,4.99,392805,330672,599992,500653,1838507
2020,358127.2,4.61,376199,309285,550222,404751,1652523
2021,374733.3,4.6,379804,317716,578780,443814,1724996
2022,379111.5,4.64,402378,337982,567666,447199,1759947
