Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,243724.1,7.34,476078,368979,366006,578788,1789852
1998,249234.0,7.35,470046,369500,365603,627746,1832896
1999,256290.4,7.32,476973,380165,397644,620741,1875522
2000,262665.4,6.95,499068,399783,371907,555305,1826062
2001,260381.1,7.13,507721,402241,390990,555087,1856040
2002,264997.7,7.05,511543,398847,386835,570986,1868210
2003,271970.5,6.91,508579,398211,379353,593181,1879324
2004,279128.2,6.75,499636,403433,404921,576875,1884864
2005,285341.7,6.92,538882,414766,430287,590776,1974712
2006,286558.3,6.86,517439,412200,441955,594797,1966392
2007,288320.8,6.86,532171,413232,430404,601542,1977350
2008,297881.8,6.49,543200,421107,395788,574297,1934392
2009,289566.8,6.32,522284,406902,341992,559842,1830527
2010,295986.4,6.45,557291,414247,362923,575610,1909821
2011,292984.2,6.33,534438,408410,347737,563374,1854223
2012,296514.3,5.99,486841,393398,352351,544298,1776923
2013,302025.7,6.08,530934,406043,350903,549561,1836883
2014,303617.8,6.25,554267,423862,362147,558151,1897773
2015,308009.9,5.88,490004,407423,356361,558921,1811295
2016,308423.3,5.71,484617,404871,302588,569993,1760865
2017,311273.8,5.53,462201,395460,299678,565954,1721561
2018,314182.4,5.84,545514,418454,306735,566266,1835461
2019,320880.8,5.52,515114,394211,295268,567712,1769958
2020,315276.2,5.26,485469,365171,298776,511241,1659259
2021,330117.5,5.15,484765,374778,296688,544777,1700068
2022,336625.8,5.15,512615,383807,293797,544092,1733435
