Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,97208.5,5.53,115765,93549,150237,177800,537352
1998,102779.4,5.4,120013,94907,156208,183785,554912
1999,110091.0,5.25,124473,100550,156935,196380,578338
2000,114810.2,5.25,135162,104468,158904,204781,603315
2001,116267.3,5.24,139134,103284,161983,205062,609463
2002,120180.1,5.02,135257,107740,152013,208486,603497
2003,125905.4,5.03,145314,111617,161699,214567,633197
2004,139373.0,4.79,150471,114455,174724,228042,667692
2005,150680.9,4.56,151706,115738,182235,238007,687687
2006,156297.9,4.61,159316,119850,187531,253259,719957
2007,157734.3,4.5,157732,118028,177518,256009,709287
2008,152745.6,4.42,153425,116450,173187,231386,674448
2009,140304.3,4.45,145380,108445,160791,210162,624424
2010,142614.2,4.69,144638,109770,161950,253266,669411
2011,144341.2,4.54,143868,110952,152267,248873,655582
2012,142986.1,4.55,140774,108529,153087,248400,650001
2013,144549.3,4.59,145857,110740,154990,253333,663597
2014,145303.6,4.59,137214,109458,167142,253580,666791
2015,151055.9,4.32,136666,112452,147663,257123,652433
2016,156007.4,4.33,139793,114380,154300,268106,675614
2017,163199.1,4.28,143323,124303,153544,278014,698103
2018,168638.5,4.23,148952,132787,154265,278556,713734
2019,175771.3,4.06,150970,131154,153982,278757,714006
2020,165793.9,3.87,158047,122058,136638,226354,642057
2021,181102.9,3.79,156285,128605,142204,260568,687165
2022,187226.2,3.77,157288,129945,142912,276460,706115
