Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,67993.2,9.46,96001,107315,206622,233533,643472
1998,67718.1,9.38,96269,111207,196963,230985,635425
1999,71421.0,8.95,98499,114559,195359,230756,639172
2000,72733.8,9.1,100927,123014,211594,226271,661807
2001,72996.4,9.05,103384,124443,203002,229939,660768
2002,75345.9,8.74,104043,128862,200200,225549,658654
2003,78766.8,8.37,103430,122236,215606,218329,659603
2004,85751.0,7.96,107616,123318,225616,225728,682278
2005,86295.9,7.9,115423,124392,222595,219163,681572
2006,88554.5,7.75,111925,122242,225490,226922,686579
2007,89392.3,7.93,117901,124803,248401,217687,708793
2008,89012.9,7.52,117676,123574,227007,201513,669770
2009,90829.2,7.02,113248,117832,208976,197860,637625
2010,90721.0,7.11,117620,120096,211661,195766,644949
2011,90552.3,7.31,117637,122811,219912,201366,661509
2012,90762.4,7.24,112180,121168,222314,201837,657469
2013,90104.0,7.33,119297,121615,217325,202890,660087
2014,92621.1,7.2,112441,120307,225793,209249,666894
2015,93503.9,7.13,113570,119993,222199,212110,666668
2016,93043.5,7.0,111529,116175,217821,207817,651262
2017,93210.1,7.04,104100,112109,220053,221668,656000
2018,96077.0,6.94,109792,109800,219529,229006,666508
2019,100446.2,6.98,121796,116264,231169,233041,700915
2020,97511.9,6.73,111856,103173,224891,218297,656510
2021,99572.3,6.86,105918,102113,237942,238228,683164
2022,101315.0,6.79,107871,102654,248012,230020,687574
