Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,1085934.4,3.5,1053808,1127938,670330,947881,3799956
1998,1112323.6,3.36,1002771,1131576,648530,955660,3738533
1999,1172149.8,3.32,1096872,1230907,595512,963720,3887014
2000,1217036.4,3.26,1163405,1256937,577750,967958,3966053
2001,1240755.2,3.11,1121512,1233544,539572,965220,3859846
2002,1228580.8,3.14,1106582,1250636,510231,986985,3854435
2003,1236563.1,3.23,1182056,1280691,474234,1055802,3992778
2004,1269433.1,3.23,1175085,1338500,481199,1099725,4094511
2005,1301438.0,3.06,1202268,1235490,474865,1064997,3977621
2006,1339568.5,2.75,1048335,1144291,408271,1087817,3688716
2007,1353798.9,2.8,1123968,1138328,438968,1085971,3787231
2008,1328095.7,2.78,1089292,1140061,379795,1083752,3692905
2009,1379504.6,2.54,1011210,1094737,339506,1059114,3505216
2010,1431624.0,2.58,1025101,1115120,341720,1208117,3690781
2011,1440346.8,2.47,999247,1076997,344215,1136157,3560153
2012,1496280.1,2.28,957700,1006951,337932,1108928,3415035
2013,1501818.0,2.36,1006680,1040097,373602,1122005,3543186
2014,1535375.9,2.38,1056154,1038982,371354,1184542,3652063
2015,1565835.2,2.33,1073078,1047130,374987,1159678,3655818
2016,1590567.8,2.25,986900,1020032,367332,1203713,3577221
2017,1624800.7,2.19,979270,1005700,361833,1213184,3559991
2018,1665186.8,2.24,1098484,1044238,367397,1223546,3735428
2019,1709750.7,2.13,1063389,1013553,360524,1193783,3634499
2020,1650567.2,1.91,992024,912205,333417,906515,3145486
2021,1724472.2,1.94,1021262,938029,343397,1046037,3349573
2022,1763524.6,1.96,1024755,969759,329477,1128053,3452677
