Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,340580.3,7.0,552273,423632,758653,649491,2384048
1998,351977.9,6.91,576761,450627,741555,664594,2433538
1999,372030.3,6.62,589154,470298,723637,679167,2462256
2000,384115.3,6.74,640967,503473,740735,702536,2587711
2001,387433.9,6.53,621695,505876,709692,692570,2529834
2002,393685.9,6.46,655006,516166,673226,700774,2545173
2003,404582.5,6.28,651575,520671,655911,714571,2542728
2004,420579.4,6.25,686947,547757,656501,735478,2626684
2005,442305.6,6.02,708033,559288,645536,748794,2661651
2006,470663.9,5.56,682922,561533,635120,739578,2619152
2007,477920.8,5.57,718536,580128,604025,758070,2660759
2008,492688.8,5.42,726159,589518,598488,756173,2670337
2009,473610.5,5.31,716813,580440,517081,699861,2512773
2010,482030.4,5.63,791783,597153,564267,763479,2715707
2011,484200.3,5.34,719137,563483,562156,743531,2586119
2012,488126.5,5.11,659230,554123,563951,721590,2496625
2013,497456.6,5.03,668306,537635,553378,743499,2499812
2014,509782.4,5.01,701603,555860,544051,755496,2553964
2015,525229.1,4.85,669460,561450,546235,770647,2544844
2016,536308.5,4.77,664030,559884,545231,791435,2557695
2017,546810.1,4.58,620569,540968,546105,799636,2504985
2018,556573.7,4.66,685700,551816,546203,811572,2591296
2019,568475.6,4.51,656864,544677,536569,828177,2562032
2020,564794.4,4.18,621106,498425,506749,737123,2358842
2021,597316.1,4.21,658088,524688,529702,805798,2516119
2022,609058.2,4.22,672614,558310,533517,806544,2568782
