Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,22695.3,15.57,58079,44565,174933,75700,353277
1998,23971.3,14.33,53817,43966,178934,66695,343412
1999,24069.6,15.38,55506,44163,188582,81957,370208
2000,24990.2,15.09,58297,47417,190841,80608,377163
2001,25329.8,15.96,59985,54559,201897,87900,404340
2002,26592.1,14.95,61551,58723,189650,87666,397589
2003,28326.7,14.0,62979,56885,187653,89108,396626
2004,28636.2,13.98,62380,57826,187831,92170,400207
2005,29629.0,13.69,60513,58383,194684,92118,405699
2006,30911.4,13.31,58692,56944,204356,91476,411468
2007,32529.0,13.32,62500,61171,205959,103621,433251
2008,35030.4,12.48,66893,63173,213792,93261,437119
2009,35971.3,11.81,64841,61554,211142,86895,424781
2010,38697.4,11.87,60700,60963,237110,100392,459451
2011,43300.4,11.71,61873,66333,262460,115374,507052
2012,53326.8,9.95,58302,66975,273734,130829,530804
2013,54690.9,10.47,67154,78423,289244,136301,572679
2014,60193.0,10.23,70636,75023,322955,145537,615627
2015,58694.5,9.96,63406,77495,307557,135535,584304
2016,54756.0,10.15,60615,75606,297151,122111,555924
2017,56530.2,10.54,59819,75429,329300,130585,595572
2018,58516.4,10.67,66028,79799,340305,138051,624544
2019,59142.3,10.84,68816,83362,343229,145775,641112
2020,55699.1,11.12,57164,73008,360566,128490,619606
2021,55401.0,11.8,59655,77213,380422,136426,653810
2022,54798.7,12.24,63873,89974,380734,135953,670608
