Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,124840.6,6.38,129067,100745,255507,310753,796072
1998,130425.1,6.55,142324,112166,273677,326079,854246
1999,133761.7,6.44,146811,113510,272123,328916,861362
2000,145094.2,6.03,164589,130701,259849,319886,875026
2001,144486.5,5.84,174649,137369,224969,306150,843137
2002,147432.8,5.44,156860,120879,212618,312253,802610
2003,154445.3,5.12,161053,121242,198039,310180,790513
2004,163046.1,4.92,154845,115674,210030,321745,802293
2005,168734.4,4.94,163566,123424,216375,330060,833423
2006,177222.4,4.66,154303,116592,216307,337910,825112
2007,180724.3,4.69,165808,124273,214016,343925,848021
2008,184842.6,4.51,171636,126476,211173,323578,832864
2009,176951.6,4.54,172724,122630,182045,325604,802749
2010,180738.2,4.35,165768,119263,183905,317487,786313
2011,185959.4,4.08,161228,112227,181874,302510,758191
2012,187352.4,4.01,153577,110870,188043,297928,751030
2013,189609.7,4.14,169956,119387,195216,300209,784333
2014,195808.2,3.95,159006,115321,195971,303096,773809
2015,205581.8,3.81,158414,120769,204245,298833,783223
2016,214769.3,3.67,160836,121671,203423,300248,788311
2017,225534.5,3.67,176685,129868,209100,308360,826862
2018,234308.3,3.52,170014,128741,204530,317243,823909
2019,239910.5,3.57,187075,137656,212841,311855,856426
2020,237670.4,3.35,170049,126188,212641,279037,796294
2021,250099.4,3.37,177464,132622,227172,302092,842153
2022,254708.4,3.37,180907,133974,233154,305575,857253
