Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,43434.7,5.02,63722,45628,43560,64938,217849
1998,45381.3,4.99,59679,42535,61607,62809,226630
1999,46831.2,4.84,61804,47170,52431,65366,226772
2000,49113.6,4.19,65372,49164,25894,65131,205560
2001,49705.2,4.11,65563,49612,23273,65690,204138
2002,51284.3,3.96,66147,50024,22149,65010,203329
2003,52933.1,4.11,74957,54733,24198,63894,217783
2004,55160.5,3.9,74687,54193,24390,62104,215374
2005,55885.9,3.74,71424,51356,24131,62115,209026
2006,57415.8,3.48,62793,48699,23773,64661,199926
2007,56230.5,3.52,63745,49436,20806,63767,197753
2008,54977.1,3.53,60854,45940,26736,60496,194027
2009,54481.5,3.57,61288,46257,24896,62361,194750
2010,56050.6,3.48,61998,45708,24996,62534,195198
2011,56026.6,3.31,59964,43864,22127,59423,185302
2012,56487.4,3.24,59631,43987,23137,56575,183246
2013,57037.2,3.43,65106,47897,25394,56992,195462
2014,57602.7,3.51,65379,50838,25093,60994,202342
2015,58387.9,3.46,67621,48993,24440,60629,201786
2016,58630.0,3.13,57454,46088,23165,56857,183746
2017,58771.6,3.08,55880,43843,23349,57824,181098
2018,58740.1,3.3,63817,46996,23311,59932,194078
2019,59866.6,3.14,60018,46527,22154,59269,187879
2020,58155.2,2.96,56938,42805,21923,50364,171935
2021,60777.3,2.99,59990,45206,21928,54813,181875
2022,62190.9,3.0,60500,46859,22072,57306,186650
