Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,226832.8,8.64,429644,337689,647432,546092,1960857
1998,240963.4,8.48,452348,338188,696313,556277,2043128
1999,248457.5,8.47,465527,351317,712907,574004,2103753
2000,251030.2,8.57,492023,362679,713029,583020,2150751
2001,250311.4,8.62,484520,358197,736277,579917,2158912
2002,258542.4,8.41,494497,354993,711578,613319,2174387
2003,267589.4,8.09,477692,353752,703974,629706,2165124
2004,281564.2,7.84,491205,364083,722541,630261,2208090
2005,289064.3,7.86,525347,372622,729775,645188,2272933
2006,295668.2,7.69,520960,373274,730727,648770,2273731
2007,294819.8,7.81,548414,387926,715120,651802,2303263
2008,298526.9,7.49,543255,382336,698090,611819,2235499
2009,287308.8,7.0,501810,354339,558625,595902,2010202
2010,292687.0,7.46,575394,380955,611716,616466,2184274
2011,301508.9,7.02,527763,363297,610412,613748,2115372
2012,311754.2,6.45,470094,341767,604321,593907,2010004
2013,318347.9,6.41,493697,397299,552283,598374,2040820
2014,323879.6,6.57,529272,408995,576316,612699,2126349
2015,335461.1,6.25,501404,419492,556626,620759,2096498
2016,343544.9,6.22,502670,429749,574138,633565,2138385
2017,355417.5,5.81,465543,405616,557722,639326,2066085
2018,362363.7,5.91,524429,436737,535101,647132,2141312
2019,370088.3,5.65,491731,419020,515599,667072,2090695
2020,366555.2,5.29,456399,377342,492013,614808,1938685
2021,396576.2,5.29,493296,408742,529991,668879,2099705
2022,412101.3,5.1,505150,419985,514041,663844,2101812
