Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,86283.5,7.86,125675,115455,239532,197637,678299
1998,91312.7,7.69,123721,116256,259733,202063,701774
1999,95206.8,7.29,128897,123948,231724,209020,693588
2000,98648.5,7.5,134346,132394,252768,220789,740298
2001,100244.3,7.09,135272,138241,225017,212266,710796
2002,102828.1,6.72,143625,146255,181004,219784,690668
2003,104829.2,6.69,139888,136674,201160,223913,701636
2004,111318.9,6.58,147725,142702,209373,232663,732463
2005,118430.2,6.4,148785,145829,226239,236788,757641
2006,127539.4,6.08,154182,143376,217010,260507,775074
2007,133799.8,5.82,156147,144551,217492,259897,778088
2008,133662.9,5.72,161823,146632,215479,240226,764160
2009,130958.6,5.62,159703,146563,198907,231552,736113
2010,133739.1,5.58,161950,150148,208264,226162,746108
2011,138301.1,5.63,166477,153963,217546,242319,779115
2012,140622.5,5.52,158068,151529,232413,235013,776014
2013,145026.9,5.61,173059,161346,241544,239799,813530
2014,150076.3,5.23,156523,154528,233363,242189,784843
2015,155431.5,5.06,155942,158746,224784,249955,787248
2016,162528.2,4.85,160850,157965,217068,255294,788797
2017,172075.0,4.64,165685,160588,215293,259491,798502
2018,182106.0,4.5,168939,164520,211955,275787,818984
2019,192698.7,4.32,179725,168727,212786,272292,831962
2020,194753.7,4.12,181868,160687,208235,252657,801446
2021,209975.2,3.91,180625,167084,205680,268893,821273
2022,213898.3,3.97,192129,176178,201038,280572,848682
