Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,21372.2,6.62,37508,23842,29308,50799,141458
1998,22266.5,5.92,35360,24677,21784,50106,131927
1999,23561.7,5.58,33735,22599,22546,52481,131361
2000,24844.6,5.78,39815,26166,25692,51827,143500
2001,25681.8,5.62,40077,27376,25106,51851,144410
2002,26522.8,5.42,40583,28262,23908,51047,143801
2003,27548.1,5.32,42784,28875,23085,51874,146617
2004,28989.2,5.38,45417,29650,27578,53305,155951
2005,29283.2,5.28,46042,28300,26183,54018,154543
2006,29420.9,5.14,43486,27297,26145,54227,151155
2007,29296.6,5.18,44271,28309,25724,53319,151623
2008,30168.6,4.64,40797,26364,22305,50595,140061
2009,29565.7,5.11,47463,27301,24223,52091,151016
2010,30890.6,4.86,45928,26974,26902,50224,149982
2011,31663.6,4.6,44801,27014,25033,48972,145735
2012,31898.1,3.98,36096,21937,20991,47891,126801
2013,31494.6,4.27,40969,24944,19784,48656,134337
2014,31847.7,4.31,43123,25850,20082,48245,137295
2015,32042.9,4.26,44682,26133,17015,48648,136505
2016,32312.7,4.05,40633,24507,16532,49005,130827
2017,32589.2,3.98,41386,22857,17302,47756,129546
2018,32827.8,4.06,46651,25581,16588,44606,133404
2019,33207.6,4.0,46279,24432,15883,46318,132867
2020,32307.1,3.69,39431,23930,16921,39047,119310
2021,33860.8,3.61,38852,24972,15847,42467,122094
2022,34609.4,3.61,41357,25321,16009,42153,124779
