Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,319992.6,6.83,517273,483235,562014,623570,2186090
1998,338931.5,6.56,516238,501729,573231,633793,2224990
1999,356391.8,6.42,537331,519930,582775,646505,2286540
2000,372914.1,6.42,580257,551739,577660,682814,2392470
2001,386444.7,6.01,555371,543355,539421,683988,2322135
2002,390242.4,6.01,588419,553709,515432,688136,2345695
2003,404522.2,5.97,601089,560654,536887,715453,2414082
2004,421744.4,6.02,625532,585995,559390,769919,2540836
2005,442089.5,5.92,658788,606963,569011,781553,2616315
2006,451263.1,5.66,611203,595145,544468,804398,2555214
2007,457568.9,5.72,647952,621198,540986,806026,2616162
2008,462034.7,5.44,633896,617139,514113,748809,2513956
2009,460075.3,5.21,624985,603915,440263,727613,2395340
2010,475699.3,5.25,668951,617782,445533,765853,2497147
2011,479571.4,4.95,613963,587685,440429,736342,2376219
2012,483041.4,4.8,563147,572994,440659,742087,2316403
2013,488741.3,4.88,609643,595219,441407,743489,2386730
2014,488918.6,5.0,626903,600032,450324,768226,2442590
2015,498943.6,4.82,597539,600599,445935,762997,2404230
2016,505107.7,4.72,565386,597313,436008,786893,2382831
2017,515167.2,4.58,538424,594979,435557,794349,2361210
2018,527767.5,4.64,591431,615891,437051,810200,2450678
2019,541070.2,4.47,556267,613597,430456,822398,2418279
2020,533828.3,4.16,530040,590649,414340,692783,2223267
2021,562888.0,4.22,542656,642485,450649,739525,2373207
2022,576964.3,4.21,544282,734076,417395,734172,2427849
