Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,60364.6,11.64,139814,93107,293014,176591,702526
1998,61725.7,11.82,132030,95798,317945,184117,729892
1999,63691.7,11.2,139674,101520,292748,179513,713456
2000,63364.6,11.56,143166,105587,297933,185760,732445
2001,63599.8,11.42,144453,104028,295237,182823,726541
2002,64465.7,11.65,147120,102012,319969,182001,751103
2003,65106.8,10.83,148228,103926,282886,170239,705280
2004,66077.6,11.02,151815,104117,293414,179107,728452
2005,67888.8,10.77,161941,107274,281481,180393,731089
2006,68900.0,10.94,155542,104851,314396,179262,754050
2007,69374.1,11.31,163175,108365,335598,177410,784548
2008,70966.8,10.86,165541,109403,335233,160262,770439
2009,70886.5,9.83,170836,110243,249276,166939,696936
2010,71823.8,10.35,180044,112520,279577,171528,743415
2011,73175.2,9.96,169091,110295,284606,165734,729180
2012,73124.5,9.86,157335,108428,281494,174625,721249
2013,73949.0,10.01,171260,110673,289569,169270,740270
2014,74111.3,10.42,176557,111523,314306,169926,771872
2015,74261.4,10.22,159042,111846,314792,173682,758649
2016,73513.3,10.23,153166,110557,306690,182549,751785
2017,75172.4,9.87,141294,105806,323150,172013,741661
2018,77406.5,10.55,160788,112737,352320,192694,816921
2019,76786.6,10.63,153381,109904,369138,185433,816508
2020,73952.9,10.65,146349,100034,372063,170218,787255
2021,75520.5,11.09,148188,103159,391234,195796,837569
2022,76525.5,10.92,153793,106977,383916,191671,835489
