Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,222978.5,7.81,394040,288763,660916,397553,1741271
1998,232087.1,7.47,376431,288591,652634,416933,1734589
1999,242026.0,7.54,403910,309725,684540,427108,1825284
2000,248572.0,7.49,417071,320132,704676,419128,1861007
2001,252941.8,7.26,413238,318350,682655,420917,1835158
2002,257966.9,7.25,444127,335605,663404,426136,1869271
2003,265745.8,6.96,438319,335848,655224,419988,1849379
2004,275412.4,6.8,432650,324649,678578,436795,1872671
2005,282065.7,6.88,465119,375549,664278,435873,1940820
2006,287146.6,6.44,424925,354802,630772,439632,1850132
2007,289855.2,6.5,445530,368929,628320,442434,1885213
2008,286204.7,6.55,453603,379350,609257,432246,1874457
2009,277279.4,6.28,421424,352330,546577,421735,1741812
2010,287652.9,6.2,419567,346165,583331,434756,1783714
2011,293664.0,6.02,418081,347000,582227,420086,1767865
2012,299007.6,5.72,387976,333202,569901,418945,1710281
2013,301550.5,5.98,434840,363380,590029,415942,1804218
2014,309425.8,5.99,440413,369463,597297,445744,1852766
2015,315687.8,5.65,408393,353619,582292,440599,1784072
2016,319272.3,5.53,402123,350504,575827,437727,1765534
2017,321886.8,5.54,403348,353816,594171,431582,1782008
2018,328832.4,5.66,435568,366142,603124,457358,1861181
2019,333698.6,5.43,436324,351183,572948,452409,1811336
2020,322972.7,5.15,410737,325332,525105,404426,1664655
2021,334517.3,5.16,408590,346403,536033,434408,1724763
2022,335688.5,5.27,430854,363467,535081,439921,1768616
