Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,24257.7,16.98,37409,43586,232982,97960,411936
1998,24804.7,16.87,36978,44726,235579,101099,418381
1999,25866.8,16.35,36783,44630,226126,115332,422871
2000,26614.2,15.98,38375,48113,230022,108883,425392
2001,28338.1,15.37,38142,50375,236386,110784,435688
2002,28901.3,15.1,41080,50607,234878,109864,436430
2003,29806.6,15.41,41046,51894,245142,121106,459188
2004,30780.1,14.56,40494,52820,239722,115100,448136
2005,32463.1,13.97,41862,54921,237725,119090,453598
2006,36655.6,12.95,42379,58407,251290,122430,474507
2007,39504.8,13.17,46579,60611,287175,125829,520194
2008,41641.2,12.82,48657,62855,298646,123844,534002
2009,40599.6,12.71,46583,60347,289598,119933,515913
2010,39135.8,13.56,45919,60983,302647,121369,530551
2011,38929.8,13.94,46941,63932,320623,112145,542873
2012,38085.0,14.15,43277,61009,317490,117678,538723
2013,38408.7,13.73,47336,60469,308020,113402,527542
2014,39287.2,13.32,46132,59752,301025,117709,523144
2015,40063.9,12.37,46295,60521,278883,111445,495434
2016,37853.5,12.98,47054,58438,275201,112583,491418
2017,37620.3,13.84,49218,57503,303439,112477,520703
2018,37977.2,14.34,49658,56716,324086,115899,544649
2019,38558.2,13.82,51799,54714,311549,116170,532950
2020,36181.3,13.39,48795,50706,279347,107119,484585
2021,36929.5,13.06,47711,50203,276379,108872,482441
2022,37294.2,13.3,50294,53741,288335,104592,496162
